mass_MeV,observed_counts,smooth_truth_counts,truth_gp_variance,signal_m66_counts,signal_m78_counts,signal_m80_counts
36.3125,4408.0,4440.939101271978,2641.4609976542456,0.0,0.0,0.0
36.9375,5420.0,5460.8428248354185,1493.575394017414,0.0,0.0,0.0
37.5625,6724.0,6729.020264588801,1240.8450562258708,0.0,0.0,0.0
38.1875,8366.0,8319.686128808158,1435.2109493737485,0.0,0.0,0.0
38.8125,10475.0,10324.730169849052,1780.6936031760526,0.0,0.0,0.0
39.4375,12989.0,12855.59373317256,2133.924133613553,0.0,0.0,0.0
40.0625,15927.0,16044.355233860155,2475.7976976760874,0.0,0.0,0.0
40.6874999999999,19966.0,20043.413519261998,2867.96196389809,0.0,0.0,0.0
41.3124999999999,25048.0,25023.152428002453,3402.618801160041,0.0,0.0,0.0
41.9374999999999,31071.0,31167.09861171267,4156.332432066555,0.0,0.0,0.0
42.5624999999999,38636.0,38664.37482912325,5161.506563680083,0.0,0.0,0.0
43.1875,47482.0,47699.69034707324,6405.341624905028,0.0,0.0,0.0
43.8125,58354.0,58441.63170849966,7853.179923863778,0.0,0.0,0.0
44.4375,71136.0,71030.50373342,9478.44554817429,0.0,0.0,0.0
45.0625,85872.0,85567.28236001068,11277.809001822065,0.0,0.0,0.0
45.6875,101427.0,102105.26293481111,13264.207940269536,0.0,0.0,0.0
46.3125,121084.0,120645.67524438485,15451.847232260901,0.0,0.0,0.0
46.9375,141637.0,141137.93989627878,17855.100220228927,0.0,0.0,0.0
47.5625,163282.0,163484.49543219848,20505.578344713205,0.0,0.0,0.0
48.1874999999999,187983.0,187549.40641664737,23462.63826388775,1.9031990590394015e-12,0.0,0.0
48.8125,212967.0,213169.43313258156,26783.790094543758,1.9031990590394016e-11,0.0,0.0
49.4375,240223.0,240165.99798274608,30451.62881450843,1.9031990590394014e-10,0.0,0.0
50.0624999999999,268367.0,268356.54285505856,34306.194178326805,1.7576043310228873e-09,0.0,0.0
50.6874999999999,297706.0,297564.06917758414,38060.373543802554,1.4859226653450127e-08,0.0,0.0
51.3125,326867.0,327624.09533770796,41444.32777885733,1.1537763655614564e-07,0.0,0.0
51.9375,358042.0,358388.73525163165,44436.66682886783,8.22450344572346e-07,0.0,0.0
52.5625,389875.0,389728.01662434614,47446.44979670225,5.382530515623224e-06,0.0,0.0
53.1875,422035.0,421528.86005410476,51277.60690360185,3.234092743472289e-05,0.0,0.0
53.8125,453500.0,453692.31722145306,56780.45108511615,0.00017840668675075453,0.0,0.0
54.4375,485436.0,486129.7251888516,64265.41039453664,0.0009035777986553235,0.0,0.0
55.0625,518358.0,518758.40574271634,72963.60532728693,0.004201639451968346,0.0,0.0
55.6875,552063.0,551497.4495534505,80981.78816103659,0.017937989156728035,0.0,0.0
56.3124999999999,584944.0,584264.0099148316,86233.46797666597,0.07031262367692791,0.0,0.0
56.9374999999999,617245.0,616970.4000573605,88689.1650679511,0.2530463822148506,0.0,0.0
57.5625,649974.0,649522.1722915695,93981.2896963307,0.8361358207052241,0.0,0.0
58.1874999999999,682240.0,681817.2460709132,117982.72603287993,2.5366809451427343,0.0,0.0
58.8125,712292.0,713746.0646447524,191552.37342253435,7.065932704209954,0.0,0.0
59.4375,745400.0,745192.6865159915,364322.95427053777,18.071322870505668,6.419077030607057e-12,0.0
60.0625,774707.0,776036.6633360808,706300.782910653,42.435488162694135,5.99113856189992e-11,0.0
60.6874999999999,803822.0,806155.5192669984,1306217.680594804,91.49326346527586,5.006880083873505e-10,8.194332297638586e-13
61.3125,834822.0,835427.6258017152,2266023.701654321,181.12207171992708,3.935964065933894e-09,5.73603260834701e-12
61.9375,861230.0,863735.2576661084,3691569.5406305217,329.21338843863595,2.867080755720642e-08,5.73603260834701e-11
62.56249999999999,886382.0,890967.6252595759,5680271.8532506265,549.4254686532171,1.9358973462756292e-07,4.6379920804634393e-10
63.18749999999999,913725.0,917023.6983822795,8307231.940593182,841.9114664005015,1.2117238218368352e-06,3.5415904190393966e-09
63.81249999999999,937192.0,941814.6642494384,11611735.094050145,1184.5444604329298,7.030554029157998e-06,2.5111531326113445e-08
64.4375,961826.0,965265.9020729333,15586186.247402351,1530.257050175952,3.781332351712788e-05,1.6530508487349296e-07
65.0625,982794.0,987318.393204673,20169306.54250348,1815.1230769628214,0.00018852600291812167,1.010304631405984e-06
65.6875,1002204.0,1007929.5317647507,25244850.283773676,1976.8641470521093,0.0008713065006887449,5.732994149931046e-06
66.3125,1023037.0,1027073.3349584393,30646322.755994182,1976.8641470520238,0.0037328967256174115,3.020471364911133e-05
66.9375,1038892.0,1044740.0909079883,36167323.20723147,1815.1230769629071,0.01482512279220158,0.0001477522441137912
67.5625,1053072.0,1060935.5054966712,41576358.86529895,1530.257050175891,0.05457953495898159,0.0006710603198805476
68.1875,1068286.0,1075679.4331764828,46634409.01704174,1184.5444604329896,0.18626977846936835,0.0028298215117924727
68.8125,1081924.0,1089004.286253602,51113225.32548887,841.9114664004719,0.5893017727551104,0.011079709596044606
69.4375,1093293.0,1100953.2225929506,54812379.009231485,549.4254686532342,1.7282936793457366,0.040278318709726195
70.0625,1104150.0,1111578.208842309,57573349.71346255,329.21338843865215,4.698760981130004,0.13595325653825419
70.6875,1113951.0,1120938.0513188702,59289429.43277555,181.12207171992043,11.842316505037424,0.4260738172113375
71.3125,1121076.0,1129096.469989776,59910806.89429504,91.49326346526824,27.66806944256247,1.2398198326406993
71.9375,1130302.0,1136120.2823851246,59444769.93950088,42.43548816270555,59.92543791712891,3.3497490905070655
72.5625,1136367.0,1142077.7473201596,57951496.70644521,18.071322870505668,120.31919650996865,8.403250772697062
73.1875,1141810.0,1147037.1028539662,55536273.08226437,7.065932704209954,223.94999202053145,19.573343156083173
73.8125,1147118.0,1151065.3167585263,52339224.69523357,2.5366809451427343,386.42086327606455,42.33178057063447
