mass_MeV,signed_r,A_hat_window,sigma_A_window,raw_twice_delta_nll,null_feasible_fallback,diagonal_load_relative,saved_signed_r,reconstruction_delta_r
60,-0.8130983936786091,-5514.70611811599,6782.661534612252,0.6611289978027344,False,1e-06,-0.8130983570258211,-3.665278802689187e-08
61,-1.0301560755410866,-7032.820606487604,7011.604419137297,1.0612215399742126,False,1e-07,-1.0301560755410866,0.0
62,-0.05106567544763645,-346.73095606749206,6746.677556676653,0.00260770320892334,False,1e-06,-0.05106509183658211,-5.836110543375184e-07
63,0.6397892687732012,4367.08141909339,6834.3174355860365,0.4093303084373474,False,1e-06,0.639789315354666,-4.6581464796524585e-08
64,2.020100024645652,13687.860544920344,6797.155110067891,4.080804109573364,False,1e-06,2.020100024645652,0.0
65,2.4028774257961807,16635.381205870326,6942.247540833321,5.773819923400879,False,1e-06,2.4028773389768285,8.681935215193448e-08
66,2.365980652715529,16816.922573939104,7106.6588703676125,5.5978644490242,False,1e-06,2.365980602330801,5.0384727945385066e-08
67,1.1534716501195628,7996.840549021666,6935.360138153025,1.3304968476295471,False,1e-06,1.1534717534678196,-1.0334825684132909e-07
68,-0.5197623749801512,-3657.975865602838,7031.871232264743,0.2701529264450073,False,1e-06,-0.519762546995204,1.7201505275732387e-07
69,-2.3532848070853682,-16367.701897680641,6954.198713251535,5.53794938325882,False,1e-06,-2.353284718436404,-8.864896416937995e-08
70,-3.3724138453332735,-22893.65000790622,6787.153703622117,11.373175144195557,False,1e-06,-3.3724140397492333,1.9441595977554016e-07
71,-4.018785665184746,-27503.68698704844,6840.705423167416,16.150638222694397,False,1e-06,-4.018785746758029,8.157328323932234e-08
72,-3.18606228287063,-21328.91031739107,6691.41653239211,10.15099287033081,False,1e-06,-3.1860623670563344,8.41857041855576e-08
73,-1.6042553105158666,-11062.329153647057,6893.0972193948855,2.5736351013183594,False,1e-06,-1.604255217630641,-9.288522551109679e-08
74,-0.21645665322007565,-1492.8464301060874,6908.91192809698,0.046853482723236084,False,1e-06,-0.21645692858517057,2.753650949205433e-07
75,0.9313897648840183,6408.0596299562285,6883.635708299103,0.8674868941307068,False,1e-06,0.9313899248724621,-1.5998844382636435e-07
76,1.8081439717494436,12361.585541311055,6837.492691805821,3.2693846225738525,False,1e-06,1.8081442189835202,-2.472340765447001e-07
77,2.5944286400808036,17792.63621589121,6862.737117299652,6.731059968471527,False,1e-06,2.594428421826911,2.182538927364419e-07
78,2.810289616372308,18744.395124085007,6678.500069362814,7.897727727890015,False,1e-06,2.8102897012100323,-8.483772440115445e-08
79,2.6171799503046715,17393.704772238318,6649.496521061158,6.849630892276764,False,1e-06,2.6171799047559157,4.554875587814422e-08
80,2.137399261733126,14462.276895201283,6767.468484953825,4.568475604057312,False,1e-06,2.137399205960069,5.5773057283659e-08
81,1.7156966745104119,11240.9501345717,6553.07115303738,2.9436150789260864,False,1e-06,1.7156965181768842,1.5633352767885356e-07
82,0.42877099522380807,2883.8532846148464,6725.493395732818,0.18384456634521484,False,1e-06,0.42877099522380807,0.0
83,-0.7267393491717106,-4876.383711857735,6708.684007880555,0.5281500816345215,False,1e-06,-0.7267395542130244,2.0504131381660073e-07
84,-1.3604001312458252,-9004.259009745823,6616.848277963853,1.8506885170936584,False,1e-06,-1.3604003503160775,2.1907025238299127e-07
85,-1.9854987709571879,-13022.515778139816,6556.683411664829,3.9422053694725037,False,1e-06,-1.9854986358672475,-1.3508994034516775e-07
86,-2.276210457124748,-14943.404744235177,6605.148681109031,5.181134045124054,False,1e-06,-2.27621053568248,7.85577318751507e-08
87,-2.3655829452344292,-15245.652129025611,6439.721673298654,5.595982670783997,False,1e-06,-2.3655827940548306,-1.511795986175457e-07
88,-2.084566987673977,-13291.354989178752,6374.734193291909,4.345419526100159,False,1e-06,-2.084567102047165,1.1437318825358034e-07
