scope_key,scope_label,dataset_set,mass_MeV,mass_GeV,n_toys,toy_id_min,toy_id_max,eps2_observed,expected_q025,expected_q16,expected_median,expected_q84,expected_q975,expected_mean,expected_std,observed_empirical_cdf,quantile_method,conditional_on_frozen_gp,gp_refit_per_toy
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,50,0.05,300,0,299,7.742945664604561e-06,2.4289550048404958e-06,3.2599088607600637e-06,4.743921885198849e-06,6.639464318140065e-06,8.98517248953067e-06,4.952770534288997e-06,1.6379793581803154e-06,0.9466666666666667,linear,True,False
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,51,0.051,300,0,299,6.907612505263728e-06,2.257832985624168e-06,3.0262741223117323e-06,4.554391781091194e-06,6.029268807147203e-06,8.620579626572801e-06,4.6808072414852555e-06,1.6818429214351059e-06,0.9,linear,True,False
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,52,0.052,300,0,299,6.028277771146405e-06,2.474738446365448e-06,3.156701139157611e-06,4.333376833286704e-06,6.187306674854013e-06,8.775685009831353e-06,4.678381297950883e-06,1.6667390187009021e-06,0.8166666666666667,linear,True,False
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,53,0.053,300,0,299,4.820846660911696e-06,2.065445537802083e-06,2.7740058372044944e-06,4.27654829629257e-06,6.23299891896591e-06,8.345235038856061e-06,4.491701739233525e-06,1.707827067474963e-06,0.63,linear,True,False
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,54,0.054,300,0,299,4.1450885193592825e-06,2.003821500823533e-06,2.7025262204796983e-06,3.8453302881227385e-06,5.4725119667276234e-06,7.420896815998662e-06,4.062519548262043e-06,1.4486284177035295e-06,0.5733333333333334,linear,True,False
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,55,0.055,300,0,299,3.034958647452665e-06,1.8808095007777332e-06,2.7232103571855957e-06,3.9768748122330794e-06,5.392413108789661e-06,7.562957811238821e-06,4.120558185231568e-06,1.4541108971548571e-06,0.24333333333333335,linear,True,False
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,56,0.056,300,0,299,3.226051522730868e-06,1.9360986115850886e-06,2.6554130770900454e-06,3.6777334775051884e-06,5.1691569139063925e-06,7.1407428660544875e-06,3.8976760676512765e-06,1.3169788732291503e-06,0.36,linear,True,False
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,57,0.057,300,0,299,2.7045464283974757e-06,1.911249713621781e-06,2.5620533231037473e-06,3.733531508317675e-06,5.046908041250713e-06,7.028582117465805e-06,3.878882774750762e-06,1.35406465277885e-06,0.20666666666666667,linear,True,False
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,58,0.058,300,0,299,2.351173278744785e-06,1.7883162705764163e-06,2.4538226181836272e-06,3.5244847086921596e-06,4.992578516304618e-06,6.879839650689701e-06,3.7186869710224755e-06,1.3067981923704996e-06,0.13333333333333333,linear,True,False
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,59,0.059,300,0,299,2.1316282311782747e-06,1.5951539372750586e-06,2.3255923631690624e-06,3.4349146073891414e-06,5.056926271327624e-06,6.662581124326221e-06,3.6583154487389925e-06,1.3259938469022254e-06,0.12,linear,True,False
