scope_key,scope_label,dataset_set,mass_MeV,mass_GeV,n_toys,toy_id_min,toy_id_max,eps2_observed,expected_q025,expected_q16,expected_median,expected_q84,expected_q975,expected_mean,expected_std,observed_empirical_cdf,quantile_method,conditional_on_frozen_gp,gp_refit_per_toy
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,50,0.05,100,0,99,7.742945664604561e-06,2.341382471645787e-06,3.2430246404139566e-06,4.661307681281037e-06,6.598731289766879e-06,8.21387686874165e-06,4.817550963291639e-06,1.5715266562292927e-06,0.96,linear,True,False
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,51,0.051,100,0,99,6.907612505263728e-06,2.1948973464547913e-06,3.0546219592055064e-06,4.751733946965554e-06,5.983057531621795e-06,8.485854171219384e-06,4.748982295028596e-06,1.6596039909136466e-06,0.91,linear,True,False
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,52,0.052,100,0,99,6.028277771146405e-06,2.4111138901103966e-06,3.1163542512494047e-06,4.375984728005308e-06,6.293713851034104e-06,9.332614060175283e-06,4.69177487557538e-06,1.8098278186677998e-06,0.81,linear,True,False
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,53,0.053,100,0,99,4.820846660911696e-06,2.186397699481179e-06,2.7398721903690056e-06,4.408927860073824e-06,6.411270942015832e-06,9.09067081144579e-06,4.658951631465851e-06,1.8257060057256396e-06,0.59,linear,True,False
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,54,0.054,100,0,99,4.1450885193592825e-06,2.11544447478463e-06,2.541722758676431e-06,3.528303244905032e-06,5.5016317639989704e-06,7.435389937513907e-06,4.014907144678417e-06,1.5185498354062675e-06,0.57,linear,True,False
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,55,0.055,100,0,99,3.034958647452665e-06,1.8144684405487164e-06,2.7222819516483534e-06,3.931309627289618e-06,5.202539387538829e-06,7.393041322085996e-06,4.022978998585073e-06,1.3706209345564898e-06,0.22,linear,True,False
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,56,0.056,100,0,99,3.226051522730868e-06,2.115897675294698e-06,2.6122291266733837e-06,3.5044313693646126e-06,4.923670164075829e-06,6.530939472675591e-06,3.7473489675206982e-06,1.178716349589698e-06,0.42,linear,True,False
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,57,0.057,100,0,99,2.7045464283974757e-06,1.9765413009007077e-06,2.6618215116135063e-06,3.5883937413331917e-06,5.0068720251403025e-06,7.273403413239976e-06,3.858366412963334e-06,1.3430210065144178e-06,0.19,linear,True,False
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,58,0.058,100,0,99,2.351173278744785e-06,1.853142789669905e-06,2.261809507945184e-06,3.302562784500988e-06,4.925430845667441e-06,5.990594868879199e-06,3.533775202594738e-06,1.2034755253356964e-06,0.18,linear,True,False
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,59,0.059,100,0,99,2.1316282311782747e-06,1.7356489801072267e-06,2.1978660196410763e-06,3.363995868350027e-06,4.4061039990065415e-06,5.663425641863133e-06,3.454630644441475e-06,1.102577311947455e-06,0.15,linear,True,False
