scope_key,selected_scope_key,mass_MeV,mass_GeV,dataset_set,sigma_by_dataset_GeV,sigma_effective_GeV,next_mass_step_GeV,next_interval_sigma_mid_GeV,N_eff_next_interval_contribution,independence_width_sigma,p0_local_asymptotic,is_scope_scan_minimum,report_target_toys
individual_2015_full,individual_2015_full,19,0.019,2015,"{""2015"":0.0009189342902331}",0.0009189342902331,0.0010000000000000009,0.0009455438321659499,0.47004108040804343,2.25,0.5,False,300
individual_2015_full,individual_2015_full,20,0.02,2015,"{""2015"":0.0009721533740987999}",0.0009721533740987999,0.0010000000000000009,0.0009987629160316499,0.4449949405513979,2.25,0.4833791450286052,False,300
individual_2015_full,individual_2015_full,21,0.021,2015,"{""2015"":0.0010253724579645}",0.0010253724579645,0.0009999999999999974,0.0010519819998973498,0.4224829364835247,2.25,0.005940912807469,False,300
individual_2015_full,individual_2015_full,22,0.022,2015,"{""2015"":0.0010785915418301997}",0.0010785915418301997,0.0010000000000000009,0.0011052010837630498,0.40213898717071084,2.25,0.0770457924519072,False,300
individual_2015_full,individual_2015_full,23,0.023,2015,"{""2015"":0.0011318106256958998}",0.0011318106256958998,0.0010000000000000009,0.0011584201676287497,0.38366428422444415,2.25,0.5,False,300
individual_2015_full,individual_2015_full,24,0.024,2015,"{""2015"":0.0011850297095615998}",0.0011850297095615998,0.0010000000000000009,0.0012116392514944499,0.36681251774920787,2.25,0.5,False,300
individual_2015_full,individual_2015_full,25,0.025,2015,"{""2015"":0.0012382487934273}",0.0012382487934273,0.0009999999999999974,0.00126485833536015,0.35137883193685415,2.25,0.5,False,300
individual_2015_full,individual_2015_full,26,0.026,2015,"{""2015"":0.0012914678772929999}",0.0012914678772929999,0.0010000000000000009,0.0013180774192258497,0.33719145625412633,2.25,0.3834249031797314,False,300
individual_2015_full,individual_2015_full,27,0.027,2015,"{""2015"":0.0013446869611586998}",0.0013446869611586998,0.0010000000000000009,0.00137129650309155,0.32410528535765765,2.25,0.443594676918176,False,300
individual_2015_full,individual_2015_full,28,0.028,2015,"{""2015"":0.0013979060450244}",0.0013979060450244,0.0010000000000000009,0.00142451558695725,0.31199689811311465,2.25,0.4715599882342036,False,300
individual_2015_full,individual_2015_full,29,0.029,2015,"{""2015"":0.0014511251288901}",0.0014511251288901,0.0009999999999999974,0.0014777346708229498,0.3007606529235268,2.25,0.2958487306022029,False,300
individual_2015_full,individual_2015_full,30,0.03,2015,"{""2015"":0.0015043442127557999}",0.0015043442127557999,0.0010000000000000009,0.00153095375468865,0.2903055974638708,2.25,0.1291357069094645,False,300
individual_2015_full,individual_2015_full,31,0.031,2015,"{""2015"":0.0015575632966214998}",0.0015575632966214998,0.0010000000000000009,0.0015841728385543499,0.28055300130636396,2.25,0.2476290026147326,False,300
individual_2015_full,individual_2015_full,32,0.032,2015,"{""2015"":0.0016107823804872}",0.0016107823804872,0.0010000000000000009,0.0016373919224200498,0.27143436971861945,2.25,0.5,False,300
