scope_key,mass_MeV,scope_label,dataset_set,n_toys,toy_id_min,toy_id_max,eps2_observed,n_strong,n_weak,p0_local_asymptotic,Z_local_asymptotic,pvalue_method,p_strong,p_weak,p_two,empirical_p_resolution,diagnostic_definition
all_2015_2016_2021,50,2015 full + 2016 full + 2021 10%,2015+2016+2021,100,0,99,7.7429456646045609e-06,96,4,0.070621542441792307,1.4711776312415186,fixed-mass local asymptotic one-sided profile LRT,0.95999999999999996,0.040000000000000001,0.080000000000000002,0.01,"p_strong=Pr(UL_toy<=UL_obs); p_weak=Pr(UL_toy>=UL_obs); p_two=min(1,2*min(p_strong,p_weak))"
all_2015_2016_2021,51,2015 full + 2016 full + 2021 10%,2015+2016+2021,100,0,99,6.9076125052637276e-06,91,9,0.11189884289551939,1.2164916609397141,fixed-mass local asymptotic one-sided profile LRT,0.91000000000000003,0.089999999999999997,0.17999999999999999,0.01,"p_strong=Pr(UL_toy<=UL_obs); p_weak=Pr(UL_toy>=UL_obs); p_two=min(1,2*min(p_strong,p_weak))"
all_2015_2016_2021,52,2015 full + 2016 full + 2021 10%,2015+2016+2021,100,0,99,6.0282777711464049e-06,81,19,0.18572081719196681,0.8937762209907274,fixed-mass local asymptotic one-sided profile LRT,0.81000000000000005,0.19,0.38,0.01,"p_strong=Pr(UL_toy<=UL_obs); p_weak=Pr(UL_toy>=UL_obs); p_two=min(1,2*min(p_strong,p_weak))"
all_2015_2016_2021,53,2015 full + 2016 full + 2021 10%,2015+2016+2021,100,0,99,4.8208466609116962e-06,59,41,0.33386391479953631,0.4292685113202413,fixed-mass local asymptotic one-sided profile LRT,0.58999999999999997,0.40999999999999998,0.81999999999999995,0.01,"p_strong=Pr(UL_toy<=UL_obs); p_weak=Pr(UL_toy>=UL_obs); p_two=min(1,2*min(p_strong,p_weak))"
all_2015_2016_2021,54,2015 full + 2016 full + 2021 10%,2015+2016+2021,100,0,99,4.1450885193592825e-06,57,43,0.44413201021373838,0.14050117975465959,fixed-mass local asymptotic one-sided profile LRT,0.56999999999999995,0.42999999999999999,0.85999999999999999,0.01,"p_strong=Pr(UL_toy<=UL_obs); p_weak=Pr(UL_toy>=UL_obs); p_two=min(1,2*min(p_strong,p_weak))"
all_2015_2016_2021,55,2015 full + 2016 full + 2021 10%,2015+2016+2021,100,0,99,3.0349586474526652e-06,22,78,0.5,0,fixed-mass local asymptotic one-sided profile LRT,0.22,0.78000000000000003,0.44,0.01,"p_strong=Pr(UL_toy<=UL_obs); p_weak=Pr(UL_toy>=UL_obs); p_two=min(1,2*min(p_strong,p_weak))"
all_2015_2016_2021,56,2015 full + 2016 full + 2021 10%,2015+2016+2021,100,0,99,3.2260515227308679e-06,42,58,0.5,0,fixed-mass local asymptotic one-sided profile LRT,0.41999999999999998,0.57999999999999996,0.83999999999999997,0.01,"p_strong=Pr(UL_toy<=UL_obs); p_weak=Pr(UL_toy>=UL_obs); p_two=min(1,2*min(p_strong,p_weak))"
all_2015_2016_2021,57,2015 full + 2016 full + 2021 10%,2015+2016+2021,100,0,99,2.7045464283974757e-06,19,81,0.5,0,fixed-mass local asymptotic one-sided profile LRT,0.19,0.81000000000000005,0.38,0.01,"p_strong=Pr(UL_toy<=UL_obs); p_weak=Pr(UL_toy>=UL_obs); p_two=min(1,2*min(p_strong,p_weak))"
all_2015_2016_2021,58,2015 full + 2016 full + 2021 10%,2015+2016+2021,100,0,99,2.3511732787447849e-06,18,82,0.5,0,fixed-mass local asymptotic one-sided profile LRT,0.17999999999999999,0.81999999999999995,0.35999999999999999,0.01,"p_strong=Pr(UL_toy<=UL_obs); p_weak=Pr(UL_toy>=UL_obs); p_two=min(1,2*min(p_strong,p_weak))"
all_2015_2016_2021,59,2015 full + 2016 full + 2021 10%,2015+2016+2021,100,0,99,2.1316282311782747e-06,15,85,0.49986225840519077,0.00034526698300120002,fixed-mass local asymptotic one-sided profile LRT,0.14999999999999999,0.84999999999999998,0.29999999999999999,0.01,"p_strong=Pr(UL_toy<=UL_obs); p_weak=Pr(UL_toy>=UL_obs); p_two=min(1,2*min(p_strong,p_weak))"
