fit_id,group,rank,dataset,mass_hypothesis_MeV,bin_center_MeV,bin_width_MeV,observed,gp_mean,profiled_background,signal,total,in_fit
2015_rank1_m051,2015,1,2015,51,14.125,0.2499999999999985,921.0,921.3323031039129,921.3323031039129,0.0,921.3323031039129,False
2015_rank1_m051,2015,1,2015,51,14.375,0.25000000000000194,1445.0,1438.63361474913,1438.63361474913,0.0,1438.63361474913,False
2015_rank1_m051,2015,1,2015,51,14.625,0.2499999999999985,2180.0,2164.6284664618092,2164.6284664618092,0.0,2164.6284664618092,False
2015_rank1_m051,2015,1,2015,51,14.875000000000002,0.25000000000000194,3107.0,3146.031383196456,3146.031383196456,0.0,3146.031383196456,False
2015_rank1_m051,2015,1,2015,51,15.125,0.2499999999999985,4456.0,4427.747464410555,4427.747464410555,0.0,4427.747464410555,False
2015_rank1_m051,2015,1,2015,51,15.375,0.25000000000000194,5946.0,6049.852718357878,6049.852718357878,0.0,6049.852718357878,False
2015_rank1_m051,2015,1,2015,51,15.625,0.2499999999999985,8044.0,8045.084545197276,8045.084545197276,0.0,8045.084545197276,False
2015_rank1_m051,2015,1,2015,51,15.875,0.2500000000000002,10473.0,10437.11164040797,10437.11164040797,0.0,10437.11164040797,False
2015_rank1_m051,2015,1,2015,51,16.125,0.2500000000000002,13308.0,13239.679554315939,13239.679554315939,0.0,13239.679554315939,False
2015_rank1_m051,2015,1,2015,51,16.375,0.2500000000000002,16475.0,16456.572321138276,16456.572321138276,0.0,16456.572321138276,False
2015_rank1_m051,2015,1,2015,51,16.625,0.2500000000000002,20115.0,20082.224420648054,20082.224420648054,0.0,20082.224420648054,False
2015_rank1_m051,2015,1,2015,51,16.875,0.2500000000000002,24011.0,24102.77050509387,24102.77050509387,0.0,24102.77050509387,False
2015_rank1_m051,2015,1,2015,51,17.125,0.2500000000000002,28510.0,28497.324694699233,28497.324694699233,0.0,28497.324694699233,False
2015_rank1_m051,2015,1,2015,51,17.375,0.2500000000000002,33345.0,33239.319002496224,33239.319002496224,0.0,33239.319002496224,False
2015_rank1_m051,2015,1,2015,51,17.625,0.2500000000000002,38639.0,38297.782793695806,38297.782793695806,0.0,38297.782793695806,False
2015_rank1_m051,2015,1,2015,51,17.875,0.2500000000000002,43342.0,43638.497060032925,43638.497060032925,0.0,43638.497060032925,False
2015_rank1_m051,2015,1,2015,51,18.125000000000004,0.24999999999999675,49502.0,49224.99927758979,49224.99927758979,0.0,49224.99927758979,False
2015_rank1_m051,2015,1,2015,51,18.375,0.25000000000000366,54719.0,55019.44335887135,55019.44335887135,0.0,55019.44335887135,False
2015_rank1_m051,2015,1,2015,51,18.625,0.24999999999999675,61080.0,60983.33458938884,60983.33458938884,0.0,60983.33458938884,False
2015_rank1_m051,2015,1,2015,51,18.875,0.25000000000000366,66658.0,67078.16453647801,67078.16453647801,0.0,67078.16453647801,False
2015_rank1_m051,2015,1,2015,51,19.125,0.24999999999999675,73015.0,73265.96837646632,73265.96837646632,0.0,73265.96837646632,False
2015_rank1_m051,2015,1,2015,51,19.375,0.2500000000000002,79172.0,79509.82115184731,79509.82115184731,0.0,79509.82115184731,False
2015_rank1_m051,2015,1,2015,51,19.625,0.2500000000000002,85833.0,85774.28199090705,85774.28199090705,0.0,85774.28199090705,False
2015_rank1_m051,2015,1,2015,51,19.875,0.2500000000000002,92070.0,92025.78850775304,92025.78850775304,0.0,92025.78850775304,False
2015_rank1_m051,2015,1,2015,51,20.125,0.2500000000000002,98345.0,98232.99887822058,98232.99887822058,0.0,98232.99887822058,False
2015_rank1_m051,2015,1,2015,51,20.375,0.2500000000000002,104919.0,104367.07582021832,104367.07582021832,0.0,104367.07582021832,False
2015_rank1_m051,2015,1,2015,51,20.625,0.2500000000000002,110863.0,110401.90670769497,110401.90670769497,0.0,110401.90670769497,False
2015_rank1_m051,2015,1,2015,51,20.875,0.2500000000000002,116400.0,116314.25440012362,116314.25440012362,0.0,116314.25440012362,False
2015_rank1_m051,2015,1,2015,51,21.125,0.2500000000000002,122490.0,122083.83642029321,122083.83642029321,0.0,122083.83642029321,False
2015_rank1_m051,2015,1,2015,51,21.375,0.2500000000000002,127261.0,127693.33281029155,127693.33281029155,0.0,127693.33281029155,False
2015_rank1_m051,2015,1,2015,51,21.625000000000004,0.2500000000000002,132891.0,133128.32622171714,133128.32622171714,0.0,133128.32622171714,False
2015_rank1_m051,2015,1,2015,51,21.875,0.2500000000000002,138213.0,138377.18115065744,138377.18115065744,0.0,138377.18115065744,False
2015_rank1_m051,2015,1,2015,51,22.125000000000004,0.2500000000000002,143708.0,143430.871005846,143430.871005846,0.0,143430.871005846,False
2015_rank1_m051,2015,1,2015,51,22.375000000000004,0.24999999999999675,148084.0,148282.7641863933,148282.7641863933,0.0,148282.7641863933,False
2015_rank1_m051,2015,1,2015,51,22.625000000000004,0.2500000000000002,152817.0,152928.38025089315,152928.38025089315,0.0,152928.38025089315,False
2015_rank1_m051,2015,1,2015,51,22.875000000000004,0.25000000000000366,157682.0,157365.12836310946,157365.12836310946,0.0,157365.12836310946,False
2015_rank1_m051,2015,1,2015,51,23.125,0.24999999999999675,161333.0,161592.03847786688,161592.03847786688,0.0,161592.03847786688,False
2015_rank1_m051,2015,1,2015,51,23.375000000000004,0.25000000000000366,165737.0,165609.4958988981,165609.4958988981,0.0,165609.4958988981,False
2015_rank1_m051,2015,1,2015,51,23.625,0.24999999999999675,168785.0,169418.98714176123,169418.98714176123,0.0,169418.98714176123,False
2015_rank1_m051,2015,1,2015,51,23.875,0.25000000000000366,173199.0,173022.86406938278,173022.86406938278,0.0,173022.86406938278,False
2015_rank1_m051,2015,1,2015,51,24.125,0.24999999999999675,176540.0,176424.1313299918,176424.1313299918,0.0,176424.1313299918,False
