mass_MeV,dataset,bin_center_GeV,bin_center_MeV,observed_events,gp_mean_events,joint_profiled_background_events,independent_profiled_background_events,shared_signal_events,shared_total_events,independent_signed_signal_events,independent_signed_total_events,in_fitted_window,bin_width_MeV
66,2015,0.014125,14.125,921.0,919.3621723597871,919.3621723597871,919.3621723597871,0.0,919.3621723597871,0.0,919.3621723597871,False,0.2499999999999985
66,2015,0.014375,14.375,1445.0,1438.82401186376,1438.82401186376,1438.82401186376,0.0,1438.82401186376,0.0,1438.82401186376,False,0.25000000000000194
66,2015,0.014625,14.625,2180.0,2167.2119085014774,2167.2119085014774,2167.2119085014774,0.0,2167.2119085014774,0.0,2167.2119085014774,False,0.2499999999999985
66,2015,0.014875000000000001,14.875000000000002,3107.0,3150.6592381173627,3150.6592381173627,3150.6592381173627,0.0,3150.6592381173627,0.0,3150.6592381173627,False,0.25000000000000194
66,2015,0.015125,15.125,4456.0,4433.450642240447,4433.450642240447,4433.450642240447,0.0,4433.450642240447,0.0,4433.450642240447,False,0.2499999999999985
66,2015,0.015375,15.375,5946.0,6055.172132971918,6055.172132971918,6055.172132971918,0.0,6055.172132971918,0.0,6055.172132971918,False,0.25000000000000194
66,2015,0.015625,15.625,8044.0,8048.350839963193,8048.350839963193,8048.350839963193,0.0,8048.350839963193,0.0,8048.350839963193,False,0.2499999999999985
66,2015,0.015875,15.875,10473.0,10436.808694652023,10436.808694652023,10436.808694652023,0.0,10436.808694652023,0.0,10436.808694652023,False,0.2500000000000002
66,2015,0.016125,16.125,13308.0,13234.803364661451,13234.803364661451,13234.803364661451,0.0,13234.803364661451,0.0,13234.803364661451,False,0.2500000000000002
66,2015,0.016375,16.375,16475.0,16446.90067416793,16446.90067416793,16446.90067416793,0.0,16446.90067416793,0.0,16446.90067416793,False,0.2500000000000002
66,2015,0.016625,16.625,20115.0,20068.438376766622,20068.438376766622,20068.438376766622,0.0,20068.438376766622,0.0,20068.438376766622,False,0.2500000000000002
66,2015,0.016875,16.875,24011.0,24086.405614336916,24086.405614336916,24086.405614336916,0.0,24086.405614336916,0.0,24086.405614336916,False,0.2500000000000002
66,2015,0.017125,17.125,28510.0,28480.566711830084,28480.566711830084,28480.566711830084,0.0,28480.566711830084,0.0,28480.566711830084,False,0.2500000000000002
66,2015,0.017375,17.375,33345.0,33224.68735207516,33224.68735207516,33224.68735207516,0.0,33224.68735207516,0.0,33224.68735207516,False,0.2500000000000002
66,2015,0.017625000000000002,17.625,38639.0,38287.760627506155,38287.760627506155,38287.760627506155,0.0,38287.760627506155,0.0,38287.760627506155,False,0.2500000000000002
66,2015,0.017875,17.875,43342.0,43635.16931625228,43635.16931625228,43635.16931625228,0.0,43635.16931625228,0.0,43635.16931625228,False,0.2500000000000002
66,2015,0.018125000000000002,18.125000000000004,49502.0,49229.75200871749,49229.75200871749,49229.75200871749,0.0,49229.75200871749,0.0,49229.75200871749,False,0.24999999999999675
