ensemble,mass_MeV,strength_sigma,method,n,Atrue,mean_Ahat,std_Ahat,mean_sigma_A,pull_mean,pull_std,mean_r,std_r,exclusion_count,exclusion_fraction,exclusion_low,exclusion_high,false_positive_count,false_positive_fraction,false_positive_low,false_positive_high,kappa_reference,mean_signal_response
gp_uncertainty,65,0,fixed,3,0.0,3997.758045950219,9063.651304758705,3337.145950460784,1.1971176771611194,2.7147055379108163,1.197830566777797,2.715911298566601,0,0.0,0.0,0.7075982261787133,1,0.3333333333333333,0.008403758659612643,0.9057006759497539,2.60724763435522,
gp_uncertainty,65,0,profiled,3,0.0,875.8662073409778,10229.856109898508,6940.231907788334,0.1259461459160156,1.4737295607981238,0.12598583669505214,1.4737718546175222,0,0.0,0.0,0.7075982261787133,1,0.3333333333333333,0.008403758659612643,0.9057006759497539,2.60724763435522,
gp_uncertainty,65,2,fixed,3,13879.563691916272,20299.941502822516,5684.550393782474,3339.868859329233,1.9220257022794442,1.7016548411327002,6.082113331598527,1.7027188366522956,0,0.0,0.0,0.7075982261787133,3,1.0,0.29240177382128674,1.0,2.60724763435522,1.17454581561285
gp_uncertainty,65,2,profiled,3,13879.563691916272,19235.05187690144,6004.604291091094,6943.185378023918,0.7712627824529981,0.8647585094813153,2.7705040324023478,0.8646575836482054,0,0.0,0.0,0.7075982261787133,3,1.0,0.29240177382128674,1.0,2.60724763435522,1.322749480969147
gp_uncertainty,65,5,fixed,3,34698.909229790675,33344.011363667916,7726.380507705695,3342.0963289094984,-0.4061005016271144,2.3115848500241607,9.987858749788549,2.3122923306621104,1,0.3333333333333333,0.008403758659612643,0.9057006759497539,3,1.0,0.29240177382128674,1.0,2.60724763435522,0.8457399373385066
gp_uncertainty,65,5,profiled,3,34698.909229790675,31570.644909686413,3443.886164957576,6945.405151992524,-0.45041193842604205,0.4958942310703657,4.5461046540956955,0.4959557674348649,0,0.0,0.0,0.7075982261787133,3,1.0,0.29240177382128674,1.0,2.60724763435522,0.8846035620045514
gp_uncertainty,231,0,fixed,3,0.0,724.0929765063212,637.8070327035941,1034.6235101865611,0.699727946528451,0.6163492472366425,0.6999998583778949,0.6165847685279141,0,0.0,0.0,0.7075982261787133,0,0.0,0.0,0.7075982261787133,2.079639507076067,
gp_uncertainty,231,0,profiled,3,0.0,936.8404477550062,1023.78622980475,1809.5356424582399,0.5176876347715377,0.5656935637567039,0.5177490751550698,0.5657916120280362,0,0.0,0.0,0.7075982261787133,0,0.0,0.0,0.7075982261787133,2.079639507076067,
gp_uncertainty,231,2,fixed,3,3618.7513651547993,3796.9221793905576,1658.9287981975265,1036.5102438332794,0.17092841749454055,1.601019161483036,3.6677449924374037,1.601815486451419,1,0.3333333333333333,0.008403758659612643,0.9057006759497539,3,1.0,0.29240177382128674,1.0,2.079639507076067,0.8491407374578746
gp_uncertainty,231,2,profiled,3,3618.7513651547993,2994.500295287799,1769.9851964350974,1811.2931519564372,-0.34474864204261096,0.9771102158976986,1.653564468455506,0.9772702969620151,0,0.0,0.0,0.7075982261787133,1,0.3333333333333333,0.008403758659612643,0.9057006759497539,2.079639507076067,0.568610451479518
gp_uncertainty,231,5,fixed,3,9046.878412886996,9096.022332185124,1418.3209094059425,1039.3088713974987,0.04661756049000365,1.3647596754058477,8.779801997230871,1.366938097237044,1,0.3333333333333333,0.008403758659612643,0.9057006759497539,3,1.0,0.29240177382128674,1.0,2.079639507076067,0.9253942601630692
gp_uncertainty,231,5,profiled,3,9046.878412886996,9278.369643128586,1571.7699390779735,1814.143686274482,0.12739272596708925,0.8665102767734479,5.117650725100321,0.8657645892151502,0,0.0,0.0,0.7075982261787133,3,1.0,0.29240177382128674,1.0,2.079639507076067,0.9220339673728047
known_background,65,0,fixed,3,0.0,-960.1650261339886,5327.133941655813,3336.2313057328706,-0.2881061611224944,1.5966327733924348,-0.28790592755972805,1.5966560371360494,0,0.0,0.0,0.7075982261787133,0,0.0,0.0,0.7075982261787133,2.60724763435522,
known_background,65,0,profiled,3,0.0,-108.36177886817934,4167.039421286197,6939.574930575224,-0.01567122752714205,0.6004413381173348,-0.015664702866258335,0.6004446572763429,0,0.0,0.0,0.7075982261787133,0,0.0,0.0,0.7075982261787133,2.60724763435522,
known_background,65,2,fixed,3,13879.563691916272,11031.156572949352,5687.746052251284,3338.271323661093,-0.8535766194281557,1.7039478163175514,3.3055770667576305,1.7041032494409734,1,0.3333333333333333,0.008403758659612643,0.9057006759497539,3,1.0,0.29240177382128674,1.0,2.60724763435522,0.8639552269259962
known_background,65,2,profiled,3,13879.563691916272,9839.773386672752,7805.659824570999,6941.4018212312185,-0.5821187695520506,1.1245609185531387,1.4174918576480369,1.1242984855780525,1,0.3333333333333333,0.008403758659612643,0.9057006759497539,1,0.3333333333333333,0.008403758659612643,0.9057006759497539,2.60724763435522,0.7167469659968432
known_background,65,5,fixed,3,34698.909229790675,36101.93550607705,2411.068201352762,3342.5608443065016,0.41969370544340084,0.7212525368052799,10.81377267569646,0.7218960335359655,0,0.0,0.0,0.7075982261787133,3,1.0,0.29240177382128674,1.0,2.60724763435522,1.0681056365999957
known_background,65,5,profiled,3,34698.909229790675,35715.51402285402,3961.700133161028,6946.2054982517775,0.14633084188568712,0.5703186689067301,5.142429565071583,0.5701783699167172,0,0.0,0.0,0.7075982261787133,3,1.0,0.29240177382128674,1.0,2.60724763435522,1.032420805059938
known_background,231,0,fixed,3,0.0,-499.61594009201804,1001.617293182467,1033.94809735153,-0.48360634721823187,0.9693680751510088,-0.48329150710425717,0.9688264399071742,0,0.0,0.0,0.7075982261787133,0,0.0,0.0,0.7075982261787133,2.079639507076067,
known_background,231,0,profiled,3,0.0,-187.317654625498,476.99503403497073,1808.866333802205,-0.10359886539443107,0.2637523769394862,-0.10359157211696539,0.2637460873998842,0,0.0,0.0,0.7075982261787133,0,0.0,0.0,0.7075982261787133,2.079639507076067,
known_background,231,2,fixed,3,3618.7513651547993,3749.133566041539,903.2812062712359,1036.4622477559496,0.1255597778522875,0.8712495530075848,3.6219772090879516,0.8722957667044069,0,0.0,0.0,0.7075982261787133,3,1.0,0.29240177382128674,1.0,2.079639507076067,1.174092684853967
known_background,231,2,profiled,3,3618.7513651547993,3433.279805726381,1316.5598259733079,1811.4321768709008,-0.10243998699680885,0.7267099172195035,1.8957926776770675,0.7268627636986439,0,0.0,0.0,0.7075982261787133,2,0.6666666666666666,0.09429932405024613,0.9915962413403874,2.079639507076067,1.0005101470122695
known_background,231,5,fixed,3,9046.878412886996,9917.433326377162,845.9332185826281,1039.8753113509922,0.836988336828916,0.8130494621191471,9.570394481550338,0.8158905209777432,0,0.0,0.0,0.7075982261787133,3,1.0,0.29240177382128674,1.0,2.079639507076067,1.1514523342803435
known_background,231,5,profiled,3,9046.878412886996,9094.976480960491,1219.0885192552294,1814.6013657699289,0.02646874625860296,0.6717806068145129,5.01531032955308,0.6722458179726978,0,0.0,0.0,0.7075982261787133,3,1.0,0.29240177382128674,1.0,2.079639507076067,1.0260217626406531
retrained_sidebands,65,0,fixed,3,0.0,-1807.4903817720913,7534.611955438593,3346.977272998085,-0.5405005987715132,2.2511931698533685,-0.5400896224815753,2.2511470092496335,0,0.0,0.0,0.7075982261787133,1,0.3333333333333333,0.008403758659612643,0.9057006759497539,2.60724763435522,
