scope_key,mass_MeV,validation_truth,method,strength,Atrue,test,procedure,rejected,n,fraction,binomial_low,binomial_high,tail_mc_ready_count,mc_decision_resolved_count,legacy_closure_passed
individual_2021_10pct,71,reverse_exclude60_86,profiled,0,0.0,local_5pct,raw,1,500,0.002,5.0634334007415215e-05,0.011092476898968787,356,356,True
individual_2021_10pct,71,reverse_exclude60_86,profiled,0,0.0,local_5pct,calibrated,19,500,0.038,0.023030770806247602,0.05870729046322855,356,356,True
individual_2021_10pct,71,reverse_exclude60_86,fixed,0,0.0,local_5pct,raw,38,500,0.076,0.05434078124391166,0.10282558211499361,373,373,True
individual_2021_10pct,71,reverse_exclude60_86,fixed,0,0.0,local_5pct,calibrated,25,500,0.05,0.03261518014933005,0.07292762165047895,373,373,True
individual_2021_10pct,71,reverse_exclude60_86,profiled,2,13692.18204264978,exclusion,raw,100,500,0.2,0.1658001258438328,0.23779183027990708,440,440,True
individual_2021_10pct,71,reverse_exclude60_86,profiled,2,13692.18204264978,exclusion,calibrated,0,500,0.0,0.0,0.007350610051907784,440,440,True
individual_2021_10pct,71,reverse_exclude60_86,fixed,2,13692.18204264978,exclusion,raw,315,500,0.63,0.5860116517889014,0.6724412428185209,416,416,True
individual_2021_10pct,71,reverse_exclude60_86,fixed,2,13692.18204264978,exclusion,calibrated,0,500,0.0,0.0,0.007350610051907784,416,416,True
individual_2021_10pct,71,reverse_exclude60_86,profiled,5,34230.455106624446,exclusion,raw,145,500,0.29,0.25056957304977345,0.3319343084814638,369,369,True
individual_2021_10pct,71,reverse_exclude60_86,profiled,5,34230.455106624446,exclusion,calibrated,3,500,0.006,0.0012390575435407504,0.017433673725913514,369,369,True
individual_2021_10pct,71,reverse_exclude60_86,fixed,5,34230.455106624446,exclusion,raw,349,500,0.698,0.6556700366777524,0.7379700225668999,364,364,True
individual_2021_10pct,71,reverse_exclude60_86,fixed,5,34230.455106624446,exclusion,calibrated,2,500,0.004,0.00048478617629000073,0.014374078562200309,364,364,True
