scope_key,scope_label,dataset_set,mass_MeV,n_fit_bins,dimuon_factor,signal_yield_per_eps2_fitted_window,eps2_current_ee_raw,eps2_fixed_ee_raw,eps2_current_display,eps2_fixed_display,fixed_over_current,p0_current,log_p0_current,Z_current,p0_fixed,log_p0_fixed,Z_fixed,signed_r_fixed,Ahat_fixed_window,sigma_A_fixed_window,eps2_hat_fixed_unbounded_ee_raw,eps2_fixed_asimov_ee_raw,eps2_profiled_asimov_ee_raw,eps2_fixed_asimov_display,eps2_profiled_asimov_display,fixed_over_profiled_asimov,fixed_cls_at_limit,inherited_2016_numerical_exception,fixed_background_uncertainty_omitted,conditional_on_frozen_gp,gp_reoptimized,prior_2021_fixed_limit_relative_delta,prior_2021_fixed_r_delta,checkpoint_completed,checkpoint_status,status_profiled,status_p0_profiled,eps2_profiled_calibrated,eps2_profiled_calibrated_ee_raw,eps2_profiled_mc_low,eps2_profiled_mc_low_ee_raw,eps2_profiled_mc_high,eps2_profiled_mc_high_ee_raw,p0_profiled_calibrated,p0_profiled_mc_se,eps2_profiled_asymptotic,eps2_profiled_asymptotic_ee_raw,p0_profiled_asymptotic,status_fixed,status_p0_fixed,eps2_fixed_calibrated,eps2_fixed_calibrated_ee_raw,eps2_fixed_mc_low,eps2_fixed_mc_low_ee_raw,eps2_fixed_mc_high,eps2_fixed_mc_high_ee_raw,p0_fixed_calibrated,p0_fixed_mc_se,eps2_fixed_asymptotic,eps2_fixed_asymptotic_ee_raw,p0_fixed_asymptotic,ratio_fixed_over_profiled_calibrated,checkpoint_path,ntoys_per_proposal,nvalidation,sigma_reference,gp_backend,signed_r_profiled_asymptotic,limiting_truth_profiled,p0_limiting_truth_profiled,p0_profiled_weighted_estimate_unclipped,log_p0_profiled_calibrated,signed_r_fixed_asymptotic,limiting_truth_fixed,p0_limiting_truth_fixed,p0_fixed_weighted_estimate_unclipped,log_p0_fixed_calibrated,numerical_audit_passed,profiled_calibrated_over_parent_asymptotic,profiled_calibrated_over_same_solver_asymptotic
individual_2015_full,2015 full,2015,22,20,1.0,612933316.5056059,1.6849498786461963e-05,2.936626744084558e-05,1.6849498786461963e-05,2.936626744084558e-05,1.7428570317142278,0.0770457924519072,-2.5633553267290545,1.425227031378324,3.3075467292246185e-30,-67.88134604465279,11.359991684426843,11.359991684426843,16169.361917111364,1427.6319549872385,2.638029534647343e-05,3.8142603878194705e-06,1.0060638541528098e-05,3.8142603878194705e-06,1.0060638541528098e-05,0.379127067539008,0.099999999999869,False,True,True,False,,,True,completed_point,limited_mc,resolved,2.8478229094353735e-05,2.8478229094353735e-05,2.7970457982183605e-05,2.7970457982183605e-05,2.8986000206523865e-05,2.8986000206523865e-05,0.1499421808041482,0.0072698795045549,1.6865840283127078e-05,1.6865840283127078e-05,0.0770234229336914,resolved,resolved,5.6668105858745306e-05,5.6668105858745306e-05,5.5998958379220075e-05,5.5998958379220075e-05,5.733725333827053e-05,5.733725333827053e-05,0.0052639599060739,0.0004110983718725,2.936626744084558e-05,2.936626744084558e-05,3.3075467292246185e-30,1.9898746397113811,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p9p13_calibration_20260905/refined_v1/attempt1_batch001/individual_2015_full/m022/result.json,,500,3748.779684726695,eigenfeature_rtol_1e-15,1.425381870113801,stress,gp,0.1499421808041482,-1.8975055205008649,11.359991684426843,stress,gp,0.0052639599060739,-5.246871701615417,True,1.6901528915053003,1.6885152839283033
individual_2015_full,2015 full,2015,39,36,1.0,1180158100.8325508,1.4949852389226707e-05,1.6578230048949484e-05,1.4949852389226707e-05,1.6578230048949484e-05,1.1089226580522114,0.0128929255150321,-4.351076527733536,2.2294218308738527,1.575205472659873e-17,-38.689560858298535,8.440848934591413,8.440848934591413,16981.921558912694,2015.0515446161444,1.4389530984816933e-05,2.802490622017428e-06,6.9941917989755905e-06,2.802490622017428e-06,6.9941917989755905e-06,0.4006882714351495,0.0999999999998277,False,True,True,False,,,True,completed_point,resolved,resolved,1.6675699137725688e-05,1.6675699137725688e-05,1.6326732603284236e-05,1.6326732603284236e-05,1.7024665672167143e-05,1.7024665672167143e-05,0.0089624653580492,0.0006064896534067,1.4950959513310929e-05,1.4950959513310929e-05,0.0130757430627837,resolved,resolved,2.5378952472554637e-05,2.5378952472554637e-05,2.4723216365097175e-05,2.4723216365097175e-05,2.6034688580012093e-05,2.6034688580012093e-05,0.003934130128859,0.0003083860041128,1.6578230048949484e-05,1.6578230048949484e-05,1.575205472659873e-17,1.5219123505976098,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p9p13_calibration_20260905/derived/individual_2015_full/m039/result.json,256.0,500,5017.998132126433,eigenfeature_rtol_1e-15,2.2239547905804233,stress,gp,0.0089624653580492,-4.714709938274552,8.440848934591413,stress,gp,0.003934130128859,-5.538065481560551,True,1.1154423939157203,1.1153597949937069
individual_2015_full,2015 full,2015,50,46,1.0,640811835.9898628,2.4600041512683968e-05,2.532335402629939e-05,2.4600041512683968e-05,2.532335402629939e-05,1.0294028980903336,0.0012433061942815,-6.689981161888306,3.0249658056072275,4.9129685676085874e-23,-51.36757878349701,9.81373837369393,9.81373837369393,14348.391068825313,1465.7941445940885,2.2390958254791496e-05,3.749362331019209e-06,9.380444424528862e-06,3.749362331019209e-06,9.380444424528862e-06,0.399699860831223,0.0999999999998758,False,True,True,False,,,True,completed_point,resolved,resolved,2.7508004471377832e-05,2.7508004471377832e-05,2.719873176798055e-05,2.719873176798055e-05,2.7817277174775117e-05,2.7817277174775117e-05,0.0014836986102349,0.0001220312677789,2.460007897586973e-05,2.460007897586973e-05,0.0012439576951337,resolved,resolved,3.921588086502087e-05,3.921588086502087e-05,3.878587508705787e-05,3.878587508705787e-05,3.964588664298387e-05,3.964588664298387e-05,0.0040543706138081,0.000331605594086,2.532335402629939e-05,2.532335402629939e-05,4.9129685676085874e-23,1.4256170746891188,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p9p13_calibration_20260905/refined_v1/attempt1_batch002/individual_2015_full/m050/result.json,,500,3654.241445800656,eigenfeature_rtol_1e-15,3.0248073568306686,gp,stress,0.0014836986102349,-6.513217247696697,9.81373837369393,gp,stress,0.0040543706138081,-5.50795981583921,True,1.1182096768899554,1.1182079739809165
individual_2015_full,2015 full,2015,51,48,1.0,595870064.4024618,2.6396501975452937e-05,3.119346914682586e-05,2.6396501975452937e-05,3.119346914682586e-05,1.181727380992898,0.0008462825153401,-7.0746573116220395,3.139465223457327,5.477036964203069e-33,-74.28474381403747,11.906451291461677,11.906451291461677,16775.220578791843,1413.449662269982,2.815248085270742e-05,3.883943926854053e-06,9.801543724281527e-06,3.883943926854053e-06,9.801543724281527e-06,0.3962583890976575,0.0999999999998651,False,True,True,False,,,True,completed_point,limited_mc,limited_mc,2.9233981155503604e-05,2.9233981155503604e-05,2.86299562919178e-05,2.86299562919178e-05,2.98380060190894e-05,2.98380060190894e-05,0.0004348923864587,2.797326147826101e-05,2.6396452163393688e-05,2.6396452163393688e-05,0.0008469424471499,resolved,limited_mc,4.6737129108480285e-05,4.6737129108480285e-05,4.5744372693972134e-05,4.5744372693972134e-05,4.772988552298843e-05,4.772988552298843e-05,0.0003260650016998,2.3011777907717507e-05,3.119346914682586e-05,3.119346914682586e-05,5.477036964203069e-33,1.5987261146496816,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p9p13_calibration_20260905/study_results/v4p9p13_calibration_20260905/chunked_v1/attempt1_remaining_2015_batch001/individual_2015_full/m051/result.json,,500,3550.5027737824785,eigenfeature_rtol_1e-15,3.1392368271805537,gp,stress,0.0004348923864587,-7.740411944932175,11.906451291461677,gp,stress,0.0003260650016998,-8.02841380475625,True,1.1074945150948161,1.1074966050189492
individual_2015_full,2015 full,2015,64,60,1.0,188557664.94891316,3.553340024767333e-05,2.2126020594236367e-05,3.553340024767333e-05,2.2126020594236367e-05,0.6226823338046615,0.0065460147411036,-5.028898850980282,2.481256039399501,2.035338639297575e-05,-10.80226325240263,4.10343109515952,4.10343109515952,3177.108471620215,775.8401009602774,1.6849532329969212e-05,6.75301637418831e-06,1.5491508914007488e-05,6.75301637418831e-06,1.5491508914007488e-05,0.4359172764689309,0.0999999999998715,False,True,True,False,,,True,completed_point,resolved,resolved,3.722505975995956e-05,3.722505975995956e-05,3.644423089854896e-05,3.644423089854896e-05,3.800588862137016e-05,3.800588862137016e-05,0.0112796694539228,0.0007804831250861,3.5533397015495424e-05,3.5533397015495424e-05,0.0065460044906583,resolved,resolved,3.722505975995956e-05,3.722505975995956e-05,3.603049263881039e-05,3.603049263881039e-05,3.841962688110873e-05,3.841962688110873e-05,0.134814251283671,0.006715886141046,2.2126020594236367e-05,2.2126020594236367e-05,2.035338639297575e-05,1.0,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p9p13_calibration_20260905/derived/individual_2015_full/m064/result.json,256.0,500,1775.5751072687365,eigenfeature_rtol_1e-15,2.4812565975207033,gp,stress,0.0112796694539228,-4.484753337071829,4.10343109515952,gp,stress,0.134814251283671,-2.00385736440312,True,1.0476075889302767,1.0476076842224353
individual_2016_full,2016 full,2016,64,48,1.0,2604077439.512384,3.698653731270465e-06,1.942480173348139e-06,3.698653731270465e-06,1.942480173348139e-06,0.5251857336428487,0.5,-0.6931471805599453,0.0,0.5,-0.6931471805599453,0.0,-0.365098168024871,-1284.795462391609,3518.9036377377565,-4.933783622933225e-07,2.223195200153339e-06,4.355620959140228e-06,2.223195200153339e-06,4.355620959140228e-06,0.5104198048932577,0.0999999999999835,True,True,True,False,,,True,completed_point,resolved,bounded_atom,3.289192897005362e-06,3.289192897005362e-06,3.159060838165411e-06,3.159060838165411e-06,3.419324955845312e-06,3.419324955845312e-06,1.0,0.0,3.702165439852662e-06,3.702165439852662e-06,0.5,resolved,bounded_atom,4.530397763799838e-06,4.530397763799838e-06,4.340872270537956e-06,4.340872270537956e-06,4.719923257061719e-06,4.719923257061719e-06,1.0,0.0,1.942480173348139e-06,1.942480173348139e-06,0.5,1.377358490566038,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p9p13_calibration_20260905/chunked_v1/attempt1_remaining_2016_batch001/individual_2016_full/m064/result.json,,500,6895.346328389267,eigenfeature_rtol_1e-15,-0.4406994193021684,gp,gp,1.0,0.0,-0.365098168024871,gp,gp,1.0,0.0,True,0.8892946287987722,0.8884510836815182
individual_2021_10pct,2021 10%,2021,64,15,1.0,2878604667.277968,7.83580598492397e-06,8.581642310828041e-06,7.83580598492397e-06,8.581642310828041e-06,1.095183102713244,0.0216865066558205,-3.8310650249374927,2.020100024645652,1.7293353905004228e-10,-22.478113762582744,6.27668532359732,6.27668532359732,20511.549765013693,3270.247025172162,7.1255181366775115e-06,1.866813686403457e-06,3.881957392275364e-06,1.866813686403457e-06,3.881957392275364e-06,0.4808949449363342,0.0999999999998654,False,True,True,False,2.220446049250313e-16,0.0,True,completed_point,resolved,resolved,6.969245965875812e-06,6.969245965875812e-06,6.7848749232810335e-06,6.7848749232810335e-06,7.1536170084705915e-06,7.1536170084705915e-06,0.1514764990318923,0.0060681139172268,7.81341435819452e-06,7.81341435819452e-06,0.0219558382980147,resolved,resolved,9.956065665536875e-06,9.956065665536875e-06,9.684873332446956e-06,9.684873332446956e-06,1.0227257998626797e-05,1.0227257998626797e-05,0.1454719590431534,0.0062649273929781,8.581642310828041e-06,8.581642310828041e-06,1.7293353905004228e-10,1.4285714285714288,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p9p13_calibration_20260905/derived/individual_2021_10pct/m064/result.json,256.0,500,6793.3812367503115,eigenfeature_rtol_1e-15,2.0149329344663633,gp,stress,0.1514764990318923,-1.8873247879670607,6.27668532359732,gp,stress,0.1454719590431534,-1.9277719322966336,True,0.889410225225661,0.8919590906588277
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,64,123,1.0,5671239771.739265,5.109031108563609e-06,5.61728040907525e-06,5.109031108563609e-06,5.61728040907525e-06,1.0994805648491217,0.0491167958864395,-3.013554227595767,1.6534781383479948,5.0727528977628075e-08,-16.79679709584593,5.324098258106405,5.324098258106405,25673.819721338394,4824.227288793494,4.5270206788426265e-06,1.3985291716220088e-06,2.848540922463923e-06,1.3985291716220088e-06,2.848540922463923e-06,0.4909633421774095,0.0999999999998999,True,True,True,False,,,True,completed_point,resolved,mc_boundary,4.248160783606691e-06,4.248160783606691e-06,4.121123852243697e-06,4.121123852243697e-06,4.375197714969685e-06,4.375197714969685e-06,1.0,0.0163450924977416,5.121164710876621e-06,5.121164710876621e-06,0.0499055205819505,resolved,mc_boundary,6.250478605179272e-06,6.250478605179272e-06,6.086449213603317e-06,6.086449213603317e-06,6.414507996755225e-06,6.414507996755225e-06,1.0,0.0163450924741502,5.61728040907525e-06,5.61728040907525e-06,5.0727528977628075e-08,1.4713375796178343,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p9p13_calibration_20260905/chunked_v1/attempt1_combined/all_2015_2016_2021/m064/result.json,,500,9821.080618693832,eigenfeature_rtol_1e-15,1.6457703874752494,gp,stress,1.0007244151004684,0.0,5.324098258106405,gp,stress,1.0007244919831286,0.0,True,0.8315002773199105,0.8295301993673831
individual_2015_full,2015 full,2015,65,60,1.0,171030798.5868432,3.587910361077515e-05,1.89044013700173e-05,3.587910361077515e-05,1.89044013700173e-05,0.5268916853413239,0.0083074505720019,-4.790602507557385,2.395120560656825,0.0009354634356002,-6.974468498422575,3.1099915641878173,3.1099915641878173,2287.883678513463,736.8553476009726,1.3377027397505598e-05,7.076880428100242e-06,1.6013442393901176e-05,7.076880428100242e-06,1.6013442393901176e-05,0.4419337362961706,0.0999999999998609,False,True,True,False,,,True,completed_point,resolved,resolved,3.878275913784417e-05,3.878275913784417e-05,3.8019102445384325e-05,3.8019102445384325e-05,3.954641583030401e-05,3.954641583030401e-05,0.0170718907147096,0.0010761842964698,3.58780524915701e-05,3.58780524915701e-05,0.0083062823428442,resolved,resolved,3.5132617101341186e-05,3.5132617101341186e-05,3.414969924131351e-05,3.414969924131351e-05,3.6115534961368866e-05,3.6115534961368866e-05,0.2184071070926141,0.0095239237301476,1.89044013700173e-05,1.89044013700173e-05,0.0009354634356002,0.9058823529411764,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p9p13_calibration_20260905/derived/individual_2015_full/m065/result.json,256.0,500,1664.7645532226957,eigenfeature_rtol_1e-15,2.39517212294695,gp,stress,0.0170718907147096,-4.070321985877764,3.1099915641878173,gp,stress,0.2184071070926141,-1.521394494008006,True,1.0809288759989253,1.080960543969229
individual_2016_full,2016 full,2016,65,48,1.0,2614912595.6684265,5.248666145944773e-06,8.675268600603264e-06,5.248666145944773e-06,8.675268600603264e-06,1.652852050288235,0.2757717654815049,-1.288181692026932,0.5954487742244268,1.2112683645133665e-07,-15.926427605229476,5.1635933562796215,5.1635933562796215,18171.88574103376,3521.173657253714,6.949328161535987e-06,2.2132426205419303e-06,4.205407388545737e-06,2.2132426205419303e-06,4.205407388545737e-06,0.5262849507921958,0.0999999999998898,True,True,True,False,,,True,completed_point,resolved,resolved,4.77760214612397e-06,4.77760214612397e-06,4.675155341178693e-06,4.675155341178693e-06,4.880048951069248e-06,4.880048951069248e-06,0.9893183281989072,0.015537794233009,5.2514024561468525e-06,5.2514024561468525e-06,0.2757640448547882,resolved,resolved,1.047596471810374e-05,1.047596471810374e-05,1.0344175763473022e-05,1.0344175763473022e-05,1.0607753672734456e-05,1.0607753672734456e-05,0.9893183281989072,0.015537794233009,8.675268600603264e-06,8.675268600603264e-06,1.2112683645133665e-07,2.192724383005145,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p9p13_calibration_20260905/refined_v1/attempt1_batch002/individual_2016_full/m065/result.json,,500,6685.219652855825,eigenfeature_rtol_1e-15,0.5954718808772188,gp,stress,0.9893183281989072,-0.0107391303928458,5.1635933562796215,gp,stress,0.9893183281989072,-0.0107391303928458,True,0.9102507214743013,0.9097764237307138
individual_2021_10pct,2021 10%,2021,65,15,1.0,3031648871.8158636,8.420895898381368e-06,6.643095903090907e-06,8.420895898381368e-06,6.643095903090907e-06,0.7888823212228306,0.00813332161007,-4.8117858767369635,2.402877326574064,1.005558452847934e-06,-13.809967496307571,4.752303998766365,4.752303998766365,15859.744829370527,3339.05559757901,5.23139238742745e-06,1.81054497989492e-06,3.7654210916706417e-06,1.81054497989492e-06,3.7654210916706417e-06,0.4808346625295015,0.0999999999998529,False,True,True,False,0.0,0.0,True,completed_point,resolved,resolved,8.54840020277188e-06,8.54840020277188e-06,8.372992520590707e-06,8.372992520590707e-06,8.723807884953056e-06,8.723807884953056e-06,0.0558938942321475,0.0030281404568211,8.432335486453766e-06,8.432335486453766e-06,0.0082831038228339,resolved,resolved,9.406816959535584e-06,9.406816959535584e-06,9.180885538299295e-06,9.180885538299295e-06,9.632748380771876e-06,9.632748380771876e-06,0.2355295766708074,0.0088053568662977,6.643095903090907e-06,6.643095903090907e-06,1.005558452847934e-06,1.100418410041841,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p9p13_calibration_20260905/derived/individual_2021_10pct/m065/result.json,256.0,500,6939.781845841372,eigenfeature_rtol_1e-15,2.396196475406168,gp,stress,0.0558938942321475,-2.8843001314030685,4.752303998766365,gp,stress,0.2355295766708074,-1.4459187824527064,True,1.0151414179594622,1.0137642431927156
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,65,123,1.0,5817592266.071133,6.471517366791821e-06,7.273838374246626e-06,6.471517366791821e-06,7.273838374246626e-06,1.1239772625152586,0.0052224867521403,-5.2547816012260355,2.56073919137083,5.856376724757493e-14,-30.468660195913294,7.4199918577086414,7.4199918577086414,36080.31538092477,4865.416920850784,6.201932643397736e-06,1.3745746017735978e-06,2.7631265562535987e-06,1.3745746017735978e-06,2.7631265562535987e-06,0.497470736062601,0.0999999999997626,True,True,True,False,,,True,completed_point,resolved,mc_boundary,6.325519487559807e-06,6.325519487559807e-06,6.195390184550643e-06,6.195390184550643e-06,6.455648790568973e-06,6.455648790568973e-06,1.0,0.0165923485723535,6.465175105890287e-06,6.465175105890287e-06,0.0051906677150171,resolved,mc_boundary,8.976463339192756e-06,8.976463339192756e-06,8.800824938508407e-06,8.800824938508407e-06,9.152101739877106e-06,9.152101739877106e-06,1.0,0.0165923485721419,7.273838374246626e-06,7.273838374246626e-06,5.856376724757493e-14,1.4190871369294606,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p9p13_calibration_20260905/chunked_v1/attempt1_combined/all_2015_2016_2021/m065/result.json,,500,9772.426423159548,eigenfeature_rtol_1e-15,2.5628618256353413,gp,stress,1.0152530353038187,0.0,7.4199918577086414,gp,stress,1.0152530360348708,0.0,True,0.977439930860544,0.9783987879611734
