method,threshold,gp_p,gp_low,gp_high,direct_p,direct_low,direct_high
profiled,0.0,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0
profiled,0.1,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0
profiled,0.2,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0
profiled,0.30000000000000004,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0
profiled,0.4,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0
profiled,0.5,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0
profiled,0.6000000000000001,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0
profiled,0.7000000000000001,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0
profiled,0.8,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0
profiled,0.9,0.99998,0.9999487928556655,0.9999945506471093,1.0,0.9963179161031344,1.0
profiled,1.0,0.99986,0.9997976673271644,0.9999069690643617,1.0,0.9963179161031344,1.0
profiled,1.1,0.999445,0.9993316747255996,0.9995434120276686,0.999,0.9944410757201734,0.9999746825125088
profiled,1.2000000000000002,0.998315,0.9981253225245776,0.9984899907254026,0.998,0.9927941610885425,0.9997576988831227
profiled,1.3,0.995345,0.9950368846751859,0.9956386199204649,0.995,0.9883705294401879,0.9983745804824372
profiled,1.4000000000000001,0.988685,0.9882118060199391,0.9891439491025621,0.988,0.9791323204089636,0.9937844744404047
profiled,1.5,0.97602,0.9753400784465865,0.9766860761356927,0.977,0.9656876623871457,0.9853654176748232
profiled,1.6,0.95461,0.9536886128474007,0.9555181816579712,0.955,0.9402471673065922,0.9669903745688513
profiled,1.7000000000000002,0.921785,0.9205996030604866,0.9229581548972903,0.926,0.9079882639857509,0.9414505557393473
profiled,1.8,0.876665,0.875215942593271,0.8781031305700343,0.888,0.8668008344307598,0.9068814600783898
profiled,1.9000000000000001,0.81933,0.8176366899728001,0.8210140495337835,0.829,0.8042047464024096,0.851840151816802
profiled,2.0,0.75004,0.7481362589638425,0.7519364915204437,0.765,0.7374623345686458,0.7909676419553784
profiled,2.1,0.67326,0.671199461529144,0.6753155157429067,0.686,0.6562176994036947,0.7146826153350496
profiled,2.2,0.59306,0.5909031463300014,0.595214156099864,0.598,0.5668593800648496,0.628561899167521
profiled,2.3000000000000003,0.510405,0.5082115306677064,0.5125981677260953,0.507,0.4755315422661376,0.5384271372459568
profiled,2.4000000000000004,0.430795,0.4286233009952131,0.4329687050553742,0.43,0.3990602533936314,0.46135303510760994
profiled,2.5,0.355965,0.35386618434487854,0.35806799102640297,0.349,0.3194385977329679,0.3794536391460524
profiled,2.6,0.288665,0.28667962893924825,0.29065649791102594,0.277,0.24945344200701025,0.305866076584177
profiled,2.7,0.228975,0.22713498182832567,0.23082287653215428,0.221,0.19563537445283843,0.24801846321164278
profiled,2.8000000000000003,0.17836,0.1766844380411019,0.18004488953391873,0.157,0.13498765920693084,0.18105255336071435
profiled,2.9000000000000004,0.137265,0.13575958965563897,0.13878093200658947,0.127,0.10698432694945335,0.14924003033485816
profiled,3.0,0.10381,0.1024764906315411,0.10515500467096138,0.099,0.08119112894696875,0.1192084826862065
profiled,3.1,0.07783,0.07665950536169329,0.0790127479326257,0.079,0.0630412028094599,0.09748709490690115
profiled,3.2,0.05724,0.05622583872925829,0.058267017716909085,0.053,0.039949252360019366,0.06875518328996325
profiled,3.3000000000000003,0.041695,0.04082310170364366,0.04258021311226902,0.037,0.026182708843737343,0.05064112305992485
profiled,3.4000000000000004,0.029865,0.029123334221009302,0.030620333238141104,0.027,0.01786690592524968,0.03904174680597016
profiled,3.5,0.021315,0.020686454239374607,0.02195747273549991,0.021,0.013045192290387683,0.0319223351804155
profiled,3.6,0.01506,0.01453077163105156,0.015603350939140505,0.014,0.00767450156502078,0.023378156010314503
profiled,3.7,0.010285,0.009847437731833398,0.010736842042637735,0.013,0.006939617502851474,0.022127803636778486
profiled,3.8000000000000003,0.007215,0.006848737515547382,0.00759565219323409,0.008,0.00345997616532931,0.015702049176074682
profiled,3.9000000000000004,0.00502,0.00471495574938145,0.005339523155376746,0.006,0.0022049824851513764,0.013013423270974496
profiled,4.0,0.00327,0.0030245184165418235,0.003530047940109195,0.004,0.0010909079877259714,0.010209664683929871
profiled,4.1000000000000005,0.002255,0.0020518626424924935,0.0024727718729153753,0.003,0.0006190999316495711,0.008742023238478303
profiled,4.2,0.001405,0.0012456071384692286,0.0015791127204445134,0.003,0.0006190999316495711,0.008742023238478303
profiled,4.3,0.000935,0.0008058362853252263,0.0010789619438056595,0.001,2.531748749129404e-05,0.005558924279826672
profiled,4.4,0.000655,0.0005476721322661664,0.0007772022992836735,0.001,2.531748749129404e-05,0.005558924279826672
profiled,4.5,0.000435,0.00034843138208597843,0.0005365436409762296,0.0,0.0,0.003682083896865671
profiled,4.6000000000000005,0.00028,0.00021151570600083032,0.000363588090224214,0.0,0.0,0.003682083896865671
profiled,4.7,0.00018,0.0001260728715917928,0.0002491872506128349,0.0,0.0,0.003682083896865671
profiled,4.800000000000001,8.5e-05,4.951638709882219e-05,0.00013608975734795084,0.0,0.0,0.003682083896865671
profiled,4.9,4e-05,1.7269313984595516e-05,7.88144164490173e-05,0.0,0.0,0.003682083896865671
profiled,5.0,3e-05,1.1009548282571499e-05,6.529621770560541e-05,0.0,0.0,0.003682083896865671
profiled,5.1000000000000005,1e-05,1.2110486870274128e-06,3.612296650749235e-05,0.0,0.0,0.003682083896865671
profiled,5.2,0.0,0.0,1.8444227173720117e-05,0.0,0.0,0.003682083896865671
profiled,5.300000000000001,0.0,0.0,1.8444227173720117e-05,0.0,0.0,0.003682083896865671
profiled,5.4,0.0,0.0,1.8444227173720117e-05,0.0,0.0,0.003682083896865671
profiled,5.5,0.0,0.0,1.8444227173720117e-05,0.0,0.0,0.003682083896865671
profiled,5.6000000000000005,0.0,0.0,1.8444227173720117e-05,0.0,0.0,0.003682083896865671
profiled,5.7,0.0,0.0,1.8444227173720117e-05,0.0,0.0,0.003682083896865671
profiled,5.800000000000001,0.0,0.0,1.8444227173720117e-05,0.0,0.0,0.003682083896865671
profiled,5.9,0.0,0.0,1.8444227173720117e-05,0.0,0.0,0.003682083896865671
profiled,6.0,0.0,0.0,1.8444227173720117e-05,0.0,0.0,0.003682083896865671
fixed,0.0,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0
fixed,0.1,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0
fixed,0.2,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0
fixed,0.30000000000000004,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0
fixed,0.4,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0
fixed,0.5,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0
fixed,0.6000000000000001,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0
fixed,0.7000000000000001,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0
fixed,0.8,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0
fixed,0.9,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0
fixed,1.0,0.99999,0.9999638770334925,0.999998788951313,1.0,0.9963179161031344,1.0
fixed,1.1,0.99989,0.9998334633863307,0.9999310623425411,1.0,0.9963179161031344,1.0
fixed,1.2000000000000002,0.999455,0.9993426047538924,0.9995524775901662,1.0,0.9963179161031344,1.0
