method,mass_MeV,observed_r,asimov_r,response_sd,z_standardized,p_asymptotic,p_local_common_truth,p_global_gp,p_global_gp_low,p_global_gp_high,p_global_direct,p_global_direct_low,p_global_direct_high,p_global_raw_ordering,parent_envelope_p
profiled,50,1.5686580080573722,2.594383335729573,0.946527588174721,-1.0836718765379088,0.058363824052140016,0.8607448453171687,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,0.999895,0.863075402163147
profiled,51,0.2338416833615992,1.6970606894787996,0.969304222810796,-1.5095560007715085,0.4075539439538909,0.9344216221879942,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,0.9233717020182342
profiled,52,-0.5552932427466654,0.5763223668650271,0.968587852634082,-1.168314889077181,0.5,1.0,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,1.0
profiled,53,-0.7983812495234839,-0.11900560760211076,0.9594709707643535,-0.7080731597123308,0.5,1.0,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,1.0
profiled,54,-0.5799850569622956,-0.6507813106335778,0.9519343272624553,0.07437094308267667,0.5,1.0,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,1.0
profiled,55,-0.5977582328954282,-0.9179910236273455,0.9544886316494257,0.33550194325366856,0.5,1.0,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,1.0
profiled,56,0.163104203799484,-0.6431212838575159,0.9665612379631734,0.8341173388619972,0.43521819498448455,0.2021074327021643,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,0.2018105929403328
profiled,57,0.3990352940049531,-0.3838967934536463,0.9723157610494548,0.8052241039614056,0.34493359930220413,0.2103451846754305,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,0.2231943336143626
profiled,58,0.0399259779162205,-0.26105083501418,0.9725937805891902,0.3094578835863735,0.4840760701147448,0.3784866224371016,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,0.5024681394832647
profiled,59,-0.3338513450435049,-0.06830737883034796,0.9670950650318952,-0.27457896934299747,0.5,1.0,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,1.0
profiled,60,-0.8129712338215594,-0.0809865478426465,0.9636237330147837,-0.7596167060859252,0.5,1.0,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,1.0
profiled,61,-1.0028438917449205,-0.17592097677776958,0.9649883856521916,-0.8569252513938511,0.5,1.0,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,1.0
