mass_MeV,toy_id,r,Ahat_total,sigma_A_total,kernel_ls_sigma,max_score
15.0,0,0.48550223331393133,181.91591705297435,374.7991539282791,10.158500416242124,2.1921353621223716e-13
15.0,1,-0.5350990635442965,-221.551584644875,413.93585693137373,8.90040756485462,7.956163505795644e-11
15.0,2,1.7449220310432834,735.1434518206476,421.63909092694075,8.346824762642072,2.2592711590441183e-09
15.0,3,0.7575793344840864,318.0297232504844,419.94430622100396,8.267454025824051,1.3159945355667446e-09
15.0,4,0.27179211160371824,117.80060723194973,433.4718091086823,8.308333215367956,2.485598532553368e-14
15.0,5,0.31617199093973086,130.39165999960053,412.4689606329074,8.751398738861129,3.803188874940133e-10
15.0,6,0.6639307229263738,286.17394360991824,431.1573056222339,7.863571354018423,4.257431740484208e-09
15.0,7,-1.272426052826786,-521.2175663263585,409.3764984007563,9.065481807485725,1.2296275109235921e-12
15.0,8,-0.21528911774774834,-89.05747252677982,413.62350778758173,8.907725183403722,7.846501226538294e-14
15.0,9,-0.05137511939577333,-19.927864499097844,387.87895246171297,9.838308146862454,3.661803940624431e-08
17.0,0,0.9230144690966754,1250.05920925249,1354.4668827512608,10.223990058733834,2.7977620220553945e-14
17.0,1,-0.941622048305832,-1457.2032429241165,1547.4206088567198,8.334332501472817,2.390518338835079e-13
17.0,2,-0.12434809171029983,-195.90823732152555,1575.4664525137484,8.556250078978705,2.1094237467877974e-14
17.0,3,0.13864923668016785,209.3775028630242,1510.142773573104,8.70485994272859,7.527312106958561e-14
17.0,4,-0.29739418540884216,-434.62096293792257,1461.3880187085595,8.850345265919591,5.3734794391857577e-14
17.0,5,0.16249477222126904,242.55370203720565,1492.7086885904653,8.762389907907231,3.258439407183289e-09
17.0,6,-0.2729641938170034,-397.17990531559866,1455.0230071562296,8.89761475193982,7.977018345872722e-08
17.0,7,0.9495189221313558,1476.4024683002622,1555.0217064867784,8.517931787427955,1.0722533971829762e-12
17.0,8,-0.10070557370517838,-146.52212367418682,1454.9408047478455,8.985781183597314,1.7197352719655612e-07
17.0,9,-1.8617264824520838,-3130.523820445481,1681.2952182064066,7.7834968547318235,7.594910811370426e-12
17.25,0,-0.8906613899935033,-1346.9720002941976,1512.1912349804734,9.852007445113925,1.5354384430565915e-13
17.25,1,-0.12008117851474998,-186.67462169926645,1554.552357222227,9.529949037919096,1.9059515038444275e-07
17.25,2,-0.45340324936590054,-682.9215681920024,1506.1420736157763,9.914545237061768,2.916514485473698e-08
17.25,3,0.24463392362874622,398.38570897469737,1628.53196214029,8.77421883533751,7.843725668976731e-14
17.25,4,3.3889879902138955,6889.475822619341,2033.258613123486,7.1061011366192055,2.5438318118631287e-11
17.25,5,-0.5242795648511,-778.5489837064498,1484.9052612025487,10.402125677283527,1.1931372556617248e-10
17.25,6,-0.5591670690711419,-950.676558642508,1700.0908226373497,8.624690437855048,7.50517760161884e-08
17.25,7,0.7178102196752537,1222.681898954963,1703.444945446637,8.396518072494631,5.706546346573305e-14
17.25,8,0.09494784411652199,147.27869123280885,1551.1678251569697,9.604843044438413,1.6412299796986218e-08
17.25,9,-1.7462406247624058,-2794.752570742855,1600.1902292976274,9.090487756977872,9.330758388159666e-12
20.0,0,0.49322887113098324,1457.0434694766795,2954.1499414279215,13.198250456574932,4.790112084762654e-09
20.0,1,2.3815222143250994,7719.4897477226905,3241.639182510392,10.103928856588773,1.0036416142611415e-13
20.0,2,0.5856973953085454,2097.8644513964305,3581.866579333932,8.440377223594318,1.6879809927594636e-07
20.0,3,0.6853443691276973,1946.3509359226423,2840.046269240358,15.196473601547517,9.399579747881859e-08
20.0,4,-0.69932800752573,-2232.3460885415525,3192.0611051167243,10.663297960238307,1.4832579608992091e-13
20.0,5,1.024097825518734,3296.1283817465205,3218.6686705824536,10.204371946996837,2.6867397195928788e-14
20.0,6,-0.7224988623124697,-2531.254660443696,3503.4156583614226,8.683711380176486,1.0064171718227044e-13
20.0,7,1.4542744191514094,4400.863298076059,3026.3215213027884,12.23214480692686,7.038813976123492e-14
20.0,8,0.5870405375424594,1776.0945141545674,3025.5722403107093,12.544244177076934,3.720386193561964e-09
20.0,9,0.45121112596665786,1490.666849864923,3303.7428609415306,9.85551427506865,1.254552017826427e-13
