mass_MeV,toy_id,r,Ahat_total,sigma_A_total,kernel_ls_sigma,max_score
15.0,0,0.4855022333139313,181.91591705297435,374.7991539282791,10.158500416242124,2.1921353621223718e-13
15.0,1,-0.5350990635442965,-221.551584644875,413.93585693137373,8.90040756485462,7.956163505795644e-11
15.0,2,1.7449220310432834,735.1434518206476,421.6390909269407,8.346824762642072,2.2592711590441183e-09
15.0,3,0.7575793344840864,318.0297232504844,419.944306221004,8.267454025824051,1.3159945355667444e-09
15.0,4,0.2717921116037182,117.80060723194973,433.4718091086823,8.308333215367956,2.4855985325533684e-14
15.0,5,0.3161719909397308,130.3916599996005,412.4689606329074,8.751398738861129,3.8031888749401327e-10
15.0,6,0.6639307229263738,286.17394360991824,431.1573056222339,7.863571354018423,4.257431740484208e-09
15.0,7,-1.272426052826786,-521.2175663263585,409.3764984007563,9.065481807485725,1.2296275109235921e-12
15.0,8,-0.2152891177477483,-89.05747252677982,413.6235077875818,8.907725183403722,7.846501226538295e-14
15.0,9,-0.0513751193957733,-19.927864499097844,387.87895246171297,9.838308146862454,3.6618039406244314e-08
17.0,0,0.9230144690966754,1250.05920925249,1354.4668827512608,10.223990058733834,2.7977620220553945e-14
17.0,1,-0.941622048305832,-1457.2032429241165,1547.4206088567198,8.334332501472817,2.390518338835079e-13
17.0,2,-0.1243480917102998,-195.90823732152555,1575.4664525137484,8.556250078978705,2.1094237467877974e-14
17.0,3,0.1386492366801678,209.3775028630242,1510.142773573104,8.70485994272859,7.527312106958561e-14
17.0,4,-0.2973941854088421,-434.62096293792257,1461.3880187085597,8.850345265919591,5.3734794391857577e-14
17.0,5,0.162494772221269,242.55370203720565,1492.7086885904653,8.762389907907231,3.258439407183289e-09
17.0,6,-0.2729641938170034,-397.17990531559866,1455.0230071562296,8.89761475193982,7.977018345872723e-08
17.0,7,0.9495189221313558,1476.4024683002622,1555.0217064867784,8.517931787427955,1.0722533971829762e-12
17.0,8,-0.1007055737051783,-146.52212367418682,1454.9408047478455,8.985781183597314,1.7197352719655615e-07
17.0,9,-1.861726482452084,-3130.523820445481,1681.2952182064066,7.783496854731824,7.594910811370426e-12
17.25,0,-0.8906613899935033,-1346.9720002941976,1512.1912349804734,9.852007445113925,1.5354384430565917e-13
17.25,1,-0.1200811785147499,-186.67462169926645,1554.552357222227,9.529949037919096,1.9059515038444277e-07
17.25,2,-0.4534032493659005,-682.9215681920024,1506.1420736157763,9.914545237061768,2.9165144854736983e-08
17.25,3,0.2446339236287462,398.38570897469737,1628.53196214029,8.77421883533751,7.843725668976732e-14
17.25,4,3.3889879902138955,6889.475822619341,2033.258613123486,7.1061011366192055,2.5438318118631287e-11
17.25,5,-0.5242795648511,-778.5489837064498,1484.905261202549,10.402125677283529,1.1931372556617248e-10
17.25,6,-0.5591670690711419,-950.676558642508,1700.0908226373497,8.624690437855048,7.50517760161884e-08
17.25,7,0.7178102196752537,1222.681898954963,1703.444945446637,8.396518072494631,5.706546346573306e-14
17.25,8,0.0949478441165219,147.27869123280885,1551.1678251569697,9.604843044438413,1.6412299796986218e-08
17.25,9,-1.7462406247624058,-2794.752570742855,1600.1902292976274,9.090487756977872,9.330758388159666e-12
20.0,0,0.4932288711309832,1457.0434694766795,2954.1499414279215,13.198250456574932,4.790112084762654e-09
20.0,1,2.3815222143250994,7719.489747722691,3241.639182510392,10.103928856588771,1.0036416142611416e-13
20.0,2,0.5856973953085454,2097.8644513964305,3581.866579333932,8.440377223594318,1.6879809927594638e-07
20.0,3,0.6853443691276973,1946.3509359226423,2840.046269240358,15.196473601547517,9.399579747881861e-08
20.0,4,-0.69932800752573,-2232.3460885415525,3192.0611051167243,10.663297960238308,1.4832579608992094e-13
20.0,5,1.024097825518734,3296.1283817465205,3218.6686705824536,10.204371946996837,2.6867397195928788e-14
20.0,6,-0.7224988623124697,-2531.254660443696,3503.415658361422,8.683711380176486,1.0064171718227045e-13
20.0,7,1.4542744191514094,4400.863298076059,3026.3215213027884,12.23214480692686,7.038813976123492e-14
20.0,8,0.5870405375424594,1776.0945141545674,3025.5722403107093,12.544244177076934,3.720386193561964e-09
20.0,9,0.4512111259666578,1490.666849864923,3303.7428609415306,9.85551427506865,1.2545520178264271e-13
15.0,10,1.6726395762114246,677.3193238033602,405.2674980626768,8.654157633637777,1.4792789878020213e-08
15.0,11,-1.042625671808138,-410.58459447033164,393.58559898421623,9.482479960870053,6.6425476230591585e-12
15.0,12,0.46071221135239115,201.50336707120198,437.4592466180925,8.00056394799913,2.843350555004065e-13
15.0,13,-0.38259728814498317,-164.8832550530235,430.8888477529622,8.816895794495048,2.978357005467558e-09
15.0,14,-0.5752801300875663,-252.83325698800897,439.38861046897125,7.917787225669801,8.935950937538628e-14
15.0,15,0.544918982075275,222.14054926511767,407.7643641010961,8.836925317774051,8.786141536543113e-09
15.0,16,-0.7219628691223705,-287.4424081567304,397.9975191658589,9.265001828167815,1.6695533844313104e-12
15.0,17,-1.5255011120251647,-632.8726239309061,414.56893336869484,9.043465195161605,3.537682646825857e-10
15.0,18,-1.353704824852448,-509.5873478574574,376.1556304456721,10.40379137679464,1.5415180243394389e-10
15.0,19,-0.33378484116625023,-145.11622826908507,434.6970270783487,8.219058606386563,1.8207657603852567e-14
15.0,20,0.12967459912040916,55.731642576591994,429.80495513989,8.303637813358195,2.1702084573860247e-11
15.0,21,-0.6916459232854765,-285.226766384122,412.2560298723385,9.115006619693498,6.68245458967931e-11
15.0,22,0.08155811561079389,32.11067351219768,393.73180047455566,9.361312821499045,3.5267344600242723e-12
15.0,23,-0.7776154542418007,-314.51480902751575,404.30727680857365,9.174910034943755,4.3701153806807724e-13
15.0,24,0.48422356361003094,209.06987286670218,431.8536337234618,8.038333929004317,3.872008269567573e-11
15.0,25,1.0492622940569496,440.6916902049046,420.203480678265,8.258539872394822,9.216230556496896e-11
15.0,26,0.13025461552028972,49.95635940468551,383.5551619911107,9.957125573143939,1.833455262612027e-13
15.0,27,-0.3252400728274842,-139.20149745689326,427.93288559730036,8.084614622412365,2.9637403642368554e-13
15.0,28,0.13676142187617457,58.144191202936064,425.17586847699977,8.61353818187114,4.078416060426804e-08
15.0,29,0.6429700597743565,265.46887751257646,413.00618572584517,8.232130938923413,3.430568051854266e-09
15.0,30,2.5062081340149485,1089.724440290578,435.28332682745713,7.7479824241227915,8.884909236117622e-08
15.0,31,-1.4687544490656759,-569.5022322748126,387.4464683345576,9.591712906455442,1.1635445384960974e-10
15.0,32,0.6560751418114994,266.59736832801053,406.47848607977903,9.060081727031283,8.888076982738191e-09
15.0,33,0.635194742284785,262.76739204914674,413.80260883604194,8.83880199770154,3.154911792924153e-08
15.0,34,0.265764013080663,119.82369845452885,450.914397374993,7.427811636581601,8.201418710829245e-12
15.0,35,-0.545545219875658,-223.04961123023216,408.74763156070946,8.527398187718182,8.86579698544665e-12
15.0,36,-1.6782216286970244,-753.6485513578793,448.7793770844865,8.317760944999476,2.1774744229929865e-09
15.0,37,-3.395502162228894,-1359.4324761944495,399.6838562712127,9.312304635882748,9.400242029222738e-09
15.0,38,0.08690859574285698,36.005095013604745,414.30409243438595,8.333434429047673,1.6339873898374435e-11
15.0,39,1.109930113480905,454.3666408144817,409.5852077042756,8.49335314006066,1.5020556465294987e-09
15.0,40,0.4618328642979164,196.26758306758376,425.0624129757674,8.315122953543392,1.9027539960303486e-12
15.0,41,-1.284067728711922,-565.9984714389049,440.55287627456096,8.193778669993778,1.997180198998194e-12
15.0,42,-0.8184906601465056,-317.5300896282153,387.77538476911263,9.237071177489034,5.301870054097435e-13
15.0,43,-1.6405417957952013,-670.936294892615,408.651420194248,8.889423452639045,3.865796571744795e-12
15.0,44,1.3765491729953119,609.5009964600986,443.029024222288,7.719808898252978,3.745137533428533e-11
15.0,45,-0.19797967735558417,-80.59253387909308,407.03601827336047,8.80215310040323,1.6049982212718028e-07
15.0,46,0.8725434855867605,340.67186062505965,390.6126720498548,9.421594395900083,8.510167015529646e-10
15.0,47,-0.37400776846093126,-151.60533059794008,405.2783292736704,8.559111549069767,3.5132430298290274e-10
15.0,48,-0.5116641268285366,-221.5219708225653,432.8488640127373,8.332719478256758,9.102202958022332e-08
15.0,49,0.4195795374307887,172.44890583310405,411.0867062231554,8.53189774717017,2.0422413760101676e-12
