fit_id,dataset,mass_MeV,display_bin,native_start,native_stop_exclusive,native_bins,low_MeV,high_MeV,width_MeV,count
2015_m051,2015,51,0,80,83,3,34.0,34.75,0.75,565821
2015_m051,2015,51,1,83,86,3,34.75,35.5,0.75,550038
2015_m051,2015,51,2,86,89,3,35.5,36.25000000000001,0.7500000000000071,533242
2015_m051,2015,51,3,89,92,3,36.25000000000001,37.0,0.7499999999999929,517347
2015_m051,2015,51,4,92,95,3,37.0,37.75000000000001,0.7500000000000071,497392
2015_m051,2015,51,5,95,98,3,37.75000000000001,38.5,0.7499999999999929,478978
2015_m051,2015,51,6,98,101,3,38.5,39.25,0.75,459416
2015_m051,2015,51,7,101,104,3,39.25,40.00000000000001,0.7500000000000071,441295
2015_m051,2015,51,8,104,107,3,40.00000000000001,40.75,0.7499999999999929,419867
2015_m051,2015,51,9,107,110,3,40.75,41.5,0.75,399501
2015_m051,2015,51,10,110,113,3,41.5,42.25,0.75,378404
2015_m051,2015,51,11,113,116,3,42.25,43.0,0.75,359261
2015_m051,2015,51,12,116,119,3,43.0,43.75000000000001,0.7500000000000071,338551
2015_m051,2015,51,13,119,122,3,43.75000000000001,44.50000000000001,0.75,319284
2015_m051,2015,51,14,122,125,3,44.50000000000001,45.25000000000001,0.75,300720
2015_m051,2015,51,15,125,128,3,45.25000000000001,46.0,0.7499999999999929,282333
2015_m051,2015,51,16,128,131,3,46.0,46.75,0.75,264800
2015_m051,2015,51,17,131,134,3,46.75,47.50000000000001,0.7500000000000071,246993
2015_m051,2015,51,18,134,137,3,47.50000000000001,48.25,0.7499999999999929,231172
2015_m051,2015,51,19,137,140,3,48.25,49.0,0.75,216399
2015_m051,2015,51,20,140,143,3,49.0,49.75000000000001,0.7500000000000071,200982
2015_m051,2015,51,21,143,146,3,49.75000000000001,50.5,0.7499999999999929,187177
2015_m051,2015,51,22,146,149,3,50.5,51.25,0.75,173753
2015_m051,2015,51,23,149,152,3,51.25,52.00000000000001,0.7500000000000071,161437
2015_m051,2015,51,24,152,155,3,52.00000000000001,52.75,0.7499999999999929,150168
2015_m051,2015,51,25,155,158,3,52.75,53.50000000000001,0.7500000000000071,137890
2015_m051,2015,51,26,158,161,3,53.50000000000001,54.25000000000001,0.75,127406
2015_m051,2015,51,27,161,164,3,54.25000000000001,55.0,0.7499999999999929,118081
2015_m051,2015,51,28,164,167,3,55.0,55.75000000000001,0.7500000000000071,109112
2015_m051,2015,51,29,167,170,3,55.75000000000001,56.5,0.7499999999999929,100413
2015_m051,2015,51,30,170,173,3,56.5,57.24999999999999,0.7499999999999929,92615
2015_m051,2015,51,31,173,176,3,57.24999999999999,58.0,0.7500000000000071,84922
2015_m051,2015,51,32,176,179,3,58.0,58.75000000000001,0.7500000000000071,78134
2015_m051,2015,51,33,179,182,3,58.75000000000001,59.50000000000001,0.75,72243
2015_m051,2015,51,34,182,185,3,59.50000000000001,60.25000000000001,0.75,66551
2015_m051,2015,51,35,185,188,3,60.25000000000001,61.00000000000001,0.75,60790
2015_m051,2015,51,36,188,191,3,61.00000000000001,61.75000000000001,0.75,56725
2015_m051,2015,51,37,191,194,3,61.75000000000001,62.5,0.7499999999999929,51232
2015_m051,2015,51,38,194,197,3,62.5,63.25,0.75,47444
2015_m051,2015,51,39,197,200,3,63.25,64.00000000000001,0.7500000000000142,43404
2015_m051,2015,51,40,200,203,3,64.00000000000001,64.75,0.7499999999999858,39720
2015_m051,2015,51,41,203,206,3,64.75,65.5,0.75,36731
2015_m051,2015,51,42,206,209,3,65.5,66.25,0.75,33811
2015_m051,2015,51,43,209,212,3,66.25,67.0,0.75,31137
2015_m051,2015,51,44,212,215,3,67.0,67.75,0.75,28319
2015_m051,2015,51,45,215,216,1,67.75,68.0,0.25,9045
2015_m021,2015,21,0,0,1,1,14.0,14.249999999999998,0.24999999999999822,921
2015_m021,2015,21,1,1,2,1,14.249999999999998,14.5,0.2500000000000018,1445
2015_m021,2015,21,2,2,3,1,14.5,14.75,0.25,2180
2015_m021,2015,21,3,3,4,1,14.75,15.000000000000002,0.2500000000000018,3107
2015_m021,2015,21,4,4,5,1,15.000000000000002,15.25,0.24999999999999822,4456
2015_m021,2015,21,5,5,6,1,15.25,15.500000000000002,0.2500000000000018,5946
2015_m021,2015,21,6,6,7,1,15.500000000000002,15.75,0.24999999999999822,8044
2015_m021,2015,21,7,7,8,1,15.75,16.0,0.25,10473
2015_m021,2015,21,8,8,9,1,16.0,16.25,0.25,13308
2015_m021,2015,21,9,9,10,1,16.25,16.5,0.25,16475
2015_m021,2015,21,10,10,11,1,16.5,16.75,0.25,20115
2015_m021,2015,21,11,11,12,1,16.75,17.0,0.25,24011
2015_m021,2015,21,12,12,13,1,17.0,17.25,0.25,28510
2015_m021,2015,21,13,13,14,1,17.25,17.5,0.25,33345
2015_m021,2015,21,14,14,15,1,17.5,17.750000000000004,0.25000000000000355,38639
2015_m021,2015,21,15,15,16,1,17.750000000000004,18.000000000000004,0.25,43342
2015_m021,2015,21,16,16,17,1,18.000000000000004,18.25,0.24999999999999645,49502
2015_m021,2015,21,17,17,18,1,18.25,18.500000000000004,0.25000000000000355,54719
2015_m021,2015,21,18,18,19,1,18.500000000000004,18.75,0.24999999999999645,61080
2015_m021,2015,21,19,19,20,1,18.75,19.000000000000004,0.25000000000000355,66658
2015_m021,2015,21,20,20,21,1,19.000000000000004,19.25,0.24999999999999645,73015
2015_m021,2015,21,21,21,22,1,19.25,19.5,0.25,79172
2015_m021,2015,21,22,22,23,1,19.5,19.75,0.25,85833
2015_m021,2015,21,23,23,24,1,19.75,20.0,0.25,92070
2015_m021,2015,21,24,24,25,1,20.0,20.25,0.25,98345
2015_m021,2015,21,25,25,26,1,20.25,20.5,0.25,104919
2015_m021,2015,21,26,26,27,1,20.5,20.75,0.25,110863
2015_m021,2015,21,27,27,28,1,20.75,21.0,0.25,116400
2015_m021,2015,21,28,28,29,1,21.0,21.25,0.25,122490
2015_m021,2015,21,29,29,30,1,21.25,21.5,0.25,127261
2015_m021,2015,21,30,30,31,1,21.5,21.750000000000004,0.25000000000000355,132891
2015_m021,2015,21,31,31,32,1,21.750000000000004,22.000000000000004,0.25,138213
2015_m021,2015,21,32,32,33,1,22.000000000000004,22.250000000000004,0.25,143708
2015_m021,2015,21,33,33,34,1,22.250000000000004,22.5,0.24999999999999645,148084
2015_m021,2015,21,34,34,35,1,22.5,22.75,0.25,152817
2015_m021,2015,21,35,35,36,1,22.75,23.000000000000004,0.25000000000000355,157682
2015_m021,2015,21,36,36,37,1,23.000000000000004,23.25,0.24999999999999645,161333
2015_m021,2015,21,37,37,38,1,23.25,23.500000000000004,0.25000000000000355,165737
2015_m021,2015,21,38,38,39,1,23.500000000000004,23.75,0.24999999999999645,168785
2015_m021,2015,21,39,39,40,1,23.75,24.000000000000004,0.25000000000000355,173199
2015_m021,2015,21,40,40,41,1,24.000000000000004,24.25,0.24999999999999645,176540
2015_m021,2015,21,41,41,42,1,24.25,24.5,0.25,179439
2015_m021,2015,21,42,42,43,1,24.5,24.75,0.25,182255
2015_m021,2015,21,43,43,44,1,24.75,25.0,0.25,184715
2015_m021,2015,21,44,44,45,1,25.0,25.25,0.25,188497
2015_m021,2015,21,45,45,46,1,25.25,25.500000000000004,0.25000000000000355,190675
2015_m021,2015,21,46,46,47,1,25.500000000000004,25.750000000000004,0.25,193404
2015_m021,2015,21,47,47,48,1,25.750000000000004,26.000000000000004,0.25,195651
2015_m021,2015,21,48,48,49,1,26.000000000000004,26.25,0.24999999999999645,196888
2015_m021,2015,21,49,49,50,1,26.25,26.500000000000004,0.25000000000000355,198311
2015_m021,2015,21,50,50,51,1,26.500000000000004,26.75,0.24999999999999645,200907
2015_m021,2015,21,51,51,52,1,26.75,27.000000000000004,0.25000000000000355,200595
2015_m021,2015,21,52,52,53,1,27.000000000000004,27.25,0.24999999999999645,203380
2015_m021,2015,21,53,53,54,1,27.25,27.500000000000004,0.25000000000000355,203492
2015_m021,2015,21,54,54,55,1,27.500000000000004,27.75,0.24999999999999645,204661
2015_m021,2015,21,55,55,56,1,27.75,28.0,0.25,205269
2015_m021,2015,21,56,56,57,1,28.0,28.25,0.25,206193
2016_m090,2016,90,0,181,186,5,75.25,76.50000000000001,1.2500000000000142,1418480
2016_m090,2016,90,1,186,191,5,76.50000000000001,77.75,1.2499999999999858,1372340
2016_m090,2016,90,2,191,196,5,77.75,78.99999999999999,1.2499999999999858,1327498
2016_m090,2016,90,3,196,201,5,78.99999999999999,80.25,1.2500000000000142,1281659
