method,threshold,gp_p,gp_low,gp_high,direct_p,direct_low,direct_high,gp_k,direct_k
profiled,0.0,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,200000,1000
profiled,0.1,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,200000,1000
profiled,0.2,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,200000,1000
profiled,0.30000000000000004,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,200000,1000
profiled,0.4,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,200000,1000
profiled,0.5,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,200000,1000
profiled,0.6000000000000001,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,200000,1000
profiled,0.7000000000000001,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,200000,1000
profiled,0.8,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,200000,1000
profiled,0.9,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,200000,1000
profiled,1.0,0.99998,0.9999487928556655,0.9999945506471093,1.0,0.9963179161031344,1.0,199996,1000
profiled,1.1,0.999915,0.9998639102426521,0.9999504836129012,0.999,0.9944410757201734,0.9999746825125088,199983,999
profiled,1.2000000000000002,0.9995,0.9993918989138066,0.9995931621042131,0.999,0.9944410757201734,0.9999746825125088,199900,999
profiled,1.3,0.998215,0.9980200825523785,0.9983952410721997,0.997,0.9912579767615217,0.9993809000683505,199643,997
profiled,1.4000000000000001,0.995075,0.9947584043460953,0.9953771125179296,0.994,0.9869865767290255,0.9977950175148487,199015,994
profiled,1.5,0.98802,0.9875335515220831,0.9884922257810563,0.983,0.9729205031351487,0.9900664874072834,197604,983
profiled,1.6,0.974645,0.973946631343244,0.9753295650469949,0.968,0.9551240971649907,0.9780111503943576,194929,968
profiled,1.7000000000000002,0.95227,0.9513265754113128,0.9532002881876429,0.955,0.9402471673065922,0.9669903745688513,190454,955
profiled,1.8,0.91815,0.9169399981519678,0.9193478660081407,0.928,0.9101842508246492,0.9432413124454383,183630,928
profiled,1.9000000000000001,0.87188,0.870407337585563,0.8733418747876569,0.882,0.8603722794655597,0.9013474836051032,174376,882
profiled,2.0,0.810795,0.809071456628354,0.8125095307037274,0.824,0.7989534872821923,0.8471217103835686,162159,824
profiled,2.1,0.73687,0.7349342698931473,0.7387988626341416,0.737,0.7085406385607361,0.7640564753197066,147374,737
profiled,2.2,0.65594,0.6538532443611986,0.6580222351022109,0.657,0.6266486772044311,0.6864235511359629,131188,657
profiled,2.3000000000000003,0.570095,0.567921830731104,0.5722661374190299,0.564,0.5326145242345783,0.59500762481945,114019,564
profiled,2.4000000000000004,0.4833,0.4811076715774064,0.4854928125000619,0.491,0.45958074434991225,0.5224723820615839,96660,491
profiled,2.5,0.402085,0.3999350539493586,0.4042377843631473,0.411,0.3803055869541203,0.4422199476628659,80417,411
profiled,2.6,0.32749,0.32543326215666296,0.3295517388243912,0.317,0.28823485672585164,0.34684703055890026,65498,317
profiled,2.7,0.26178,0.25985435132046064,0.26371255531186616,0.25,0.22343040626468041,0.27805000622375564,52356,250
profiled,2.8000000000000003,0.20586,0.20408975641147634,0.20763877276784132,0.199,0.1746700563321812,0.2251159099630072,41172,199
profiled,2.9000000000000004,0.15904,0.1574396694810308,0.16065021928604642,0.163,0.14062554035964028,0.18737814378448905,31808,163
profiled,3.0,0.120545,0.11912103750371374,0.12197997051916226,0.123,0.10327690964141775,0.1449722386735684,24109,123
profiled,3.1,0.089785,0.08853557854708344,0.09104632565444913,0.087,0.07026848607137862,0.1062078579570212,17957,87
profiled,3.2,0.06647,0.06538207175631171,0.0675705139268517,0.062,0.047861848113361215,0.0787799496610325,13294,62
profiled,3.3000000000000003,0.048525,0.04758734441245887,0.04947576853602378,0.044,0.03214949701087143,0.0586204192063309,9705,44
profiled,3.4000000000000004,0.034525,0.03372910373506126,0.03533442420994991,0.033,0.02282238334945958,0.046033981817023194,6905,33
profiled,3.5,0.02463,0.023955114401513475,0.025318711232016095,0.021,0.013045192290387683,0.0319223351804155,4926,21
