mass_MeV,scope_key,dataset_set,n_active,dimuon_factor,signal_yield_per_eps2_fitted_window,inherited_2016_exception,profiled_r,profiled_eps2_ee_raw,profiled_eps2_display,fixed_r,fixed_eps2_ee_raw,fixed_eps2_display,v12_eps2_ee_raw,v12_eps2_display,v12_p0,v12_limit_relative_difference,v12_bounded_root_difference,profiled_Ahat_window,profiled_A90_window,fixed_Ahat_window,fixed_A90_window
19,individual_2015_full,2015,1,1.0,265796818.52123833,False,-3.2106186896115254,6.028734063384577e-06,6.028734063384577e-06,-6.281151736539158,1.195220544367058e-06,1.195220544367058e-06,6.028720311142007e-06,6.028720311142007e-06,0.5,2.2811213424844823e-06,0.0,,,,
20,individual_2015_full,2015,1,1.0,379009431.6061488,False,0.0379656684705785,1.3247666341930428e-05,1.3247666341930428e-05,-4.131744117464654,1.4642929267698412e-06,1.4642929267698412e-06,1.3250739100729953e-05,1.3250739100729953e-05,0.4833791450286052,-0.00023189338920381886,-0.003708696418220102,,,,
21,individual_2015_full,2015,1,1.0,492318919.8096628,False,2.5157388880992775,2.6294102151615193e-05,2.6294102151615193e-05,6.010701123451329,1.8729931810284704e-05,1.8729931810284704e-05,2.62940119494728e-05,2.62940119494728e-05,0.005940912807469,3.430520324032571e-06,0.0001041647864514772,,,,
22,individual_2015_full,2015,1,1.0,612933316.5056059,False,1.425381870113801,1.6865840283127078e-05,1.6865840283127078e-05,11.359991684426843,2.936626744084558e-05,2.936626744084558e-05,1.6849498786461963e-05,1.6849498786461963e-05,0.0770457924519072,0.0009698506093394066,0.00015483873547705862,,,,
23,individual_2015_full,2015,1,1.0,719405630.3758705,False,-1.2388229223996416,5.96785478800438e-06,5.96785478800438e-06,-5.592080528319587,8.348390130942852e-07,8.348390130942852e-07,5.967122211967021e-06,5.967122211967021e-06,0.5,0.00012276873362671026,0.0,,,,
24,individual_2015_full,2015,1,1.0,829316244.2441415,False,-1.6021946542633738,5.08387474038182e-06,5.08387474038182e-06,-4.745003449201367,9.02099793623158e-07,9.02099793623158e-07,5.086191137630236e-06,5.086191137630236e-06,0.5,-0.0004554286667046714,0.0,,,,
25,individual_2015_full,2015,1,1.0,917968056.16058,False,-0.3835725896719329,6.981853503664723e-06,6.981853503664723e-06,-3.482075054066192,1.1026242622272805e-06,1.1026242622272805e-06,6.982118142580113e-06,6.982118142580113e-06,0.5,-3.7902382913901356e-05,0.0,,,,
26,individual_2015_full,2015,1,1.0,1007997705.006175,False,0.2952389032830797,8.504848094067744e-06,8.504848094067744e-06,-4.0807791567726035,9.318982769855262e-07,9.318982769855262e-07,8.504925358416046e-06,8.504925358416046e-06,0.3834249031797314,-9.084659188252076e-06,-0.0012590806763339568,,,,
27,individual_2015_full,2015,1,1.0,1075273836.6436706,False,0.1418305444011273,7.721172665126943e-06,7.721172665126943e-06,1.4625172701031768,4.949955960545426e-06,4.949955960545426e-06,7.721166893556462e-06,7.721166893556462e-06,0.443594676918176,7.474997705259057e-07,-3.102067449900492e-05,,,,
28,individual_2015_full,2015,1,1.0,1143174129.2279308,False,0.0980875859786121,7.502830306383853e-06,7.502830306383853e-06,4.300333304985918,9.651459179539154e-06,9.651459179539154e-06,7.527736631736017e-06,7.527736631736017e-06,0.4715599882342036,-0.0033086074301751367,0.026738558664610293,,,,
