mass_MeV,view,exposure_factor,bin,low_MeV,high_MeV,original_observed,reference_background,assumed_signal_per_10pct,added_factor,null_residual,persistent_residual,added_background_counting_sd,future_view
66,observed,1.0,0,61.0,62.25,1696052.0,1693700.2032142957,442.5522918789162,0.0,2351.796785704326,2351.796785704326,0.0,False
66,observed,1.0,1,62.25,63.5,1800107.0,1799768.4268367183,1206.538438838822,0.0,338.5731632816605,338.5731632816605,0.0,False
66,observed,1.0,2,63.5,64.75,1899018.0,1896145.4031969835,2354.2193798232356,0.0,2872.596803016495,2872.596803016495,0.0,False
66,observed,1.0,3,64.75,66.0,1984998.0,1981994.8796611903,3288.3324161757437,0.0,3003.1203388096765,3003.1203388096765,0.0,False
66,observed,1.0,4,66.0,67.25,2061929.0,2056926.483358204,3288.3324161757437,0.0,5002.516641796101,5002.516641796101,0.0,False
66,observed,1.0,5,67.25,68.5,2121358.0,2120964.014243724,2354.2193798232347,0.0,393.9857562761754,393.9857562761754,0.0,False
66,observed,1.0,6,68.5,69.74999999999999,2175217.0,2174473.030370936,1206.5384388388152,0.0,743.9696290642023,743.9696290642023,0.0,False
66,observed,1.0,7,69.74999999999999,71.0,2218101.0,2218067.434756785,442.552291878922,0.0,33.56524321483448,33.56524321483448,0.0,False
66,increment,2.0,0,61.0,62.25,1696052.0,1693700.2032142957,442.5522918789162,2.0,0.0,885.1045837578324,1840.489175852059,True
66,increment,2.0,1,62.25,63.5,1800107.0,1799768.4268367183,1206.538438838822,2.0,0.0,2413.076877677644,1897.2445424018056,True
66,increment,2.0,2,63.5,64.75,1899018.0,1896145.4031969835,2354.2193798232356,2.0,0.0,4708.438759646471,1947.380498617044,True
66,increment,2.0,3,64.75,66.0,1984998.0,1981994.8796611903,3288.3324161757437,2.0,0.0,6576.664832351487,1990.9770865889896,True
66,increment,2.0,4,66.0,67.25,2061929.0,2056926.483358204,3288.3324161757437,2.0,0.0,6576.664832351487,2028.2635348288466,True
66,increment,2.0,5,67.25,68.5,2121358.0,2120964.014243724,2354.2193798232347,2.0,0.0,4708.438759646469,2059.594141690893,True
66,increment,2.0,6,68.5,69.74999999999999,2175217.0,2174473.030370936,1206.5384388388152,2.0,0.0,2413.0768776776304,2085.4126835573506,True
66,increment,2.0,7,69.74999999999999,71.0,2218101.0,2218067.434756785,442.552291878922,2.0,0.0,885.104583757844,2106.2133960056303,True
66,cumulative,3.0,0,61.0,62.25,1696052.0,1693700.2032142957,442.5522918789162,2.0,2351.796785704326,3236.901369462158,1840.489175852059,True
66,cumulative,3.0,1,62.25,63.5,1800107.0,1799768.4268367183,1206.538438838822,2.0,338.5731632816605,2751.6500409593045,1897.2445424018056,True
66,cumulative,3.0,2,63.5,64.75,1899018.0,1896145.4031969835,2354.2193798232356,2.0,2872.596803016495,7581.035562662966,1947.380498617044,True
66,cumulative,3.0,3,64.75,66.0,1984998.0,1981994.8796611903,3288.3324161757437,2.0,3003.1203388096765,9579.785171161164,1990.9770865889896,True
66,cumulative,3.0,4,66.0,67.25,2061929.0,2056926.483358204,3288.3324161757437,2.0,5002.516641796101,11579.181474147588,2028.2635348288466,True
66,cumulative,3.0,5,67.25,68.5,2121358.0,2120964.014243724,2354.2193798232347,2.0,393.9857562761754,5102.424515922645,2059.594141690893,True
66,cumulative,3.0,6,68.5,69.74999999999999,2175217.0,2174473.030370936,1206.5384388388152,2.0,743.9696290642023,3157.0465067418327,2085.4126835573506,True
66,cumulative,3.0,7,69.74999999999999,71.0,2218101.0,2218067.434756785,442.552291878922,2.0,33.56524321483448,918.6698269726785,2106.2133960056303,True
66,cumulative,10.0,0,61.0,62.25,1696052.0,1693700.2032142957,442.5522918789162,9.0,2351.796785704326,6334.767412614572,3904.2671308362933,True
66,cumulative,10.0,1,62.25,63.5,1800107.0,1799768.4268367183,1206.538438838822,9.0,338.5731632816605,11197.41911283106,4024.663444504455,True
66,cumulative,10.0,2,63.5,64.75,1899018.0,1896145.4031969835,2354.2193798232356,9.0,2872.596803016495,24060.571221425616,4131.017868367656,True
66,cumulative,10.0,3,64.75,66.0,1984998.0,1981994.8796611903,3288.3324161757437,9.0,3003.1203388096765,32598.11208439137,4223.500197342331,True
66,cumulative,10.0,4,66.0,67.25,2061929.0,2056926.483358204,3288.3324161757437,9.0,5002.516641796101,34597.50838737779,4302.596698532624,True
66,cumulative,10.0,5,67.25,68.5,2121358.0,2120964.014243724,2354.2193798232347,9.0,393.9857562761754,21581.960174685286,4369.058952245153,True
66,cumulative,10.0,6,68.5,69.74999999999999,2175217.0,2174473.030370936,1206.5384388388152,9.0,743.9696290642023,11602.81557861354,4423.828350347516,True
66,cumulative,10.0,7,69.74999999999999,71.0,2218101.0,2218067.434756785,442.552291878922,9.0,33.56524321483448,4016.5358701251325,4467.953324824585,True
92,observed,1.0,0,87.25000000000001,88.5,2183578.0,2184726.4535846515,705.4602816244044,0.0,-1148.4535846514627,-1148.4535846514627,0.0,False
92,observed,1.0,1,88.5,89.75,2158361.0,2156510.5406425376,1440.8368888801087,0.0,1850.4593574623577,1850.4593574623577,0.0,False
92,observed,1.0,2,89.75,91.0,2127222.0,2126595.6793978307,2280.184187775289,0.0,626.3206021692604,626.3206021692604,0.0,False
92,observed,1.0,3,91.0,92.25,2097414.0,2095201.7044554383,2796.189486114695,0.0,2212.295544561697,2212.295544561697,0.0,False
92,observed,1.0,4,92.25,93.5,2064720.0,2062527.471940896,2657.160305938059,0.0,2192.528059103992,2192.528059103992,0.0,False
92,observed,1.0,5,93.5,94.75,2032998.0,2028751.2840876472,1956.6815941191296,0.0,4246.715912352782,4246.715912352782,0.0,False
92,observed,1.0,6,94.75,96.0,1995131.0,1994031.9048719348,1116.4891182399506,0.0,1099.095128065208,1099.095128065208,0.0,False
92,observed,1.0,7,96.0,97.25,1958053.0,1958510.124685076,493.6123055306422,0.0,-457.12468507606536,-457.12468507606536,0.0,False
92,increment,2.0,0,87.25000000000001,88.5,2183578.0,2184726.4535846515,705.4602816244044,2.0,0.0,1410.9205632488088,2090.323636944601,True
92,increment,2.0,1,88.5,89.75,2158361.0,2156510.5406425376,1440.8368888801087,2.0,0.0,2881.6737777602175,2076.7814235699134,True
92,increment,2.0,2,89.75,91.0,2127222.0,2126595.6793978307,2280.184187775289,2.0,0.0,4560.368375550578,2062.3266857594754,True
92,increment,2.0,3,91.0,92.25,2097414.0,2095201.7044554383,2796.189486114695,2.0,0.0,5592.37897222939,2047.047485748896,True
92,increment,2.0,4,92.25,93.5,2064720.0,2062527.471940896,2657.160305938059,2.0,0.0,5314.320611876118,2031.0231273626089,True
92,increment,2.0,5,93.5,94.75,2032998.0,2028751.2840876472,1956.6815941191296,2.0,0.0,3913.363188238259,2014.324345326565,True
92,increment,2.0,6,94.75,96.0,1995131.0,1994031.9048719348,1116.4891182399506,2.0,0.0,2232.978236479901,1997.0137229733475,True
92,increment,2.0,7,96.0,97.25,1958053.0,1958510.124685076,493.6123055306422,2.0,0.0,987.2246110612843,1979.146343596186,True
92,cumulative,3.0,0,87.25000000000001,88.5,2183578.0,2184726.4535846515,705.4602816244044,2.0,-1148.4535846514627,262.46697859734604,2090.323636944601,True
92,cumulative,3.0,1,88.5,89.75,2158361.0,2156510.5406425376,1440.8368888801087,2.0,1850.4593574623577,4732.133135222575,2076.7814235699134,True
92,cumulative,3.0,2,89.75,91.0,2127222.0,2126595.6793978307,2280.184187775289,2.0,626.3206021692604,5186.6889777198385,2062.3266857594754,True
92,cumulative,3.0,3,91.0,92.25,2097414.0,2095201.7044554383,2796.189486114695,2.0,2212.295544561697,7804.674516791087,2047.047485748896,True
92,cumulative,3.0,4,92.25,93.5,2064720.0,2062527.471940896,2657.160305938059,2.0,2192.528059103992,7506.84867098011,2031.0231273626089,True
92,cumulative,3.0,5,93.5,94.75,2032998.0,2028751.2840876472,1956.6815941191296,2.0,4246.715912352782,8160.079100591041,2014.324345326565,True
92,cumulative,3.0,6,94.75,96.0,1995131.0,1994031.9048719348,1116.4891182399506,2.0,1099.095128065208,3332.073364545109,1997.0137229733475,True
92,cumulative,3.0,7,96.0,97.25,1958053.0,1958510.124685076,493.6123055306422,2.0,-457.12468507606536,530.099925985219,1979.146343596186,True
92,cumulative,10.0,0,87.25000000000001,88.5,2183578.0,2184726.4535846515,705.4602816244044,9.0,-1148.4535846514627,5200.6889499681765,4434.246055674162,True
92,cumulative,10.0,1,88.5,89.75,2158361.0,2156510.5406425376,1440.8368888801087,9.0,1850.4593574623577,14817.991357383336,4405.5186829456115,True
92,cumulative,10.0,2,89.75,91.0,2127222.0,2126595.6793978307,2280.184187775289,9.0,626.3206021692604,21147.97829214686,4374.855553567509,True
92,cumulative,10.0,3,91.0,92.25,2097414.0,2095201.7044554383,2796.189486114695,9.0,2212.295544561697,27378.00091959395,4342.44347575175,True
92,cumulative,10.0,4,92.25,93.5,2064720.0,2062527.471940896,2657.160305938059,9.0,2192.528059103992,26106.970812546522,4308.450678314429,True
