fit_id,mass_MeV,dataset,information
2015_m051,51,2015,28165886366.0993
2015_m021,21,2015,20939038173.743042
2015_m019,19,2015,10256894918.997782
2016_m090,90,2016,128586268016.94653
2016_m117,117,2016,45261542431.01825
2016_m102,102,2016,89667045880.55145
2021_m078,78,2021,418320328341.3016
2021_m065,65,2021,190838573693.0409
2021_m071,71,2021,309093515793.93384
combined_m066,66,2015,9628894439.245525
combined_m066,66,2016,155081469590.8643
combined_m066,66,2021,203550408162.37967
combined_m021,21,2015,20939038173.743042
combined_m092,92,2016,116466676028.23883
combined_m092,92,2021,545218781792.1709
combined_m072,72,2015,5712015003.721457
combined_m072,72,2016,173293292352.2871
combined_m072,72,2021,332520920343.8375
combined_m076,76,2015,3963530940.7346535
combined_m076,76,2016,155397080804.20993
combined_m076,76,2021,378636965421.78723
combined_m083,83,2015,2141952642.2465148
combined_m083,83,2016,132784008477.32617
combined_m083,83,2021,456846569356.07043
