test_mass_MeV,lane,bin_mass_MeV,gp_mean,generating_counts,injected_counts
71,background,66.3125,1027281.933551728,1027073.3349584392,0.0
71,background,66.9375,1045021.8444007771,1044740.0909079884,0.0
71,background,67.5625,1061287.6786557066,1060935.5054966712,0.0
71,background,68.1875,1076096.3250489845,1075679.4331764828,0.0
71,background,68.8125,1089477.6037040954,1089004.286253602,0.0
71,background,69.4375,1101472.561491315,1100953.2225929506,0.0
71,background,70.0625,1112131.6067319093,1111578.208842309,0.0
71,background,70.6875,1121512.5735883447,1120938.0513188702,0.0
71,background,71.3125,1129678.7975251945,1129096.469989776,0.0
71,background,71.9375,1136697.2706600006,1136120.2823851246,0.0
71,background,72.5625,1142636.9321581444,1142077.7473201596,0.0
71,background,73.1875,1147567.1347428919,1147037.1028539662,0.0
71,background,73.8125,1151556.3138152892,1151065.3167585265,0.0
71,background,74.4375,1154670.8739046725,1154227.065847821,0.0
71,background,75.0625,1156974.295551601,1156583.9309624478,0.0
71,background,75.6875,1158526.456870511,1158193.8090350474,0.0
71,inject_66,66.3125,1028781.1418138369,1029050.1991054913,1976.864147052024
71,inject_66,66.9375,1046572.8106585118,1046555.2139849513,1815.1230769629071
71,inject_66,67.5625,1062867.0179676486,1062465.762546847,1530.257050175891
71,inject_66,68.1875,1077680.5129785747,1076863.9776369159,1184.5444604329896
71,inject_66,68.8125,1091043.7433030233,1089846.1977200024,841.9114664004719
71,inject_66,69.4375,1102999.0720155984,1101502.6480616038,549.4254686532342
71,inject_66,70.0625,1113598.8105030356,1111907.4222307475,329.21338843865215
71,inject_66,70.6875,1122903.1661917989,1121119.1733905901,181.12207171992043
71,inject_66,71.3125,1130978.1937274702,1129187.9632532413,91.49326346526824
71,inject_66,71.9375,1137893.825349534,1136162.7178732874,42.43548816270555
71,inject_66,72.5625,1143722.041350334,1142095.81864303,18.071322870505668
71,inject_66,73.1875,1148535.226599795,1147044.1687866703,7.065932704209954
71,inject_66,73.8125,1152404.7428113718,1151067.8534394717,2.5366809451427343
71,inject_66,74.4375,1155399.7332361594,1154227.9019836418,0.8361358207042725
71,inject_66,75.0625,1157586.1648496895,1156584.18400883,0.2530463822158021
71,inject_66,75.6875,1159026.101055227,1158193.879347671,0.0703126236769279
71,inject_78,66.3125,1027841.8254376057,1027073.338691336,0.0037328967256174
71,inject_78,66.9375,1045739.2196739328,1044740.1057331112,0.0148251227922015
71,inject_78,67.5625,1062167.8658407126,1060935.5600762062,0.0545795349589815
71,inject_78,68.1875,1077140.4465189863,1075679.6194462613,0.1862697784693683
71,inject_78,68.8125,1090682.5449019966,1089004.8755553747,0.5893017727551104
71,inject_78,69.4375,1102831.1068307725,1100954.95088663,1.7282936793457366
71,inject_78,70.0625,1113632.7242768926,1111582.9076032902,4.698760981130004
71,inject_78,70.6875,1123141.8255025204,1120949.8936353752,11.842316505037424
71,inject_78,71.3125,1131418.8489615247,1129124.1380592184,27.66806944256247
71,inject_78,71.9375,1138528.4687317053,1136180.2078230418,59.92543791712891
71,inject_78,72.5625,1144537.9265931505,1142198.0665166695,120.31919650996863
71,inject_78,73.1875,1149515.513073686,1147261.0528459868,223.94999202053145
71,inject_78,73.8125,1153529.22707511,1151451.7376218026,386.42086327606455
71,inject_78,74.4375,1156645.6317894598,1154845.17378691,618.1079390889714
71,inject_78,75.0625,1158928.913966486,1157500.4955142925,916.564551844622
71,inject_78,75.6875,1160440.1447457043,1159453.770884064,1259.9618490166176
71,double_65_78,66.3125,1029669.973861505,1028729.3312399156,1655.9962814763478
71,double_65_78,66.9375,1047608.5123278316,1046063.7801846006,1323.6892766122055
71,double_65_78,67.5625,1064050.7841126563,1061906.268807451,970.7633107797984
71,double_65_78,68.1875,1079009.9355192466,1076332.7212752094,653.2880987265787
71,double_65_78,68.8125,1092512.8490915892,1089408.015799423,403.7295458208553
71,double_65_78,69.4375,1104598.4954929575,1101183.2549184202,230.032325469604
71,double_65_78,70.0625,1115316.0860662484,1111701.5259513939,123.31710908497686
71,double_65_78,70.6875,1124723.119163614,1121006.4354226217,68.38410375148129
71,double_65_78,71.3125,1132883.4071308486,1129148.8646867943,52.39469701835285
71,double_65_78,71.9375,1139865.1580634685,1136190.1283807738,69.84599564934311
71,double_65_78,72.5625,1145739.1740390228,1142201.71809917,123.97077901034557
71,double_65_78,73.1875,1150577.2128463106,1147262.2859445512,225.18309058498636
71,double_65_78,73.8125,1154450.5455586,1151452.11963976,386.8028812336652
