mass_MeV,dataset_set,observed_r,asimov_r,response_sd,z,eligible,nominal_local_p,conditional_local_gaussian,ungated_signed_gaussian,direct_local_k,direct_local_n,direct_local_p,direct_local_low95,direct_local_high95,direct_local_upper95,direct_global_k,direct_global_n,direct_global_p,direct_global_low95,direct_global_high95,direct_global_upper95,gp_global_k,gp_global_n,gp_global_p,gp_global_low95,gp_global_high95,gp_global_upper95,gp_raw_global_k,gp_raw_global_n,gp_raw_global_p,gp_raw_global_low95,gp_raw_global_high95,gp_raw_global_upper95,direct_raw_global_k,direct_raw_global_n,direct_raw_global_p,direct_raw_global_low95,direct_raw_global_high95,direct_raw_global_upper95
19,2015,-3.2106186896115254,2.434945801467021,0.9766574822652863,-5.780495817207143,False,0.5,1.0,0.9999999962759605,1000,1000,1.0,0.9963179161031344,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
20,2015,0.0379656684705785,2.8420797246653087,0.9507856960373088,-2.9492598257228058,True,0.4848575274371633,0.9984073197437096,0.9984073197437096,998,1000,0.998,0.9927941610885425,0.9997576988831227,0.9996445238665224,1000,1000,1.0,0.9963179161031344,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
21,2015,2.5157388880992775,0.20417730885967306,0.9558118731006457,2.41842735405757,True,0.005939157409582324,0.007793878870490966,0.007793878870490966,5,1000,0.005,0.00162541951756276,0.011629470559812147,0.010484076911415651,479,1000,0.479,0.4476384312327394,0.5104855322311783,0.5055052781961478,93598,200000,0.46799,0.46580116603387955,0.47017976183168353,0.4698280638727251,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
22,2015,1.425381870113801,-1.80278238565564,0.9690223146850048,3.3313621439345327,True,0.07702342293369148,0.0004321104649041315,0.0004321104649041315,1,1000,0.001,2.531748749129404e-05,0.005558924279826672,0.004734993575499777,40,1000,0.04,0.028727625285890793,0.054072696819368486,0.051753401352160444,8765,200000,0.043825,0.04293197166814724,0.044731280093958825,0.044585309004810614,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
23,2015,-1.2388229223996416,-1.7577564146466857,0.9485359142613653,0.5470889235133948,False,0.5,1.0,0.29215882080965094,1000,1000,1.0,0.9963179161031344,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
24,2015,-1.6021946542633738,-0.1865734731215008,0.9562347257160657,-1.480411810062431,False,0.5,1.0,0.9306183099239351,1000,1000,1.0,0.9963179161031344,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
25,2015,-0.3835725896719329,0.9777830084629738,0.970907960189615,-1.4021469119163867,False,0.5,1.0,0.9195643095937587,1000,1000,1.0,0.9963179161031344,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
26,2015,0.2952389032830797,1.601691425236315,0.9696130020479402,-1.3473958364768719,True,0.3839056926344714,0.9110736095891865,0.9110736095891865,918,1000,0.918,0.8992371325846886,0.9342541397281681,0.9318425736729556,1000,1000,1.0,0.9963179161031344,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
27,2015,0.1418305444011273,1.1424075152769877,0.9588260932637386,-1.0435437436522053,True,0.44360692850195427,0.8516517338976501,0.8516517338976501,872,1000,0.872,0.8496940714251291,0.8920877586688023,0.8890489377870202,1000,1000,1.0,0.9963179161031344,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
28,2015,0.0980875859786121,0.15550100106152265,0.9615085940854797,-0.05971180646338185,True,0.4609313724716886,0.5238074158412636,0.5238074158412636,550,1000,0.55,0.5185565333765935,0.5811482903200493,0.5762428348458835,1000,1000,1.0,0.9963179161031344,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
29,2015,0.5157312280073695,-0.6566619317039409,0.9687514047008587,1.2102105390735762,True,0.30302107041935444,0.1130990575298485,0.1130990575298485,118,1000,0.118,0.0986525163948968,0.1396277205344403,0.13612197013727212,998,1000,0.998,0.9927941610885425,0.9997576988831227,0.9996445238665224,199881,200000,0.999405,0.9992880354496192,0.9995070679010085,0.9994917642293143,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
30,2015,1.130478017962521,-1.1228528248997707,0.9690933589050094,2.3251948041500956,True,0.12913742796095246,0.010030773030862273,0.010030773030862273,7,1000,0.007,0.002818858759620524,0.014369194978918632,0.013107715416593313,543,1000,0.543,0.5115367755816964,0.5742093796781235,0.5692920863362156,109587,200000,0.547935,0.5457506055335389,0.5501180049816609,0.5497675100296222,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
31,2015,0.6815264271780445,-1.1301280954129336,0.9621349598649039,1.8829525982980158,True,0.24776922533836954,0.029853396063835903,0.029853396063835903,25,1000,0.025,0.01624253569688223,0.03668482305192304,0.034742520099362566,893,1000,0.893,0.872171355882932,0.9114795633574836,0.9087044323863548,176083,200000,0.880415,0.878984933345847,0.8818340306932236,0.8816068459895006,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
32,2015,-0.0202055444115131,-0.6775103491568718,0.960477124345755,0.684352378712916,False,0.5,1.0,0.24687633962818983,1000,1000,1.0,0.9963179161031344,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
33,2015,-0.9640901255957576,0.03405670844619521,0.9647945601327514,-1.0345693013698296,False,0.5,1.0,0.849564951625787,1000,1000,1.0,0.9963179161031344,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
34,2015,-1.470860325624459,0.4973832173817114,0.9705889866245629,-2.0278857169512823,False,0.5,1.0,0.9787140433934512,1000,1000,1.0,0.9963179161031344,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
