scenario,background_toy_index,mass_GeV,inj_nsigma,strength,role,attempt,optimizer_seed,optimizer_restarts,fit_ok,refit_fallback_used,error,gp_lml,gp_ls,gp_const,gp_const_lo,gp_const_hi,gp_ls_lo,gp_ls_hi,gp_ls_init,gp_const_init,sigma_A,sigmaA_reference,A_hat,Zhat,pull,amplitude_nll,n_blind,integral_density,A_per_eps2_unit,optimizer_warning_count,optimizer_warnings,n_train,n_train_low,n_train_high,train_domain_lo,train_domain_hi,bin_width_median,n_zero_train,min_y_train,max_y_train,training_counts_sha256,ls_at_lower,ls_at_upper,const_at_lower,const_at_upper,covariance_valid,covariance_min_eigenvalue,covariance_min_eigenvalue_relative
2016_full,-1,0.044,0.0,0.0,reference_bonly,0,1489094502,12,True,False,,2579.1131649045647,0.19478614485599244,32.881269023462615,1e-08,1e+18,0.038379850355610756,0.5117313380748101,0.14014339862293787,1.0,15958.740570218426,15970.06370122653,-13785.09694415998,-0.8637960422694749,-0.8637960422694749,-81925741.77001527,34,860162701.5271664,1136182079.2973485,0,,678,31,647,0.032,0.21,0.0002500000000000002,0,701.2426974319171,354215.1438503383,e87d4d37569bf314b0b2bc647b0419f342fd06b4cb8d55c2ea8c1f99cb421630,False,False,False,False,True,-0.011830924428807895,-9.258928343826498e-09
2016_full,-1,0.044,0.0,0.0,reference_bonly,1,654100986,12,True,False,,2579.1131647142574,0.19478551299863553,32.88267072893776,1e-08,1e+18,0.038379850355610756,0.5117313380748101,0.14014339862293787,1.0,15958.912261035675,15970.234678682364,-13784.03167105015,-0.8637199983049231,-0.8637199983049231,-81925741.7699645,34,860162701.5271664,1136182079.2973485,0,,678,31,647,0.032,0.21,0.0002500000000000002,0,701.2426974319171,354215.1438503383,e87d4d37569bf314b0b2bc647b0419f342fd06b4cb8d55c2ea8c1f99cb421630,False,False,False,False,True,-0.012664173800398866,-9.910785474808535e-09
2016_full,-1,0.044,0.0,0.0,reference_bonly,2,1930983802,12,True,False,,2579.113164702942,0.19478549500164274,32.882665212025415,1e-08,1e+18,0.038379850355610756,0.5117313380748101,0.14014339862293787,1.0,15958.915341467835,15970.237744292364,-13784.009544027282,-0.863718445088229,-0.863718445088229,-81925741.76996352,34,860162701.5271664,1136182079.2973485,0,,678,31,647,0.032,0.21,0.0002500000000000002,0,701.2426974319171,354215.1438503383,e87d4d37569bf314b0b2bc647b0419f342fd06b4cb8d55c2ea8c1f99cb421630,False,False,False,False,True,-0.011720243737128815,-9.172076404494544e-09
2016_full,-1,0.049,0.0,0.0,reference_bonly,0,4096410809,12,True,False,,2553.2708965483193,0.19269560827625581,32.99957441845072,1e-08,1e+18,0.037543686005039725,0.5005824800671963,0.1370901581123418,1.0,16518.162286303115,16496.178399571134,33387.66999926727,2.021270249109514,2.021270249109514,-128902135.14421992,38,1181907664.7197711,1738578404.9151943,1,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",674,49,625,0.032,0.21,0.0002500000000000002,0,701.2426974319171,354215.1438503383,7d46af14797820eef15249c7aed098b4fc2b72db9aca340ad4d26e6ebe0728a9,False,False,False,False,True,-0.021617957017892035,-1.634760808134073e-08
2016_full,-1,0.049,0.0,0.0,reference_bonly,1,2047718015,12,True,False,,2553.2708969248847,0.19269602402658306,32.99984731929333,1e-08,1e+18,0.037543686005039725,0.5005824800671963,0.1370901581123418,1.0,16518.090600494594,16496.10676372251,33387.72977469922,2.0212826398772448,2.0212826398772448,-128902135.144243,38,1181907664.7197711,1738578404.9151943,0,,674,49,625,0.032,0.21,0.0002500000000000002,0,701.2426974319171,354215.1438503383,7d46af14797820eef15249c7aed098b4fc2b72db9aca340ad4d26e6ebe0728a9,False,False,False,False,True,-0.01800267274608852,-1.3613844697754146e-08
2016_full,-1,0.049,0.0,0.0,reference_bonly,2,2116216187,12,True,False,,2553.2708966835185,0.19269579667420045,32.99992233493764,1e-08,1e+18,0.037543686005039725,0.5005824800671963,0.1370901581123418,1.0,16518.137580182985,16496.15370582111,33387.699041705666,2.021275030531366,2.021275030531366,-128902135.14422782,38,1181907664.7197711,1738578404.9151943,0,,674,49,625,0.032,0.21,0.0002500000000000002,0,701.2426974319171,354215.1438503383,7d46af14797820eef15249c7aed098b4fc2b72db9aca340ad4d26e6ebe0728a9,False,False,False,False,True,-0.025111473433969918,-1.8989486699461426e-08
2016_full,-1,0.054,0.0,0.0,reference_bonly,0,2441084178,12,True,False,,2540.9696037563017,0.1906331626376574,33.017171046819186,1e-08,1e+18,0.03692794192605447,0.4923725590140595,0.13484177863427202,1.0,17210.49351576346,17232.939935031027,-45883.78913993575,-2.66603564261012,-2.66603564261012,-157477951.63696983,40,1351533588.816075,2190964067.4154196,0,,672,68,604,0.032,0.21,0.0002500000000000002,0,701.2426974319171,354215.1438503383,b25d533bbcd113d8e1691329f1d48bf23ece4d7cb5fc4d7fb28d2d51943c39a2,False,False,False,False,True,-0.04060860673761743,-3.8471109893780774e-08
2016_full,-1,0.054,0.0,0.0,reference_bonly,1,2106595226,12,True,False,,2540.969603725831,0.19063258228054525,33.01664444844337,1e-08,1e+18,0.03692794192605447,0.4923725590140595,0.13484177863427202,1.0,17210.60277095045,17233.04938141401,-45884.00171911533,-2.666031069903161,-2.666031069903161,-157477951.63695082,40,1351533588.816075,2190964067.4154196,0,,672,68,604,0.032,0.21,0.0002500000000000002,0,701.2426974319171,354215.1438503383,b25d533bbcd113d8e1691329f1d48bf23ece4d7cb5fc4d7fb28d2d51943c39a2,False,False,False,False,True,-0.03270326231746249,-3.098143855036007e-08
2016_full,-1,0.054,0.0,0.0,reference_bonly,2,2041432098,12,True,False,,2540.969603657003,0.1906328129057195,33.01660670459124,1e-08,1e+18,0.03692794192605447,0.4923725590140595,0.13484177863427202,1.0,17210.54995406759,17232.99646843722,-45883.8925018259,-2.6660329056470142,-2.6660329056470142,-157477951.63696018,40,1351533588.816075,2190964067.4154196,0,,672,68,604,0.032,0.21,0.0002500000000000002,0,701.2426974319171,354215.1438503383,b25d533bbcd113d8e1691329f1d48bf23ece4d7cb5fc4d7fb28d2d51943c39a2,False,False,False,False,True,-0.03697876363560137,-3.50320739844207e-08
2016_full,-1,0.059,0.0,0.0,reference_bonly,0,3060819675,12,True,False,,2521.7083570505224,0.18994097304083088,33.057012210450864,1e-08,1e+18,0.03649001309630249,0.48653350795069983,0.1332426886433587,1.0,17207.148330521082,17177.17631672741,60823.13324060932,3.5347596285158205,3.5347596285158205,-181287749.1930364,44,1407877699.152787,2493627582.898163,0,,668,86,582,0.032,0.21,0.0002500000000000002,0,701.2426974319171,346725.8830613137,ab1f1d01c6c4efe3fc493fedca410029d8f890a2d4f5a74c195263db1491c5a0,False,False,False,False,True,-0.03357553772638737,-3.414173097596127e-08
