scenario,background_toy_index,mass_GeV,inj_nsigma,strength,role,attempt,optimizer_seed,optimizer_restarts,fit_ok,refit_fallback_used,error,gp_lml,gp_ls,gp_const,gp_const_lo,gp_const_hi,gp_ls_lo,gp_ls_hi,gp_ls_init,gp_const_init,sigma_A,sigmaA_reference,A_hat,Zhat,pull,amplitude_nll,n_blind,integral_density,A_per_eps2_unit,optimizer_warning_count,optimizer_warnings,n_train,n_train_low,n_train_high,train_domain_lo,train_domain_hi,bin_width_median,n_zero_train,min_y_train,max_y_train,training_counts_sha256,ls_at_lower,ls_at_upper,const_at_lower,const_at_upper,covariance_valid,covariance_min_eigenvalue,covariance_min_eigenvalue_relative,study_id,mass_MeV,top_branch_replicates,n_attempts,analytic_mean,analytic_lane,truth_model,truth_function_tag,support,support_low_MeV
2016_full,-1,0.044,0.0,0.0,reference_bonly,1,654100986,12,True,False,,2612.5452274140284,0.1956661977633647,32.14201633317119,1e-08,1e+18,0.0383798503556107,0.5117313380748101,0.1401433986229378,1.0,14635.469406348004,14645.570391166597,-14031.842634322617,-0.958755899434044,-0.958755899434044,-81925741.63125949,34,860162701.5271664,1136182079.2973485,0,,694,47,647,0.028,0.21,0.00025,0,92.9574301558271,354215.1438503383,d8f332a3d886ec8cecaf5971ccf13186d34f26d2becd2c1d11d67b9a5359cd0c,False,False,False,False,True,-0.0092504050574023,-8.866066955856002e-09,v4p9p7_2016_support_combined_100toy_20260902,44.0,3,3,True,threshold_qualified,2016_10pct_logistic_exp_Chebyshev5_blended_fShiftSigPowTail_full_normalization,logistic_exp_Chebyshev5_blended_fShiftSigPowTail,028_210,28
2016_full,-1,0.049,0.0,0.0,reference_bonly,1,2047718015,12,True,False,,2586.7752190515675,0.1935414198882463,32.23258571274619,1e-08,1e+18,0.0375436860050397,0.5005824800671963,0.1370901581123418,1.0,15959.276511304148,15937.74377572299,34809.975197996726,2.1811750158812275,2.1811750158812275,-128902135.14827192,38,1181907664.7197711,1738578404.9151945,0,,690,65,625,0.028,0.21,0.00025,0,92.9574301558271,354215.1438503383,7c21cdeb1ef434ad7e1eadc3c405d9f28c1282e3958a129c3f12b5754b632e01,False,False,False,False,True,-0.0162085801730506,-1.3404653857367297e-08,v4p9p7_2016_support_combined_100toy_20260902,49.0,2,3,True,threshold_qualified,2016_10pct_logistic_exp_Chebyshev5_blended_fShiftSigPowTail_full_normalization,logistic_exp_Chebyshev5_blended_fShiftSigPowTail,028_210,28
2016_full,-1,0.054,0.0,0.0,reference_bonly,0,2441084178,12,True,False,,2574.44970402495,0.192008004746549,32.11810993745402,1e-08,1e+18,0.0369279419260544,0.4923725590140595,0.134841778634272,1.0,16681.39752683919,16703.47834552378,-46417.30470809251,-2.782578895647702,-2.782578895647702,-157477951.64958993,40,1351533588.816075,2190964067.4154196,0,,688,84,604,0.028,0.21,0.00025,0,92.9574301558271,354215.1438503383,f113ea1a87864481469e49cf1517f90b8272400f16e31eb5b8b9bd95c7e2488d,False,False,False,False,True,-0.027586259286933,-2.8087310886447394e-08,v4p9p7_2016_support_combined_100toy_20260902,54.0,3,3,True,threshold_qualified,2016_10pct_logistic_exp_Chebyshev5_blended_fShiftSigPowTail_full_normalization,logistic_exp_Chebyshev5_blended_fShiftSigPowTail,028_210,28
2016_full,-1,0.059,0.0,0.0,reference_bonly,0,3060819675,12,True,False,,2555.1801525789188,0.1913242830108761,32.15122566894359,1e-08,1e+18,0.0364900130963024,0.4865335079506998,0.1332426886433587,1.0,16768.555133682363,16739.411139449658,60817.303529501456,3.6268660623800577,3.6268660623800577,-181287749.1505393,44,1407877699.152787,2493627582.898163,0,,684,102,582,0.028,0.21,0.00025,0,92.9574301558271,346725.8830613137,f4c84bd89a5337d024a1c7f63ec18d6ad281fafe59339af5aa704e9963f416a3,False,False,False,False,True,-0.0246256709042998,-2.6644450816154813e-08,v4p9p7_2016_support_combined_100toy_20260902,59.0,3,3,True,threshold_qualified,2016_10pct_logistic_exp_Chebyshev5_blended_fShiftSigPowTail_full_normalization,logistic_exp_Chebyshev5_blended_fShiftSigPowTail,028_210,28
2016_full,-1,0.044,0.0,0.0,reference_bonly,1,654100986,12,True,False,,2607.04758065866,0.195201767666954,32.17393379333006,1e-08,1e+18,0.0383798503556107,0.5117313380748101,0.1401433986229378,1.0,14768.260240109064,14778.026741948344,-13061.356559411004,-0.8844208015740213,-0.8844208015740213,-81925741.68191618,34,860162701.5271664,1136182079.2973485,0,,690,43,647,0.0289999999999999,0.21,0.00025,0,277.9644228492898,354215.1438503383,262873b9f3360f529cbcb38bdb45acc875049428ad2591d0c12b4192ae953f91,False,False,False,False,True,-0.0091992925848045,-8.672521104538203e-09,v4p9p7_2016_support_combined_100toy_20260902,44.0,3,3,True,threshold_qualified,2016_10pct_logistic_exp_Chebyshev5_blended_fShiftSigPowTail_full_normalization,logistic_exp_Chebyshev5_blended_fShiftSigPowTail,029_210,29
2016_full,-1,0.049,0.0,0.0,reference_bonly,2,2116216187,12,True,False,,2581.2687230808697,0.1931849575098389,32.31043829196252,1e-08,1e+18,0.0375436860050397,0.5005824800671963,0.1370901581123418,1.0,16157.380863989794,16135.869805324375,34050.87219756807,2.107449993548012,2.107449993548012,-128902135.15632536,38,1181907664.7197711,1738578404.9151945,1,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",686,61,625,0.0289999999999999,0.21,0.00025,0,277.9644228492898,354215.1438503383,50f727424c7a8524aa934f1110120def7a916618c55d0e3df0dec5333896e3e6,False,False,False,False,True,-0.0182824851447057,-1.4722699229932633e-08,v4p9p7_2016_support_combined_100toy_20260902,49.0,3,3,True,threshold_qualified,2016_10pct_logistic_exp_Chebyshev5_blended_fShiftSigPowTail_full_normalization,logistic_exp_Chebyshev5_blended_fShiftSigPowTail,029_210,29
2016_full,-1,0.054,0.0,0.0,reference_bonly,2,2041432098,12,True,False,,2568.9636270920837,0.1915508631925005,32.218471273332725,1e-08,1e+18,0.0369279419260544,0.4923725590140595,0.134841778634272,1.0,16846.14122517487,16868.258818975617,-46072.2828887271,-2.7348864213412085,-2.7348864213412085,-157477951.637914,40,1351533588.816075,2190964067.4154196,0,,684,80,604,0.0289999999999999,0.21,0.00025,0,277.9644228492898,354215.1438503383,be3ac118dc319f2841bc43d12e9f19f1b2c38b24c2fef733033f6da4835a76a4,False,False,False,False,True,-0.0304300518088497,-3.0246984654385694e-08,v4p9p7_2016_support_combined_100toy_20260902,54.0,3,3,True,threshold_qualified,2016_10pct_logistic_exp_Chebyshev5_blended_fShiftSigPowTail_full_normalization,logistic_exp_Chebyshev5_blended_fShiftSigPowTail,029_210,29
2016_full,-1,0.059,0.0,0.0,reference_bonly,2,2292443080,12,True,False,,2549.69653146014,0.1908690975458043,32.25153703076668,1e-08,1e+18,0.0364900130963024,0.4865335079506998,0.1332426886433587,1.0,16901.4684420364,16872.106821299338,60675.71333026627,3.589966962832471,3.589966962832471,-181287749.1766854,44,1407877699.152787,2493627582.898163,0,,680,98,582,0.0289999999999999,0.21,0.00025,0,277.9644228492898,346725.8830613137,b6d515111f5aeff957c77aece2c379c4b5cafbd4e4dba3159f1d53557bdbee2d,False,False,False,False,True,-0.027061526750985,-2.8694801994377018e-08,v4p9p7_2016_support_combined_100toy_20260902,59.0,3,3,True,threshold_qualified,2016_10pct_logistic_exp_Chebyshev5_blended_fShiftSigPowTail_full_normalization,logistic_exp_Chebyshev5_blended_fShiftSigPowTail,029_210,29
2016_full,-1,0.044,0.0,0.0,reference_bonly,1,654100986,12,True,False,,2599.5331818326404,0.1950636520556726,32.30480102127842,1e-08,1e+18,0.0383798503556107,0.5117313380748101,0.1401433986229378,1.0,14842.034917209588,14852.162619555544,-13351.643310954292,-0.899583068321234,-0.899583068321234,-81925741.75959618,34,860162701.5271664,1136182079.2973485,0,,686,39,647,0.03,0.21,0.00025,0,701.2426974319171,354215.1438503383,410e80389018588e48acd03400c61c75d9a9d9d4c316563365cb705e353c5d6e,False,False,False,False,True,-0.0094483160634906,-8.761504944734186e-09,v4p9p7_2016_support_combined_100toy_20260902,44.0,3,3,True,threshold_qualified,2016_10pct_logistic_exp_Chebyshev5_blended_fShiftSigPowTail_full_normalization,logistic_exp_Chebyshev5_blended_fShiftSigPowTail,030_210,30
2016_full,-1,0.049,0.0,0.0,reference_bonly,1,2047718015,12,True,False,,2573.7354145275963,0.1929505861414678,32.46291088028739,1e-08,1e+18,0.0375436860050397,0.5005824800671963,0.1370901581123418,1.0,16289.0454522173,16267.623218514864,33511.36828815815,2.0572947866381273,2.0572947866381273,-128902135.1621871,38,1181907664.7197711,1738578404.9151945,0,,682,57,625,0.03,0.21,0.00025,0,701.2426974319171,354215.1438503383,ddd2f8dd76492f35d07760f1fd135621eb0a8d8c98c4955e25accc470f8bf818,False,False,False,False,True,-0.0191352440718376,-1.5203215392973613e-08,v4p9p7_2016_support_combined_100toy_20260902,49.0,3,3,True,threshold_qualified,2016_10pct_logistic_exp_Chebyshev5_blended_fShiftSigPowTail_full_normalization,logistic_exp_Chebyshev5_blended_fShiftSigPowTail,030_210,30
