scenario,background_toy_index,mass_GeV,inj_nsigma,strength,role,attempt,optimizer_seed,optimizer_restarts,fit_ok,refit_fallback_used,error,gp_lml,gp_ls,gp_const,gp_const_lo,gp_const_hi,gp_ls_lo,gp_ls_hi,gp_ls_init,gp_const_init,sigma_A,sigmaA_reference,A_hat,Zhat,pull,amplitude_nll,n_blind,integral_density,A_per_eps2_unit,optimizer_warning_count,optimizer_warnings,n_train,n_train_low,n_train_high,train_domain_lo,train_domain_hi,bin_width_median,n_zero_train,min_y_train,max_y_train,training_counts_sha256,ls_at_lower,ls_at_upper,const_at_lower,const_at_upper,covariance_valid,covariance_min_eigenvalue,covariance_min_eigenvalue_relative,top_branch_replicates,study_id,scenario_label,source_family,truth_model,truth_function_tag,mass_MeV,n_attempts,optimizer_gate_status,optimizer_trigger_reasons,accepted,sigmaA_ref,sigmaA_ref_mode,reference_top_branch_replicates,eps2_hat_signed,eps2_injected,eps2_sigma,A_up_wald90,eps2_up_wald90,A_up_wald90_over_sigmaA_ref,A_up_wald90_minus_injected_over_sigmaA_ref,p0_wald_local,upper_limit_diagnostic,nominal_Z_residual,pull_identity_residual,refit_ls_over_hi,refit_ls_over_lo,refit_upper_boundary,refit_lower_boundary,refit_constant_lower_boundary,refit_constant_upper_boundary,analysis_partition,gp_support_mode,gp_support_low_GeV,gp_support_high_GeV,declared_result_commit,declared_integration_commit,signal_seed,reference_attempt_selected,reference_gp_lml,reference_gp_ls,reference_gp_const,Nsig_full,Nsig_win,Nsig_train,signal_counts_sha256,support,cohort
2016_full,0,0.044,0.0,0.0,reference_bonly,2,2765172605,12,True,False,,2278.331215089613,0.1873409777505002,32.16053311651512,1e-08,1e+18,0.0383798503556107,0.5117313380748101,0.1401433986229378,1.0,16286.022223815296,16288.333580539149,-4399.513810905594,-0.2701404769343934,-0.2701404769343934,-81862438.70226327,34,859586970.8387681,1135421601.2046597,1,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",694,47,647,0.028,0.21,0.00025,0,103.0,354563.0,ae1515d2b5897f9190c1ce35b55756f3b78034bff4726c4db93962c78dfbf7a7,False,False,False,False,True,-0.0094079455453696,-7.159384575562503e-09,3,v4p9p7_2016_support_combined_100toy_20260902,2016 full-statistics normalization with independent 10-percent threshold shape,2016_10pct_threshold_shape_full_normalization,2016_10pct_logistic_exp_Chebyshev5_blended_fShiftSigPowTail_full_normalization,logistic_exp_Chebyshev5_blended_fShiftSigPowTail,44.0,3,pass_replicated_initial3,,True,16286.022223815296,matched_refit_bonly_multistart_v1,3,-3.874784314687864e-06,0.0,1.4343590263331392e-05,24421.18598603234,2.150847399778368e-05,1.4995181543054064,1.4995181543054064,0.5,90pct_CLs_Wald_tilde_q_mu_from_profiled_Ahat_sigmaA,-0.2701404769343934,0.0,0.3660924469767627,4.881232626356836,False,False,False,False,v4p9p7_2016_full_support_edge_scan_028_210,028_210,0.028,0.21,4c7698e28f0c2c9eedf531a5b614ca727d7c305b,675b1c65be9238d6d97d7eeb0f09fd860404d13a,,,,,,,,,,028_210,initial_0_24
2016_full,0,0.044,2.0,32572.04444763059,injected_refit,2,693102890,12,True,False,,2278.122066715984,0.1878739828956949,32.22990223723348,1e-08,1e+18,0.0383798503556107,0.5117313380748101,0.1401433986229378,1.0,16221.378553693345,16286.022223815296,25763.253270667305,1.5882283484964004,-0.4197418335578534,-82250166.86506888,34,859586970.8387681,1135421601.2046597,0,,694,47,647,0.028,0.21,0.00025,0,103.0,354563.0,1cd6e80b36a5d85c81d98c16b09c1c4b67a914c3f5ebf4afd65b6da9ff80d9d5,False,False,False,False,True,-0.0085089230101736,-6.548269914648934e-09,2,v4p9p7_2016_support_combined_100toy_20260902,2016 full-statistics normalization with independent 10-percent threshold shape,2016_10pct_threshold_shape_full_normalization,2016_10pct_logistic_exp_Chebyshev5_blended_fShiftSigPowTail_full_normalization,logistic_exp_Chebyshev5_blended_fShiftSigPowTail,44.0,3,pass_trigger_replicated_after3,sigma_reference_ratio;reference_relative_length,True,16286.022223815296,matched_refit_bonly_multistart_v1,3,2.269047307478826e-05,2.8687180526662783e-05,1.4286656636162977e-05,47081.503699941255,4.1466098275731864e-05,2.890914862629456,0.8909148626294557,0.0561173564875182,90pct_CLs_Wald_tilde_q_mu_from_profiled_Ahat_sigmaA,-0.4117716515035996,0.0,0.3671340191954975,4.8951202559399665,False,False,False,False,v4p9p7_2016_full_support_edge_scan_028_210,028_210,0.028,0.21,4c7698e28f0c2c9eedf531a5b614ca727d7c305b,675b1c65be9238d6d97d7eeb0f09fd860404d13a,1294236225.0,2.0,2278.331215089613,0.1873409777505002,32.16053311651512,32463.0,31608.0,855.0,d13524f778af6de74a5460a05ff0656320c33974f8770598a8081725982d8b99,028_210,initial_0_24
2016_full,0,0.044,5.0,81430.11111907648,injected_refit,0,980056996,12,True,False,,2278.0631914640007,0.1883696359952513,32.310069744499074,1e-08,1e+18,0.0383798503556107,0.5117313380748101,0.1401433986229378,1.0,16183.75396452269,16286.022223815296,75814.46235561928,4.684602998897313,-0.3469929644115682,-82835139.33964556,34,859586970.8387681,1135421601.2046597,2,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html | ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",694,47,647,0.028,0.21,0.00025,0,103.0,354563.0,c728726d15d828d20a81de4c05ffb5778b7939caf5df25e987375c0df5bfde4a,False,False,False,False,True,-0.009374142147624,-7.278483391137547e-09,1,v4p9p7_2016_support_combined_100toy_20260902,2016 full-statistics normalization with independent 10-percent threshold shape,2016_10pct_threshold_shape_full_normalization,2016_10pct_logistic_exp_Chebyshev5_blended_fShiftSigPowTail_full_normalization,logistic_exp_Chebyshev5_blended_fShiftSigPowTail,44.0,1,pass_single_untriggered,,True,16286.022223815296,matched_refit_bonly_multistart_v1,3,6.677208032257062e-05,7.171795131665696e-05,1.4253519527329804e-05,96554.79054765234,8.503871200372587e-05,5.928690825833384,0.9286908258333836,1.402515427054851e-06,90pct_CLs_Wald_tilde_q_mu_from_profiled_Ahat_sigmaA,-0.3153970011026867,0.0,0.3681025998992337,4.908034665323116,False,False,False,False,v4p9p7_2016_full_support_edge_scan_028_210,028_210,0.028,0.21,4c7698e28f0c2c9eedf531a5b614ca727d7c305b,675b1c65be9238d6d97d7eeb0f09fd860404d13a,3291377544.0,2.0,2278.331215089613,0.1873409777505002,32.16053311651512,81448.0,79271.0,2177.0,d7a5badcbce1fe13ee6b433cb72188a4509f4a483e707afc40b0ef0f61bfce70,028_210,initial_0_24
2016_full,0,0.049,0.0,0.0,reference_bonly,1,3078104469,12,True,False,,2268.04570982633,0.1867611066752877,32.630863489867004,1e-08,1e+18,0.0375436860050397,0.5005824800671963,0.1370901581123418,1.0,17293.75336738349,17258.342649892493,44427.97408906838,2.569018601413664,2.569018601413664,-128850553.96419623,38,1181361974.2668235,1737775697.8462894,0,,690,65,625,0.028,0.21,0.00025,0,103.0,354563.0,d93e758b2580e68ccb6b19c91cb6103164d038620fed53a1ecddfd4ea07520ff,False,False,False,False,True,-0.0164418060344495,-1.1270869514340781e-08,3,v4p9p7_2016_support_combined_100toy_20260902,2016 full-statistics normalization with independent 10-percent threshold shape,2016_10pct_threshold_shape_full_normalization,2016_10pct_logistic_exp_Chebyshev5_blended_fShiftSigPowTail_full_normalization,logistic_exp_Chebyshev5_blended_fShiftSigPowTail,49.0,3,pass_replicated_initial3,,True,17293.75336738349,matched_refit_bonly_multistart_v1,3,2.5566000344077864e-05,0.0,9.951660268247788e-06,66641.1540777543,3.834853609723392e-05,3.853481234642874,3.853481234642874,0.0050993491412588,90pct_CLs_Wald_tilde_q_mu_from_profiled_Ahat_sigmaA,2.569018601413664,0.0,0.37308758119185,4.9745010825580005,False,False,False,False,v4p9p7_2016_full_support_edge_scan_028_210,028_210,0.028,0.21,4c7698e28f0c2c9eedf531a5b614ca727d7c305b,675b1c65be9238d6d97d7eeb0f09fd860404d13a,,,,,,,,,,028_210,initial_0_24
2016_full,0,0.049,2.0,34587.50673476698,injected_refit,0,2324759125,12,True,False,,2267.795321345883,0.1867616985938232,32.60141082889856,1e-08,1e+18,0.0375436860050397,0.5005824800671963,0.1370901581123418,1.0,17323.549457776095,17293.75336738349,79164.62158875428,4.569769133150674,2.5732090852765612,-129274380.6797996,38,1181361974.2668235,1737775697.8462894,0,,690,65,625,0.028,0.21,0.00025,0,103.0,354563.0,997011bd93b2af8853502af93a8b37f74666f72704863ba1995e2bb2f50f7444,False,False,False,False,True,-0.0202364871458295,-1.3846407463098017e-08,1,v4p9p7_2016_support_combined_100toy_20260902,2016 full-statistics normalization with independent 10-percent threshold shape,2016_10pct_threshold_shape_full_normalization,2016_10pct_logistic_exp_Chebyshev5_blended_fShiftSigPowTail_full_normalization,logistic_exp_Chebyshev5_blended_fShiftSigPowTail,49.0,1,pass_single_untriggered,,True,17293.75336738349,matched_refit_bonly_multistart_v1,3,4.555514367410413e-05,1.9903320536495576e-05,9.96880637659165e-06,101365.66760112204,5.833069695171216e-05,5.861403562762757,3.861403562762757,2.441308907198082e-06,90pct_CLs_Wald_tilde_q_mu_from_profiled_Ahat_sigmaA,2.5697691331506736,0.0,0.3730887636514028,4.97451684868537,False,False,False,False,v4p9p7_2016_full_support_edge_scan_028_210,028_210,0.028,0.21,4c7698e28f0c2c9eedf531a5b614ca727d7c305b,675b1c65be9238d6d97d7eeb0f09fd860404d13a,3380491699.0,1.0,2268.04570982633,0.1867611066752877,32.630863489867004,34431.0,33651.0,780.0,2516f2ff2ff6bcc2b6d92c02d0a2f950b982a527f2958e633a67a569095e0f1d,028_210,initial_0_24
2016_full,0,0.049,5.0,86468.76683691746,injected_refit,0,1519088797,12,True,False,,2267.520955964253,0.1867672788169602,32.545595707888644,1e-08,1e+18,0.0375436860050397,0.5005824800671963,0.1370901581123418,1.0,17368.064313990544,17293.75336738349,127279.15501506846,7.328344294104262,2.3497372787407804,-129917565.53838956,38,1181361974.2668235,1737775697.8462894,1,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",690,65,625,0.028,0.21,0.00025,0,103.0,354563.0,f174382ce4d119c282c2f213e3032c441782bbe2eccfe2cb3e80cdb7e669deeb,False,False,False,False,True,-0.0165670429082515,-1.1305199778149674e-08,1,v4p9p7_2016_support_combined_100toy_20260902,2016 full-statistics normalization with independent 10-percent threshold shape,2016_10pct_threshold_shape_full_normalization,2016_10pct_logistic_exp_Chebyshev5_blended_fShiftSigPowTail_full_normalization,logistic_exp_Chebyshev5_blended_fShiftSigPowTail,49.0,1,pass_single_untriggered,,True,17293.75336738349,matched_refit_bonly_multistart_v1,3,7.32425681708012e-05,4.975830134123894e-05,9.994422373103525e-06,149537.22503274865,8.605093581299213e-05,8.646892427342008,3.646892427342007,1.165067369615418e-13,90pct_CLs_Wald_tilde_q_mu_from_profiled_Ahat_sigmaA,2.3283442941042622,0.0,0.3730999111113304,4.974665481484405,False,False,False,False,v4p9p7_2016_full_support_edge_scan_028_210,028_210,0.028,0.21,4c7698e28f0c2c9eedf531a5b614ca727d7c305b,675b1c65be9238d6d97d7eeb0f09fd860404d13a,1560417060.0,1.0,2268.04570982633,0.1867611066752877,32.630863489867004,86764.0,84698.0,2066.0,8bf8c0e8a361d56504bb1c708351a2c5ff42c6adc934120e30d27a5df9bbf74c,028_210,initial_0_24
2016_full,0,0.054,0.0,0.0,reference_bonly,2,1079938692,12,True,False,,2264.1342601120323,0.1903941729017116,32.96538893725361,1e-08,1e+18,0.0369279419260544,0.4923725590140595,0.134841778634272,1.0,17070.232749667877,17094.18411377586,-65634.08254160499,-3.8449436222761513,-3.8449436222761513,-157517388.90287825,40,1351804173.8228662,2191402711.361798,0,,688,84,604,0.028,0.21,0.00025,0,103.0,354563.0,5cbe1fe11090655cdb4eb3e0f37d99e4eb99b45f897e5551fbd9e8d827aa453a,False,False,False,False,True,-0.0326316955971959,-3.154312157875726e-08,3,v4p9p7_2016_support_combined_100toy_20260902,2016 full-statistics normalization with independent 10-percent threshold shape,2016_10pct_threshold_shape_full_normalization,2016_10pct_logistic_exp_Chebyshev5_blended_fShiftSigPowTail_full_normalization,logistic_exp_Chebyshev5_blended_fShiftSigPowTail,54.0,3,pass_replicated_initial3,,True,17070.232749667877,matched_refit_bonly_multistart_v1,3,-2.995071704589531e-05,0.0,7.789637505312735e-06,14888.72233736271,6.794151645504923e-06,0.8722038273117505,0.8722038273117505,0.5,90pct_CLs_Wald_tilde_q_mu_from_profiled_Ahat_sigmaA,-3.8449436222761513,0.0,0.3866872136070342,5.155829514760455,False,False,False,False,v4p9p7_2016_full_support_edge_scan_028_210,028_210,0.028,0.21,4c7698e28f0c2c9eedf531a5b614ca727d7c305b,675b1c65be9238d6d97d7eeb0f09fd860404d13a,,,,,,,,,,028_210,initial_0_24
2016_full,0,0.054,2.0,34140.465499335754,injected_refit,0,2808803525,12,True,False,,2264.235595604787,0.1901890034863807,32.987401795612364,1e-08,1e+18,0.0369279419260544,0.4923725590140595,0.134841778634272,1.0,17140.417655523324,17070.232749667877,-31947.873872521275,-1.863891214005885,-3.8557018096090983,-157943323.3061428,40,1351804173.8228662,2191402711.361798,1,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",688,84,604,0.028,0.21,0.00025,0,103.0,354627.0,66ac6a1a8c77e81d973af1b0d611d86c2b9d2f7886d884260b1a82b2705f6eed,False,False,False,False,True,-0.0320897268241532,-3.078017756795768e-08,1,v4p9p7_2016_support_combined_100toy_20260902,2016 full-statistics normalization with independent 10-percent threshold shape,2016_10pct_threshold_shape_full_normalization,2016_10pct_logistic_exp_Chebyshev5_blended_fShiftSigPowTail_full_normalization,logistic_exp_Chebyshev5_blended_fShiftSigPowTail,54.0,1,pass_single_untriggered,,True,17070.232749667877,matched_refit_bonly_multistart_v1,3,-1.4578732474355656e-05,1.557927501062547e-05,7.82166489374826e-06,18413.391375307365,8.402559365213516e-06,1.078684259631177,-0.921315740368823,0.5,90pct_CLs_Wald_tilde_q_mu_from_profiled_Ahat_sigmaA,-3.8638912140058848,0.0,0.3862705181361456,5.150273575148608,False,False,False,False,v4p9p7_2016_full_support_edge_scan_028_210,028_210,0.028,0.21,4c7698e28f0c2c9eedf531a5b614ca727d7c305b,675b1c65be9238d6d97d7eeb0f09fd860404d13a,2108496224.0,2.0,2264.1342601120323,0.1903941729017116,32.96538893725361,34418.0,33454.0,964.0,ed642840fc6b18eb724e7ac1f24d921cf2548ebb20ab61f6b9f260b8b4cc0e98,028_210,initial_0_24
2016_full,0,0.054,5.0,85351.16374833939,injected_refit,0,2726708252,12,True,False,,2264.4334584009293,0.1898799517489635,32.99540109023021,1e-08,1e+18,0.0369279419260544,0.4923725590140595,0.134841778634272,1.0,17241.737234664637,17070.232749667877,16573.971230921507,0.9612703757948136,-3.9889943560409233,-158571451.75137758,40,1351804173.8228662,2191402711.361798,0,,688,84,604,0.028,0.21,0.00025,0,103.0,354742.0,1f9cdf3ea45834be925301a699327c202494eb2be606c66eccf74a085a654fbc,False,False,False,False,True,-0.033017992813175,-3.1321890753347496e-08,1,v4p9p7_2016_support_combined_100toy_20260902,2016 full-statistics normalization with independent 10-percent threshold shape,2016_10pct_threshold_shape_full_normalization,2016_10pct_logistic_exp_Chebyshev5_blended_fShiftSigPowTail_full_normalization,logistic_exp_Chebyshev5_blended_fShiftSigPowTail,54.0,1,pass_single_untriggered,,True,17070.232749667877,matched_refit_bonly_multistart_v1,3,7.563179120382664e-06,3.8948187526563675e-05,7.867899927873206e-06,40436.53999256954,1.8452354641580763e-05,2.3688335470034105,-2.6311664529965895,0.1682081195300402,90pct_CLs_Wald_tilde_q_mu_from_profiled_Ahat_sigmaA,-4.038729624205186,0.0,0.3856428394977665,5.141904526636887,False,False,False,False,v4p9p7_2016_full_support_edge_scan_028_210,028_210,0.028,0.21,4c7698e28f0c2c9eedf531a5b614ca727d7c305b,675b1c65be9238d6d97d7eeb0f09fd860404d13a,1121434735.0,2.0,2264.1342601120323,0.1903941729017116,32.96538893725361,85088.0,82772.0,2316.0,01493e9ebc6a889485908f2c9eae617ac4ea70d6237323bd4dd86cdd86f6c43e,028_210,initial_0_24
2016_full,0,0.059,0.0,0.0,reference_bonly,2,3439631705,12,True,False,,2235.056305967014,0.2782799502684837,35.24061151465067,1e-08,1e+18,0.0364900130963024,0.4865335079506998,0.1332426886433587,1.0,9150.036288759078,9162.563781597548,-36926.98230405917,-4.035719765332995,-4.035719765332995,-181280397.5051699,44,1407886607.068813,2493643360.5648756,0,,684,102,582,0.028,0.21,0.00025,0,103.0,347679.0,a386d420d81e601ffb8c4338365d5637ad099e08d897e6db1094d15e5de6d919,False,False,False,False,True,-0.0411817038391246,-2.3858085713516904e-07,3,v4p9p7_2016_support_combined_100toy_20260902,2016 full-statistics normalization with independent 10-percent threshold shape,2016_10pct_threshold_shape_full_normalization,2016_10pct_logistic_exp_Chebyshev5_blended_fShiftSigPowTail_full_normalization,logistic_exp_Chebyshev5_blended_fShiftSigPowTail,59.0,3,pass_replicated_initial3,,True,9150.036288759078,matched_refit_bonly_multistart_v1,3,-1.4808445701591524e-05,0.0,3.669344395217107e-06,7862.762723596707,3.153122394300838e-06,0.8593149224179798,0.8593149224179798,0.5,90pct_CLs_Wald_tilde_q_mu_from_profiled_Ahat_sigmaA,-4.035719765332995,0.0,0.571964614401608,7.626194858688105,False,False,False,False,v4p9p7_2016_full_support_edge_scan_028_210,028_210,0.028,0.21,4c7698e28f0c2c9eedf531a5b614ca727d7c305b,675b1c65be9238d6d97d7eeb0f09fd860404d13a,,,,,,,,,,028_210,initial_0_24
