scenario,background_toy_index,mass_GeV,inj_nsigma,strength,role,attempt,optimizer_seed,optimizer_restarts,fit_ok,refit_fallback_used,error
2016_full,0,0.044,0.0,0.0,reference_bonly,0,73765540,12,False,False,AttributeError: 'BlindPrediction' object has no attribute 'optimizer_warning_count'
2016_full,0,0.044,0.0,0.0,reference_bonly,1,938076687,12,False,False,AttributeError: 'BlindPrediction' object has no attribute 'optimizer_warning_count'
2016_full,0,0.044,0.0,0.0,reference_bonly,2,2765172605,12,False,False,AttributeError: 'BlindPrediction' object has no attribute 'optimizer_warning_count'
2016_full,0,0.044,0.0,0.0,reference_bonly,3,1149382336,12,False,False,AttributeError: 'BlindPrediction' object has no attribute 'optimizer_warning_count'
2016_full,0,0.044,0.0,0.0,reference_bonly,4,309130260,12,False,False,AttributeError: 'BlindPrediction' object has no attribute 'optimizer_warning_count'
2016_full,0,0.049,0.0,0.0,reference_bonly,0,2224147772,12,False,False,AttributeError: 'BlindPrediction' object has no attribute 'optimizer_warning_count'
2016_full,0,0.049,0.0,0.0,reference_bonly,1,3078104469,12,False,False,AttributeError: 'BlindPrediction' object has no attribute 'optimizer_warning_count'
2016_full,0,0.049,0.0,0.0,reference_bonly,2,1335875744,12,False,False,AttributeError: 'BlindPrediction' object has no attribute 'optimizer_warning_count'
2016_full,0,0.049,0.0,0.0,reference_bonly,3,932659552,12,False,False,AttributeError: 'BlindPrediction' object has no attribute 'optimizer_warning_count'
2016_full,0,0.049,0.0,0.0,reference_bonly,4,2192035003,12,False,False,AttributeError: 'BlindPrediction' object has no attribute 'optimizer_warning_count'
2016_full,0,0.054,0.0,0.0,reference_bonly,0,843569371,12,False,False,AttributeError: 'BlindPrediction' object has no attribute 'optimizer_warning_count'
2016_full,0,0.054,0.0,0.0,reference_bonly,1,3740662570,12,False,False,AttributeError: 'BlindPrediction' object has no attribute 'optimizer_warning_count'
2016_full,0,0.054,0.0,0.0,reference_bonly,2,1079938692,12,False,False,AttributeError: 'BlindPrediction' object has no attribute 'optimizer_warning_count'
2016_full,0,0.054,0.0,0.0,reference_bonly,3,1738061969,12,False,False,AttributeError: 'BlindPrediction' object has no attribute 'optimizer_warning_count'
2016_full,0,0.054,0.0,0.0,reference_bonly,4,4290571431,12,False,False,AttributeError: 'BlindPrediction' object has no attribute 'optimizer_warning_count'
2016_full,0,0.059,0.0,0.0,reference_bonly,0,2240473091,12,False,False,AttributeError: 'BlindPrediction' object has no attribute 'optimizer_warning_count'
2016_full,0,0.059,0.0,0.0,reference_bonly,1,1314930384,12,False,False,AttributeError: 'BlindPrediction' object has no attribute 'optimizer_warning_count'
2016_full,0,0.059,0.0,0.0,reference_bonly,2,3439631705,12,False,False,AttributeError: 'BlindPrediction' object has no attribute 'optimizer_warning_count'
2016_full,0,0.059,0.0,0.0,reference_bonly,3,3141544666,12,False,False,AttributeError: 'BlindPrediction' object has no attribute 'optimizer_warning_count'
2016_full,0,0.059,0.0,0.0,reference_bonly,4,383603012,12,False,False,AttributeError: 'BlindPrediction' object has no attribute 'optimizer_warning_count'
