scenario,background_toy_index,mass_GeV,inj_nsigma,strength,role,attempt,optimizer_seed,optimizer_restarts,fit_ok,refit_fallback_used,error,gp_lml,gp_ls,gp_const,gp_const_lo,gp_const_hi,gp_ls_lo,gp_ls_hi,gp_ls_init,gp_const_init,sigma_A,sigmaA_reference,A_hat,Zhat,pull,amplitude_nll,n_blind,integral_density,A_per_eps2_unit,optimizer_warning_count,optimizer_warnings,n_train,n_train_low,n_train_high,train_domain_lo,train_domain_hi,bin_width_median,n_zero_train,min_y_train,max_y_train,training_counts_sha256,ls_at_lower,ls_at_upper,const_at_lower,const_at_upper,covariance_valid,covariance_min_eigenvalue,covariance_min_eigenvalue_relative,signal_seed,reference_attempt_selected,reference_gp_lml,reference_gp_ls,reference_gp_const,Nsig_full,Nsig_win,Nsig_train,signal_counts_sha256
2016_full,4,0.044,0.0,0.0,reference_bonly,0,2184978735,12,True,False,,2291.816386291728,0.19863468255074793,32.3510344675194,1e-08,1e+18,0.038379850355610756,0.5117313380748101,0.14014339862293787,1.0,13994.66322339989,13991.385657379162,3627.0660955927037,0.25917494674170066,0.25917494674170066,-81922803.85192144,34,860003686.9611775,1135972038.2203488,0,,694,47,647,0.028,0.21,0.0002500000000000002,0,83.0,355212.0,bce7e26bf806ba44364ea7f2b1b048e648e7ef6d59e3a413ef6a19c21ce7a9eb,False,False,False,False,True,-0.00929920683488771,-9.79839780254203e-09,,,,,,,,,
2016_full,4,0.044,0.0,0.0,reference_bonly,1,169324785,12,True,False,,2291.8163864686358,0.19863522505712777,32.35103668949324,1e-08,1e+18,0.038379850355610756,0.5117313380748101,0.14014339862293787,1.0,13994.569744527342,13991.292362441678,3626.829124045363,0.25915974483343124,0.25915974483343124,-81922803.85198644,34,860003686.9611775,1135972038.2203488,0,,694,47,647,0.028,0.21,0.0002500000000000002,0,83.0,355212.0,bce7e26bf806ba44364ea7f2b1b048e648e7ef6d59e3a413ef6a19c21ce7a9eb,False,False,False,False,True,-0.009922524465320166,-1.045533271166011e-08,,,,,,,,,
2016_full,4,0.044,0.0,0.0,reference_bonly,2,2511626703,12,True,False,,2291.8163877047973,0.19863663298544493,32.35056210818454,1e-08,1e+18,0.038379850355610756,0.5117313380748101,0.14014339862293787,1.0,13994.306079780516,13991.02917866193,3626.2131658503517,0.2591206127104535,0.2591206127104535,-81922803.85215043,34,860003686.9611775,1135972038.2203488,0,,694,47,647,0.028,0.21,0.0002500000000000002,0,83.0,355212.0,bce7e26bf806ba44364ea7f2b1b048e648e7ef6d59e3a413ef6a19c21ce7a9eb,False,False,False,False,True,-0.010319835367594237,-1.087443250268881e-08,,,,,,,,,
2016_full,4,0.044,2.0,27988.61215956103,injected_refit,0,3197952464,12,True,False,,2291.928079179047,0.19890062344613568,32.430023243072206,1e-08,1e+18,0.038379850355610756,0.5117313380748101,0.14014339862293787,1.0,13983.281932581604,13994.306079780516,30451.882462496596,2.177734998787552,0.1761582377307324,-82255319.21051127,34,860003686.9611775,1135972038.2203488,0,,694,47,647,0.028,0.21,0.0002500000000000002,0,83.0,355212.0,d68e221eb2f71b139d0409e9327f93cfe280ab2dfe0078403895f6fd401d7dab,False,False,False,False,True,-0.007562058217224286,-8.001366291786615e-09,1447887334.0,2.0,2291.8163877047973,0.19863663298544493,32.35056210818454,27875.0,27108.0,767.0,2e7357d1e03543064e45e0e3afd1500cfbf07f74938d428d9e6990eb67656ded
2016_full,4,0.044,5.0,69971.53039890257,injected_refit,0,3719186082,12,True,False,,2291.9884823283205,0.19922411486721742,32.5282408021617,1e-08,1e+18,0.038379850355610756,0.5117313380748101,0.14014339862293787,1.0,13974.531656476047,13994.306079780516,71972.90513935762,5.150291037195805,0.1432158722491125,-82756653.1780739,34,860003686.9611775,1135972038.2203488,0,,694,47,647,0.028,0.21,0.0002500000000000002,0,83.0,355212.0,7bc48d628910dac71e9bc1a3a0e604c523911ac5d75e601689909e540cbdd3a9,False,False,False,False,True,-0.01150454283663203,-1.2231287509686218e-08,1008036471.0,2.0,2291.8163877047973,0.19863663298544493,32.35056210818454,69811.0,67957.0,1854.0,baedc6479344bed76d242b7ff4e75ba594615ced0addbaf7f7cb5f227d77cb06
2016_full,4,0.049,0.0,0.0,reference_bonly,0,2451053260,12,True,False,,2267.3729970867244,0.19367964296742057,32.45664493265536,1e-08,1e+18,0.037543686005039725,0.5005824800671963,0.1370901581123418,1.0,16008.599623848359,15998.97494633203,24586.57868759823,1.5358356923969207,1.5358356923969207,-128910884.18246345,38,1182276762.8350334,1739121345.8162856,0,,690,65,625,0.028,0.21,0.0002500000000000002,0,83.0,355212.0,3ba07f9df9b27ad015c5731b47b7bcb87a1a190208050f421645e140d4339f3d,False,False,False,False,True,-0.017996954348872794,-1.4797192637158487e-08,,,,,,,,,
2016_full,4,0.049,0.0,0.0,reference_bonly,1,3729212027,12,True,False,,2267.3729971484613,0.19368049248266472,32.45981750605371,1e-08,1e+18,0.037543686005039725,0.5005824800671963,0.1370901581123418,1.0,16008.542930242162,15998.918136442257,24586.719352514352,1.5358499183624594,1.5358499183624594,-128910884.18253341,38,1182276762.8350334,1739121345.8162856,0,,690,65,625,0.028,0.21,0.0002500000000000002,0,83.0,355212.0,3ba07f9df9b27ad015c5731b47b7bcb87a1a190208050f421645e140d4339f3d,False,False,False,False,True,-0.019257427258681726,-1.583368524197468e-08,,,,,,,,,
2016_full,4,0.049,0.0,0.0,reference_bonly,2,770674031,12,True,False,,2267.3729965095745,0.1936801327898141,32.46040371598535,1e-08,1e+18,0.037543686005039725,0.5005824800671963,0.1370901581123418,1.0,16008.630259438083,15999.005340518253,24586.746376171926,1.5358432281660395,1.5358432281660395,-128910884.18245204,38,1182276762.8350334,1739121345.8162856,0,,690,65,625,0.028,0.21,0.0002500000000000002,0,83.0,355212.0,3ba07f9df9b27ad015c5731b47b7bcb87a1a190208050f421645e140d4339f3d,False,False,False,False,True,-0.020766527415961456,-1.7074264933014338e-08,,,,,,,,,
2016_full,4,0.049,2.0,32017.085860484323,injected_refit,0,2065728723,12,True,False,,2267.136612642371,0.19374370234498425,32.42614519235551,1e-08,1e+18,0.037543686005039725,0.5005824800671963,0.1370901581123418,1.0,16020.121493149127,16008.542930242162,56509.56090453735,3.5274115073785923,1.528857009887661,-129305011.80351399,38,1182276762.8350334,1739121345.8162856,0,,690,65,625,0.028,0.21,0.0002500000000000002,0,83.0,355212.0,011bc0c74c2859e76414ffe098bc2acf389e5ba6d98f81d2823d3c5d2dbcff65,False,False,False,False,True,-0.018160392372345395,-1.4935291886238964e-08,1938005429.0,1.0,2267.3729971484613,0.19368049248266472,32.45981750605371,32039.0,31291.0,748.0,d987d0a12a21a5f4d98f405704756fe062937624e0395163b116fd28651a1c3c
2016_full,4,0.049,5.0,80042.71465121082,injected_refit,0,199427538,12,True,False,,2266.745421304419,0.1937078560704476,32.36674212809603,1e-08,1e+18,0.037543686005039725,0.5005824800671963,0.1370901581123418,1.0,16062.461052447698,16008.542930242162,106132.82843926256,6.607507286256697,1.6242911782236493,-129901187.25011596,38,1182276762.8350334,1739121345.8162856,0,,690,65,625,0.028,0.21,0.0002500000000000002,0,83.0,355212.0,b234149c519aec603c581a29c8eff88c4e19d6129750a8e4f5f612b05707857b,False,False,False,False,True,-0.017945137702628216,-1.4710295169783953e-08,4154137973.0,1.0,2267.3729971484613,0.19368049248266472,32.45981750605371,80444.0,78607.0,1837.0,aa5fc9bec7fca0675d03de0c4064766ec4cf7bd77a51d48520d58c5d80f650b5
