path,sha256,bytes,role,retrieval,snapshot
study_results/v4p2_combined_2015full_2016full_2021_10pct_300toy_20260805/derived/individual_observed_limits_reviewed_v4p2.csv,1e3e99fb7c0a171d6d496de87ac6664b485928042b2cede242dffab55e0cc410,605870,accepted v4.2 2021 observed local-Z/limit curve,git show HEAD,source_snapshots/old_v4p2_2021_curve.csv
study_results/v4p2_combined_2015full_2016full_2021_10pct_300toy_20260805/note_figures/extractions_m065/observed_extraction_m065_fit_summary.csv,dc06707637511644e6bad06638451351a9995b9e363b4cfe0aeddcae18bf3c4f,1972,accepted v4.2 exact 65 MeV fit summary,git show HEAD,source_snapshots/old_v4p2_m65_fit_summary.csv
study_results/v4p2_combined_2015full_2016full_2021_10pct_300toy_20260805/standalone_pairwise_bands100_fixed/ul_bands_standalone_pairwise_100.csv,efa73576adae356d4805b7548a0bc14da4d4a2572fd6a19cc6404e7cd5386e47,1244192,accepted v4.2 standalone and pairwise rows at 65 MeV,git show HEAD,source_snapshots/old_v4p2_pairwise_m65.csv
study_results/v4p2_combined_2015full_2016full_2021_10pct_300toy_20260805/derived/combined_bands300_reviewed_v4p2.csv,8f4b37ff6a998e236c1ea959db56a76f21ce509c05f24c17675cef676fcbeadd,746253,accepted v4.2 all-three row at 65 MeV,git show HEAD,source_snapshots/old_v4p2_all3_m65.csv
study_results/v4p9p5_2021_gp_support_edge_optimization_20260820/derived/analysis/observed_2021_10pct_support036_300.csv,28e6a10b8633fc69c1bab62d32fe39417c42ac886ef27f74ca0c9aeb7cc620e9,38034,v4.9.5 2021 observed local-Z/limit curve,filesystem in isolated worktree,source_snapshots/new_v4p9p5_2021_curve.csv
study_results/v4p9p5_2021_gp_support_edge_optimization_20260820/observed_scan/final/optimizer_repair_ledger.csv,8391d3f7ffbb9e6585f1a43de0bce03c9d27f0c132544201554fe4c3e654fb58,3035,v4.9.5 observed branch-repair ledger,filesystem in isolated worktree,source_snapshots/new_v4p9p5_optimizer_repair_ledger.csv
study_results/v4p9p5_2021_gp_support_edge_optimization_20260820/inputs/frozen_v4p2_analysis_card.yaml,5a52abb41896b161bd6dd8f66859737b6d98ea7d40d2eb8d8c677c3161ed6055,3948,frozen v4.2 analysis card,filesystem in isolated worktree,
study_results/v4p9p5_2021_gp_support_edge_optimization_20260820/inputs/v4p9p5_observed_2021_10pct_support036_300_card.yaml,c66bf0debb582c6c868f64475cd4c3595e0a0bc39ad17a09fb450c627e2c7b1f,3674,v4.9.5 support36 observed card,filesystem in isolated worktree,
study_results/v4p9p5_2021_gp_support_edge_optimization_20260820/inputs/source_2021_10pct.root,3944d4c71a453c6c810061248c34d2fca9eceaad1de85c137afdc291c2195ac4,35801,common 2021 native-10% observed ROOT source,filesystem in isolated worktree,
study_results/v4p9p5_2021_gp_support_edge_optimization_20260820/PROVENANCE.md,6bdb27a621a1c05bf1417d287a9348ad71551cf1cf7d9185df731f24d5666636,6931,v4.9.5 support-selection provenance,filesystem in isolated worktree,
study_results/v4p9p5_2021_gp_support_edge_optimization_20260820/runtime_overlay/hps_gpr/gpr.py,1c83cae238e87a4e94928c97fb737947c22a3f88b16dfaf955d48ab6b4771dd5,19457,archived GPR implementation used for reconstruction,filesystem in isolated worktree,
/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/finalist_k15_2021_10pct_combined100toy_20260803/derived/observed_2021_reviewed.csv,4b5d8df6e4e5f3d0cdf4bb21b19fcd5dc9f92c3fdff28d5968662ba6fcabad93,,read-only pre-v4.2-finalization 2021 curve used for the branch-lineage check,"auditor-recorded source; values embedded below, not reread by this builder",derived/m65_branch_lineage.csv
/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/finalist_k15_2021_10pct_combined100toy_20260803/derived/optimizer_repair_ledger.csv,6a28e060687663717d476e79d7d7dd01ac3d6006e917a1ecfedfb478e51d74ca,,read-only pre-v4.2-finalization targeted repair ledger,"auditor-recorded source; repair masses embedded below, not reread by this builder",derived/m65_branch_lineage.csv
