group,scope_key,scope_label,dataset_set,source_state,source_file,mass_GeV,mass_MeV,A90_events,eps2_90,p0_local_asymptotic,Z_local_asymptotic,gp_support,edge_diagnostic,yield_coordinate,limit_method,pvalue_method,limit_coordinate
combination,all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,historical_v4p2,v4p2_all_period_source.csv,0.05,50.0,27893.89461185611,8.808475984655486e-06,0.0300157633663908,1.8805619873210484,v4p2 campaign-specific supports,False,derived total signal yield at shared eps2 limit,observed asymptotic 90% CLs,fixed-mass local asymptotic profile LRT,electron-channel epsilon^2
combination,all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,historical_v4p2,v4p2_all_period_source.csv,0.0509999999999999,51.0,32762.264531962326,9.79987199337942e-06,0.0086216185747851,2.3814797848747125,v4p2 campaign-specific supports,False,derived total signal yield at shared eps2 limit,observed asymptotic 90% CLs,fixed-mass local asymptotic profile LRT,electron-channel epsilon^2
combination,all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,historical_v4p2,v4p2_all_period_source.csv,0.0519999999999999,52.0,28823.154498027056,8.16887898700869e-06,0.0311571419772408,1.864052842683549,v4p2 campaign-specific supports,False,derived total signal yield at shared eps2 limit,observed asymptotic 90% CLs,fixed-mass local asymptotic profile LRT,electron-channel epsilon^2
combination,all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,historical_v4p2,v4p2_all_period_source.csv,0.0529999999999999,53.0,23834.066094484908,6.409133080032729e-06,0.1049034973116522,1.2540963287315596,v4p2 campaign-specific supports,False,derived total signal yield at shared eps2 limit,observed asymptotic 90% CLs,fixed-mass local asymptotic profile LRT,electron-channel epsilon^2
combination,all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,historical_v4p2,v4p2_all_period_source.csv,0.0539999999999999,54.0,17739.868027400644,4.533445048288226e-06,0.3428113610235296,0.4048024577641039,v4p2 campaign-specific supports,False,derived total signal yield at shared eps2 limit,observed asymptotic 90% CLs,fixed-mass local asymptotic profile LRT,electron-channel epsilon^2
combination,all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,historical_v4p2,v4p2_all_period_source.csv,0.055,55.0,12462.221284171046,3.0339045073039063e-06,0.4998622584051907,0.0003452669830012,v4p2 campaign-specific supports,False,derived total signal yield at shared eps2 limit,observed asymptotic 90% CLs,fixed-mass local asymptotic profile LRT,electron-channel epsilon^2
combination,all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,historical_v4p2,v4p2_all_period_source.csv,0.056,56.0,11014.88751618269,2.5575514240834826e-06,0.5,0.0,v4p2 campaign-specific supports,False,derived total signal yield at shared eps2 limit,observed asymptotic 90% CLs,fixed-mass local asymptotic profile LRT,electron-channel epsilon^2
combination,all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,historical_v4p2,v4p2_all_period_source.csv,0.057,57.0,9700.860661079103,2.152429009189448e-06,0.5,0.0,v4p2 campaign-specific supports,False,derived total signal yield at shared eps2 limit,observed asymptotic 90% CLs,fixed-mass local asymptotic profile LRT,electron-channel epsilon^2
combination,all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,historical_v4p2,v4p2_all_period_source.csv,0.058,58.0,9642.807066668935,2.04884077574132e-06,0.5,0.0,v4p2 campaign-specific supports,False,derived total signal yield at shared eps2 limit,observed asymptotic 90% CLs,fixed-mass local asymptotic profile LRT,electron-channel epsilon^2
combination,all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,historical_v4p2,v4p2_all_period_source.csv,0.0589999999999999,59.0,9792.672344944265,1.997579847592649e-06,0.5,0.0,v4p2 campaign-specific supports,False,derived total signal yield at shared eps2 limit,observed asymptotic 90% CLs,fixed-mass local asymptotic profile LRT,electron-channel epsilon^2
