mass_GeV,mass_MeV,A_up,eps2_up,p0_analytic,Z_analytic,A_hat,sigma_A,integral_density,lml,ls_opt,const_opt
0.05,50.0,14076.75044286111,2.114912798181075e-05,0.0583714361193752,1.568592709752724,7649.192764303137,4880.844607967248,432274745.5035101,1685.0040425260472,0.2843662075046219,50.44728058081125
0.051,51.0,9268.02846987386,1.1668772131417258e-05,0.4076375485856442,0.2336263142727887,1205.2493158200707,5164.514622853144,505722115.71658146,1686.027476145659,0.2772948095225091,49.77046247239857
0.052,52.0,7720.099749219618,8.276494498839676e-06,0.5,0.0,-3095.815513785806,5572.91446516642,582496150.2912881,1679.0304808184917,0.2718374808035917,49.00716466506407
0.053,53.0,7270.335378893861,6.728917629104411e-06,0.5,0.0,-4481.099757101106,5609.133002284819,661992830.0519445,1682.7102838321584,0.2731179500478787,49.079693556567605
0.054,54.0,7982.607683647813,6.456982786488673e-06,0.5,0.0,-3390.9280095029703,5845.240502293106,743432117.467634,1681.4649462631833,0.2713544695961479,49.19077932527346
0.055,55.0,8388.327835922177,5.996869104551762e-06,0.5,0.0,-3669.5939531086615,6139.931775559657,825863093.242175,1676.6819355627258,0.2750325486893871,49.88250958030217
0.056,56.0,10871.052344357502,6.93850072179586e-06,0.4347081215574105,0.1644000259900594,1020.0088659833064,6253.666373157284,908527012.009006,1680.6449457803087,0.271588651210314,49.80158779129054
0.057,57.0,12469.59073044645,7.169604169274152e-06,0.3536623433085857,0.3754515313666307,2606.140891204713,6529.071823696932,990836705.9222876,1675.95236524857,0.2710227811991174,49.68366024503661
0.058,58.0,11053.043490409247,5.770522500478123e-06,0.4732788893172958,0.0670300524055541,257.38147384098323,6582.314667376817,1072404600.9264188,1676.961467610873,0.2723688588917254,50.62913156542562
0.059,59.0,9930.974290186376,4.744486140904449e-06,0.4999311292015692,0.0001726334915006,-2265.159647748629,6779.218547637874,1152048029.9981143,1676.3065797531858,0.2700108043700758,49.99489704535009
0.06,60.0,8977.403283764563,3.953215400689063e-06,0.5,0.0,-5649.957237674747,6949.007574373322,1229048236.8518496,1675.410659503977,0.2679946295990743,48.89471017298469
0.061,61.0,8905.884509075697,3.638417205657486e-06,0.5,0.0,-7150.265530855568,7128.694270795191,1303030703.663672,1669.3097081230994,0.2701947104784838,49.689425170645045
0.062,62.0,11148.068617002198,4.250821843582584e-06,0.499831301689856,0.0004228639666916,-355.6944788939049,6921.0070975519575,1373583173.6839688,1677.7759970072248,0.2788076430671902,52.42585692354202
0.063,63.0,14631.86803423478,5.237732579829153e-06,0.2611547899376208,0.639789315354666,4485.351962223913,7019.410624427376,1439911588.8123603,1677.9188311431212,0.276897441015909,52.524187444755256
0.064,64.0,23183.30268635576,7.835806820615999e-06,0.0216865035958876,2.020100083657229,14068.411237347458,6986.131291021613,1501175724.94166,1677.4320696279874,0.2818398878712284,53.683145529520885
0.065,65.0,26243.50213729099,8.420887219392701e-06,0.008133321058387,2.4028773513795936,17100.853570312258,7136.4977695838315,1556935082.436999,1676.03939277367,0.2748655034170998,52.088108913158905
0.066,66.0,26459.44178038449,8.098362043505563e-06,0.0089911932808614,2.365980602330801,17142.49301862562,7244.241847513158,1607531440.5617692,1669.8809603230811,0.2759733265566941,52.38335254513867
0.067,67.0,17910.851452499726,5.252567943582219e-06,0.1243584077607412,1.1534717276307562,8232.979056212243,7140.151464049409,1652683428.7291,1675.3065600510577,0.2769125589608613,52.177914335298695
0.068,68.0,9991.1395454355,2.819769153343404e-06,0.4999026019832914,0.000244140625,-3733.991047034472,7177.997763082155,1692047220.3328238,1668.7890180907489,0.280927100217215,53.53212576743787
0.069,69.0,7152.030469497751,1.949778879511259e-06,0.5,0.0,-16718.22889803031,7103.128412412215,1726294256.5435472,1669.3204401466978,0.2850523036597862,54.50051858158627
0.07,70.0,6355.926185460946,1.679797541348446e-06,0.5,0.0,-23627.195408681575,7004.62345369471,1755269415.8265586,1674.593387950108,0.2850316663651479,54.13768868481972
0.071,71.0,6015.427896347477,1.5456287923601888e-06,0.5,0.0,-28123.19149065446,6994.788630009754,1780011874.6826298,1672.8399976293426,0.2912113830187223,55.82644626453382
0.072,72.0,6386.144481952888,1.5998860339444171e-06,0.5,0.0,-22050.907501055084,6917.9258478492675,1800267819.0181775,1679.2218003120738,0.2887250985282233,55.249580606382125
0.073,73.0,7876.956406950992,1.928729730052807e-06,0.5,0.0,-11329.817074768886,7059.773446322261,1816703818.5063844,1672.0627642453787,0.2837798637320295,54.109625785421805
0.074,74.0,10795.987619781365,2.589549229604552e-06,0.5,0.0,-1530.0631925629775,7081.150826900858,1829474701.9884825,1672.8400045712724,0.2797177112821929,52.938596723419394
0.075,75.0,16387.03976636025,3.859459501022536e-06,0.1758259503099344,0.931389924872462,6577.387727572655,7065.528138857713,1838368958.6354597,1672.0519414310083,0.277932063198548,52.16688134339628
0.076,76.0,21821.79108182263,5.055241893348512e-06,0.0352920262217263,1.8081442519480613,12686.227838074812,7017.059208189913,1844398591.748667,1672.9921902816354,0.278885200440076,52.06545020192996
0.077,77.0,27113.93568266872,6.189369784398206e-06,0.0047374170030692,2.594428421826911,18125.118231627857,6990.97944178799,1847461207.5520144,1671.8610366265184,0.2824188333119446,52.41452064428267
0.078,78.0,28076.97907365336,6.325979774193705e-06,0.0024748453213005,2.810289817861899,19272.633487634295,6866.707985514821,1847769944.3645077,1677.1710483792667,0.2832626874596624,53.14361027548899
0.079,79.0,26693.816069750246,5.944903574943779e-06,0.0044329798213582,2.617179916143105,17899.162659221554,6842.730141991111,1845689661.7151537,1676.112930829141,0.2825050770973215,53.38383317716124
0.08,80.0,23679.602296518267,5.22104226249093e-06,0.0162827691095127,2.1373991780735397,14761.59660948032,6907.532328892421,1840971776.2432177,1667.6463329161193,0.2807841505808595,53.222768531272195
0.081,81.0,20409.32998800176,4.461044701073265e-06,0.0431087884657172,1.7156966571400207,11585.418115767914,6753.884538610469,1834117166.8439004,1674.5274636583558,0.2829035714414087,54.14042132473493
0.082,82.0,13266.48476746417,2.877770124752489e-06,0.3340449190769816,0.4287710647301886,2947.741584774367,6874.488674244703,1825600864.265104,1662.9011768459354,0.2764849736386638,51.70480369492205
0.083,83.0,9080.322258651626,1.9566200027329515e-06,0.5,0.0,-4990.127898319748,6865.168169665964,1815668681.2943528,1663.128640688858,0.273531256419567,49.89665074871005
0.084,84.0,7874.208699202645,1.687685254957798e-06,0.4999026019832914,0.000244140625,-9221.461889399114,6776.46076340101,1803665927.1918256,1661.1595931310103,0.276064120974012,51.17846191228021
0.085,85.0,7095.154852067096,1.5139200468828342e-06,0.5,0.0,-13341.922242476292,6717.500586851143,1790440672.4133158,1662.4881484169332,0.2769600892808964,51.263262064170455
0.086,86.0,6877.389581094645,1.462434233898645e-06,0.5,0.0,-15207.90836755216,6722.06214020443,1775696555.8627672,1656.541480532164,0.2774089568459418,51.52152355249234
0.087,87.0,6650.741493928079,1.4103417516526662e-06,0.5,0.0,-15645.71926191133,6608.709327576198,1760136602.064715,1662.557772990492,0.2776913693694325,51.38972655854919
0.088,88.0,6828.9677969011655,1.4452311982755591e-06,0.5,0.0,-13657.85222258816,6550.511835506516,1743632625.119082,1661.1568620082198,0.2781714526016228,51.873490185308555
0.089,89.0,7430.643576413526,1.5708946566928583e-06,0.5,0.0,-9572.82359629303,6512.203813312092,1725874782.225614,1659.2934386165566,0.2771803181848901,51.75498615319878
0.09,90.0,9329.83363420815,1.971562233467136e-06,0.5,0.0,-2734.780161204587,6509.601733101281,1707421799.183081,1661.7503881236148,0.2736341789008631,50.31476089820088
0.091,91.0,13253.702416518188,2.8014913558683615e-06,0.2899526460346541,0.5535230637442877,3619.398912638251,6537.625287821925,1688209960.037576,1656.986875729859,0.2721880427409109,49.6368998694197
0.092,92.0,16368.598729349476,3.4632226435631154e-06,0.1109143903094854,1.2216796875,7820.207172018435,6401.690900631996,1668257878.789034,1662.646787463787,0.2734810714834036,50.232733884623805
0.093,93.0,18180.06039878853,3.853797709039529e-06,0.0648929441391367,1.5149467563085908,9693.58077852601,6425.73834241758,1647188801.3305027,1657.7510173557553,0.2723152418389661,49.90675093775173
0.094,94.0,17644.86490560061,3.750046984044306e-06,0.078741783691939,1.4135857510796312,9199.347257147,6395.465499807623,1625450307.8031468,1657.8121654532024,0.270443206716065,48.82730836503048
0.095,95.0,14640.303258448204,3.1208902841141055e-06,0.1751400554778506,0.9340461050045168,5896.634751343982,6312.67996388373,1603496027.5520115,1659.3102596744225,0.2722475542789389,49.55867309572047
0.096,96.0,11754.60288118056,2.5145430210669087e-06,0.3601999159184514,0.3579244779919373,2180.701030779477,6267.254875617668,1581239228.7143855,1659.137219657568,0.2722262289005659,49.51370568873979
0.097,97.0,9601.095651903635,2.0625293686720685e-06,0.5,0.0,-1131.1884193143424,6212.191523720167,1558363770.3660083,1658.469184918636,0.2722059268987782,49.75585630141273
0.098,98.0,9618.654286420371,2.0766017193651205e-06,0.5,0.0,-800.4358299409314,6139.028951912051,1534811175.2125387,1659.5237184455111,0.2738675698102961,50.52117220954714
0.099,99.0,9886.903904496909,2.1462102668888667e-06,0.5,0.0,-241.56910933184488,6098.680148368035,1511028905.8514876,1658.890110255286,0.2729116076141455,50.20773064458694
0.1,100.0,11874.735236651351,2.5924877486740605e-06,0.3126359250497131,0.4883925044152377,2881.1836316942904,6061.0578758833035,1487397833.440122,1654.7608025843444,0.2758905029087888,51.73094853557304
0.101,101.0,12831.369220489574,2.8188062783347535e-06,0.2301743786702577,0.7382726921110316,4327.520638133779,5970.149707038235,1463545807.7925766,1656.9959215865083,0.2747229441490881,51.28870710499293
0.102,102.0,12326.073356810772,2.7255264495648733e-06,0.2817704890477287,0.5775899731125014,3509.1802275675072,6016.408456174722,1439773239.9828668,1652.0974459418787,0.2706808397892813,49.31712152399336
0.103,103.0,13151.081311621736,2.9295019355541984e-06,0.2117528402703546,0.8003540760518215,4796.441879460961,5921.493975152282,1415306075.6792226,1652.1050446934462,0.2740790374339433,50.96867339478133
0.104,104.0,12470.24648890876,2.79990686790375e-06,0.2363995224009992,0.717932277413042,4133.406082352344,5848.563670335549,1390650623.4117515,1651.846244848037,0.2756584738601024,51.65308021030307
0.105,105.0,11228.464733585295,2.5417887549412116e-06,0.3308414976257754,0.4375907258921752,2536.4271348128773,5798.0614095079045,1366191403.4118524,1652.1781309089804,0.2757352810313213,51.70191679540482
0.106,106.0,9811.24565980136,2.240218772686332e-06,0.4715612348640948,0.0713458945127073,412.6736675479495,5808.546250551179,1341676381.151068,1645.4853171268717,0.273825239418278,50.7628777436285
0.107,107.0,8638.39831153898,1.990257100159222e-06,0.5,0.0,-1419.656972558425,5721.856731080058,1317225676.2626095,1650.2781533760476,0.2729282847543135,50.245669229463005
0.108,108.0,7825.967533955145,1.8203565881216856e-06,0.5,0.0,-3254.0369595521515,5696.923167605739,1292640439.8447058,1645.8830426940851,0.2744235502836162,50.900028941892714
0.109,109.0,7584.48335848088,1.7816680148857564e-06,0.4999026019832914,0.000244140625,-3759.960053230464,5647.928550728599,1268214292.8765628,1646.1621287158423,0.2741760933372799,50.90393363778633
0.11,110.0,7096.334305505969,1.6844727609179269e-06,0.5,0.0,-4828.86723123168,5544.514292266874,1243647528.4440663,1651.8535410243674,0.2747649571028802,51.104724750712734
0.111,111.0,6863.534004978026,1.6467794178163187e-06,0.5,0.0,-5561.6208126600795,5525.307262219686,1219296431.1209323,1646.2730850553755,0.2758277857561285,51.67581643368162
0.112,112.0,6471.402903185057,1.5700092258250729e-06,0.5,0.0,-6834.8812782922,5457.779560343807,1195083180.8359652,1646.454266973204,0.2771542299706109,52.23450407135138
0.113,113.0,6381.399582338065,1.5659320509211038e-06,0.5,0.0,-6903.614420991605,5406.011094417344,1171074447.656905,1646.3758170417316,0.2770731588114941,52.23742069754625
0.114,114.0,6563.773319573531,1.630157554347235e-06,0.5,0.0,-5875.198778190855,5372.72750557109,1146935681.7505815,1644.252374453736,0.2751420280135794,51.42224168598544
0.115,115.0,6600.815457825659,1.6591895052727468e-06,0.5,0.0,-5610.163053267743,5354.086335952618,1123372222.1676126,1638.7444270663138,0.2755035393637882,51.60500203911549
0.116,116.0,6776.965463087001,1.724987213593001e-06,0.5,0.0,-4468.468430651235,5267.925853767862,1099793946.70252,1643.5524749423405,0.2750691000032084,51.41560454335535
0.117,117.0,7213.428891339288,1.8599378835269568e-06,0.5,0.0,-3041.9357428620506,5253.849652814332,1076409135.485572,1638.3670841764776,0.2749941142057524,51.35059638573014
0.118,118.0,8454.674745715867,2.2091879097961996e-06,0.5,0.0,-195.2305201122096,5211.808508569891,1053178929.4199272,1641.5319990882538,0.2738188787932862,50.61070956432789
0.119,119.0,9620.395137251917,2.547207370199787e-06,0.3669915905210145,0.3398318233808791,1752.4930895658138,5157.33115895562,1030627124.242168,1642.736773515437,0.273949438178165,50.75145410221597
0.12,120.0,10824.40665753266,2.9058350895826468e-06,0.2497029352966522,0.6754248677139613,3451.7422431318873,5118.503509739276,1008026180.837055,1643.3824482048296,0.2728774442738286,50.23390642212032
0.121,121.0,12104.547568666963,3.2964980840561824e-06,0.1600970596611521,0.9940590515844402,5074.088083639177,5102.274913221711,985440224.1699862,1637.6548744777965,0.2725024203055363,49.94467712913404
0.122,122.0,12266.662341844312,3.389371970967706e-06,0.1394035708587602,1.083002886748055,5429.005858791669,5007.148132239596,963312661.4875358,1642.6885873140209,0.2737527069359268,50.63573618786506
