stage,region,support_lower_MeV,anchor_GeV,block,seed,success,lml,const_opt,length_opt,warning_text,error_text
development,low,29.0,0.039,L1,1961,True,54.51669057844271,134.12364010700782,0.4549563300025222,"lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",
development,low,29.0,0.039,L1,5813,True,54.51669057700769,134.1224581983889,0.454958846567176,,
development,low,29.0,0.039,L1,9049,True,54.5166905751474,134.11769124758573,0.4549519288067467,,
development,low,29.0,0.039,L2,1961,True,54.01151445148579,129.72895620567695,0.4475862858454654,,
development,low,29.0,0.039,L2,5813,True,54.01151445158954,129.72747533082796,0.4475853536098167,,
development,low,29.0,0.039,L2,9049,True,54.011514451590735,129.72691824733462,0.4475848197231874,"lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",
development,low,29.0,0.039,L3,1961,True,53.95312777951112,144.5697083551806,0.47537637855431536,,
development,low,29.0,0.039,L3,5813,True,53.95312777940616,144.5700695211159,0.4753767515392138,,
development,low,29.0,0.039,L3,9049,True,53.953127779611904,144.57258084163536,0.4753791063567724,"lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",
development,low,29.0,0.039,L4,1961,True,50.99064015056072,139.68465639143292,0.4756484308030901,"lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",
development,low,29.0,0.039,L4,5813,True,50.99064014896325,139.68767752046682,0.47565366024853506,,
development,low,29.0,0.039,L4,9049,True,50.990640148459406,139.68661420665396,0.4756523760111148,,
development,low,29.0,0.065,L1,1961,True,54.51669057768384,134.12504418271908,0.4549579572211993,,
development,low,29.0,0.065,L1,5813,True,54.51669057615684,134.12380992762405,0.4549567740862562,,
development,low,29.0,0.065,L1,9049,True,54.51669057694992,134.12379504751289,0.4549567173706316,,
development,low,29.0,0.065,L2,1961,True,54.01151445123761,129.72952787872947,0.4475865111523703,,
development,low,29.0,0.065,L2,5813,True,54.01151445229258,129.72880264688453,0.4475861561988047,,
development,low,29.0,0.065,L2,9049,True,54.01151445119775,129.72916370363575,0.4475863486828959,,
development,low,29.0,0.065,L3,1961,True,53.953127779510254,144.56930279683993,0.4753759592424538,,
development,low,29.0,0.065,L3,5813,True,53.95312777949688,144.56958236883884,0.4753763818596102,,
development,low,29.0,0.065,L3,9049,True,53.95312777930427,144.5702074281597,0.47537673345000836,,
development,low,29.0,0.065,L4,1961,True,50.99064014941065,139.68644243345125,0.4756521731089045,,
development,low,29.0,0.065,L4,5813,True,50.99064014991566,139.68714855612194,0.475654631474329,,
development,low,29.0,0.065,L4,9049,True,50.99064014960703,139.68567727752182,0.47565105962395826,,
development,low,29.0,0.1,L1,1961,True,54.516690577821926,134.12396134211252,0.4549568909559549,,
development,low,29.0,0.1,L1,5813,True,54.516690576163775,134.12450047635195,0.45495736740668247,"lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",
development,low,29.0,0.1,L1,9049,True,54.51669057645595,134.12388147865292,0.45495860886606626,,
development,low,29.0,0.1,L2,1961,True,54.01151445193542,129.73058543154536,0.4475869054964377,,
development,low,29.0,0.1,L2,5813,True,54.011514452146365,129.7291061620221,0.44758629143719686,,
development,low,29.0,0.1,L2,9049,True,54.01151445152524,129.7286383216753,0.44758569195909026,"lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",
development,low,29.0,0.1,L3,1961,True,53.95312777919116,144.5698906698952,0.47537653659987533,,
development,low,29.0,0.1,L3,5813,True,53.953127779238315,144.56992859147354,0.47537657769771524,,
development,low,29.0,0.1,L3,9049,True,53.953127779701205,144.56952520880068,0.4753762660219947,,
development,low,29.0,0.1,L4,1961,True,50.9906401510962,139.68641849185278,0.4756517628067377,,
development,low,29.0,0.1,L4,5813,True,50.99064014966015,139.6868580410671,0.47565253847998934,,
development,low,29.0,0.1,L4,9049,True,50.9906401493451,139.68630219608048,0.47565127960949205,,
development,low,29.0,0.14,L1,1961,True,54.516690576828246,134.12285928575946,0.45495699235081916,"lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",
development,low,29.0,0.14,L1,5813,True,54.5166905766088,134.12637816425786,0.4549604832339711,,
development,low,29.0,0.14,L1,9049,True,54.51669057626871,134.12439315533072,0.4549572686916525,,
development,low,29.0,0.14,L2,1961,True,54.0115144510192,129.729341460176,0.4475864948625293,,
development,low,29.0,0.14,L2,5813,True,54.011514451260034,129.72906982791312,0.44758627846721516,,
development,low,29.0,0.14,L2,9049,True,54.01151445195875,129.7291017645252,0.44758628040453463,,
development,low,29.0,0.14,L3,1961,True,53.95312777952397,144.56607023985373,0.4753743316072459,"lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",
development,low,29.0,0.14,L3,5813,True,53.95312777961587,144.56855191375513,0.47537605750116385,,
