stage,region,support_lower_MeV,support_upper_MeV,anchor_GeV,block,block_low_GeV,block_high_GeV,selected_seed,selected_lml,selected_const,selected_length,length_lower,length_upper,sigma_x,all_repeats_success,n_reproduced_branches,reproduction_pass,const_at_bound,length_at_bound,covariance_ok,min_eigenvalue,max_diagonal,median_diagonal,jitter_relative_median_diag,nlpd_per_bin,mahalanobis_per_bin,poisson_deviance_per_bin,max_abs_marginal_standardized_residual,cell_mahalanobis_guard_pass,cell_marginal_residual_guard_pass,technical_pass,n_train,n_score,train_center_min_GeV,train_center_max_GeV,score_center_min_GeV,score_center_max_GeV,train_centers_sha256,score_centers_sha256,train_counts_sha256,score_counts_sha256,n_forbidden_search_train_centers,n_forbidden_search_score_centers,training_mask_definition
development,low,29.0,210,0.039,L1,0.03525,0.036,1961,54.51669057844271,134.12364010700782,0.4549563300025222,0.03949706576213592,0.5266275434951456,0.04388562862459547,True,3,True,False,False,True,3481.571567638209,4644.829934289641,4160.746738052154,0.0,5.1919940085351675,0.22286551345173553,0.2599248826231708,0.714620493362024,True,True,True,36,3,0.029124999999999998,0.038625,0.035375,0.035875,b3f10b70c04fffbe4e2a9ab1e7c6dc84f8903279881a71100c3ceb1dcf3ca1c1,cddd9db6814ab8151eced7dc3a00dc5532c37e6b9bc749b26ea36e7040fa2ab6,08d9141bc1589f2af3bc2e822da2cae1976863dcea10f961d342bd33fc0c0dc4,3316d8f7feb9815535d88e90877477b51e0db0463892d01e29a909e559cf28f8,0,0,"[edge,38.75) minus held-out low block; low only"
development,low,29.0,210,0.039,L2,0.036,0.03675,9049,54.011514451590735,129.72691824733462,0.4475848197231874,0.03949706576213592,0.5266275434951456,0.04388562862459547,True,3,True,False,False,True,4745.45312880323,6374.161040330406,5788.137021770216,0.0,5.321570497695504,0.15883422499662234,0.21389146401276093,0.5804765841260187,True,True,True,36,3,0.029124999999999998,0.038625,0.036125,0.036625,b616f8a19112619372e8dc281313a57b6caf093416aa2e4eac55216b3b773a15,7043b750efcd4b114a1133f3254ef9007aa0e61b911453e719c20842701e75c1,0ee745caf197c4e985c910f9626a0390c14483c0eb842979af1d40a394dcbe9c,026f08b3f517f523a1be18ee8ed8857cd9a935160a0272cab4dbcbcb3b2e9f98,0,0,"[edge,38.75) minus held-out low block; low only"
development,low,29.0,210,0.039,L3,0.03675,0.03775,9049,53.953127779611904,144.57258084163536,0.4753791063567724,0.03949706576213592,0.5266275434951456,0.04388562862459547,True,3,True,False,False,True,6232.818463076889,8973.207387296137,8089.023938762869,0.0,6.400260685361788,1.9982878744284625,2.1194282650317504,2.278115669337802,True,True,True,35,4,0.029124999999999998,0.038625,0.036875,0.037625,dfc5d6b352a1a8fe80e2674d36ab4656bf5cc0427bbec1d2591747681f7461ba,dd89f434f3f35a01bfaa5c19c145addb6faff04ccf895f87e00772141c57346d,9ef55ead87fc38c9c75e2cf52533a6c4db691026293e9948fdbe6349cb7da6b1,a96e0c18c533ddeada71d94f8e977bf1860885abb48b39d40d10050503467f49,0,0,"[edge,38.75) minus held-out low block; low only"
development,low,29.0,210,0.039,L4,0.03775,0.03875,1961,50.99064015056072,139.68465639143292,0.4756484308030901,0.03949706576213592,0.5266275434951456,0.04388562862459547,True,3,True,False,False,True,8337.504632061979,51914.73800667762,27645.576453099122,0.0,5.936149437612832,0.34009649543338216,1.318779145090346,0.9553334836390736,True,True,True,35,4,0.029124999999999998,0.037625,0.037875,0.038625,64a5b10c6ba3232a19241a5db70a4a8d8f4a55ede52d5920207834fb666a5a87,4b2619be737f92a26a5ec8b9d57d1f3dd2f4cc9f1e1ca47cb017c349d65376cb,fc1b740f77906a3a9168794080564f9c05a6d201d1dea9f7d5791747d73e27e9,852ae2ad2615b28da41206c9dce91f924c1e4d35e45e0c09a5f5650aefae0964,0,0,"[edge,38.75) minus held-out low block; low only"
development,low,29.0,210,0.065,L1,0.03525,0.036,1961,54.51669057768384,134.12504418271908,0.4549579572211993,0.036155241837688604,0.4820698911691814,0.040172490930765116,True,3,True,False,False,True,3481.571524420253,4644.829765440303,4160.746525878124,0.0,5.191993940791704,0.2228654205288431,0.2599247582016441,0.7146204214687333,True,True,True,36,3,0.029124999999999998,0.038625,0.035375,0.035875,b3f10b70c04fffbe4e2a9ab1e7c6dc84f8903279881a71100c3ceb1dcf3ca1c1,cddd9db6814ab8151eced7dc3a00dc5532c37e6b9bc749b26ea36e7040fa2ab6,08d9141bc1589f2af3bc2e822da2cae1976863dcea10f961d342bd33fc0c0dc4,3316d8f7feb9815535d88e90877477b51e0db0463892d01e29a909e559cf28f8,0,0,"[edge,38.75) minus held-out low block; low only"
development,low,29.0,210,0.065,L2,0.036,0.03675,5813,54.01151445229258,129.72880264688453,0.4475861561988047,0.036155241837688604,0.4820698911691814,0.040172490930765116,True,3,True,False,False,True,4745.453115398141,6374.160928957188,5788.13694205036,0.0,5.321570475200542,0.15883419242548738,0.21389140505351634,0.5804765613919669,True,True,True,36,3,0.029124999999999998,0.038625,0.036125,0.036625,b616f8a19112619372e8dc281313a57b6caf093416aa2e4eac55216b3b773a15,7043b750efcd4b114a1133f3254ef9007aa0e61b911453e719c20842701e75c1,0ee745caf197c4e985c910f9626a0390c14483c0eb842979af1d40a394dcbe9c,026f08b3f517f523a1be18ee8ed8857cd9a935160a0272cab4dbcbcb3b2e9f98,0,0,"[edge,38.75) minus held-out low block; low only"
development,low,29.0,210,0.065,L3,0.03675,0.03775,1961,53.953127779510254,144.56930279683993,0.4753759592424538,0.036155241837688604,0.4820698911691814,0.040172490930765116,True,3,True,False,False,True,6232.818370521832,8973.209315295368,8089.025869708146,0.0,6.400260314019613,1.9982869837868709,2.119426842936459,2.278113972175364,True,True,True,35,4,0.029124999999999998,0.038625,0.036875,0.037625,dfc5d6b352a1a8fe80e2674d36ab4656bf5cc0427bbec1d2591747681f7461ba,dd89f434f3f35a01bfaa5c19c145addb6faff04ccf895f87e00772141c57346d,9ef55ead87fc38c9c75e2cf52533a6c4db691026293e9948fdbe6349cb7da6b1,a96e0c18c533ddeada71d94f8e977bf1860885abb48b39d40d10050503467f49,0,0,"[edge,38.75) minus held-out low block; low only"
development,low,29.0,210,0.065,L4,0.03775,0.03875,5813,50.99064014991566,139.68714855612194,0.475654631474329,0.036155241837688604,0.4820698911691814,0.040172490930765116,True,3,True,False,False,True,8337.502465136813,51914.28578789065,27645.416097121648,0.0,5.9361509566177,0.3401020220783567,1.3188406705579503,0.9553455353057134,True,True,True,35,4,0.029124999999999998,0.037625,0.037875,0.038625,64a5b10c6ba3232a19241a5db70a4a8d8f4a55ede52d5920207834fb666a5a87,4b2619be737f92a26a5ec8b9d57d1f3dd2f4cc9f1e1ca47cb017c349d65376cb,fc1b740f77906a3a9168794080564f9c05a6d201d1dea9f7d5791747d73e27e9,852ae2ad2615b28da41206c9dce91f924c1e4d35e45e0c09a5f5650aefae0964,0,0,"[edge,38.75) minus held-out low block; low only"
development,low,29.0,210,0.1,L1,0.03525,0.036,1961,54.516690577821926,134.12396134211252,0.4549568909559549,0.036673552630478015,0.48898070173970687,0.04074839181164224,True,3,True,False,False,True,3481.5715522519126,4644.829868882487,4160.746654666974,0.0,5.191993968689672,0.22286545034098426,0.2599247993586375,0.7146204262221592,True,True,True,36,3,0.029124999999999998,0.038625,0.035375,0.035875,b3f10b70c04fffbe4e2a9ab1e7c6dc84f8903279881a71100c3ceb1dcf3ca1c1,cddd9db6814ab8151eced7dc3a00dc5532c37e6b9bc749b26ea36e7040fa2ab6,08d9141bc1589f2af3bc2e822da2cae1976863dcea10f961d342bd33fc0c0dc4,3316d8f7feb9815535d88e90877477b51e0db0463892d01e29a909e559cf28f8,0,0,"[edge,38.75) minus held-out low block; low only"
development,low,29.0,210,0.1,L2,0.036,0.03675,5813,54.011514452146365,129.7291061620221,0.44758629143719686,0.036673552630478015,0.48898070173970687,0.04074839181164224,True,3,True,False,False,True,4745.45311121714,6374.160929954576,5788.136940605013,0.0,5.3215704938532555,0.1588342300949005,0.21389145867360781,0.5804766189868756,True,True,True,36,3,0.029124999999999998,0.038625,0.036125,0.036625,b616f8a19112619372e8dc281313a57b6caf093416aa2e4eac55216b3b773a15,7043b750efcd4b114a1133f3254ef9007aa0e61b911453e719c20842701e75c1,0ee745caf197c4e985c910f9626a0390c14483c0eb842979af1d40a394dcbe9c,026f08b3f517f523a1be18ee8ed8857cd9a935160a0272cab4dbcbcb3b2e9f98,0,0,"[edge,38.75) minus held-out low block; low only"
