mass_MeV,eps2_observed,expected_median,p0_local_asymptotic,selected_scope_key
19,6.0287203111420068e-06,1.6456056291410752e-05,0.5,individual_2015_full
20,1.3250739100729953e-05,1.3274003348935836e-05,0.48337914502860507,individual_2015_full
21,2.62940119494728e-05,1.1985673773660613e-05,0.0059409128074690001,individual_2015_full
22,1.6849498786461963e-05,1.0006966422286602e-05,0.077045792451907097,individual_2015_full
23,5.9671222119670213e-06,9.1012982539376078e-06,0.5,individual_2015_full
24,5.0861911376302358e-06,8.6388154472834528e-06,0.5,individual_2015_full
25,6.9821181425801129e-06,7.9146313577429916e-06,0.5,individual_2015_full
26,8.504925358416046e-06,7.274481133263332e-06,0.38342490317973132,individual_2015_full
27,7.7211668935564625e-06,7.0875767206282121e-06,0.443594676918176,individual_2015_full
28,7.5277366317360169e-06,7.2604772510975553e-06,0.47155998823420348,individual_2015_full
29,8.3979586448133704e-06,6.7311070713408805e-06,0.2958487306022029,individual_2015_full
30,1.023124658847981e-05,6.8451482784129954e-06,0.12913570690946441,individual_2015_full
31,8.5877736955787795e-06,6.6287505878668929e-06,0.24762900261473261,individual_2015_full
32,6.498708636725469e-06,6.4581765960443063e-06,0.5,individual_2015_full
33,4.6841999571655718e-06,6.6473566513290431e-06,0.49995130099128282,individual_2015_full
34,3.8926641988458471e-06,6.3599377878817196e-06,0.49995130099128282,individual_2015_full
35,3.5881347811780288e-06,6.6739196700722572e-06,0.5,individual_2015_full
36,5.2069444002342802e-06,6.8775153856563176e-06,0.49995130099128282,individual_2015_full
37,7.5823118482130796e-06,6.8487925406165155e-06,0.37559549580828527,individual_2015_full
38,1.2192184480002685e-05,6.9204428827328489e-06,0.054272249168699403,individual_2015_full
39,1.1291577977114103e-05,6.5503750421499137e-06,0.053266999623903903,pair_2015_2016
40,9.7200667850522844e-06,6.2521879336737429e-06,0.1064884073083731,pair_2015_2016
41,6.5512917374971366e-06,5.9988018724477019e-06,0.41298743470977478,pair_2015_2016
42,4.9914821770157959e-06,5.6678640951321086e-06,0.49990260198329128,pair_2015_2016
43,3.8891010733318444e-06,5.9560212460551702e-06,0.5,pair_2015_2016
44,3.5593170678946893e-06,6.0349670725832472e-06,0.5,pair_2015_2016
45,4.6537094832689971e-06,5.2698953511225275e-06,0.5,pair_2015_2016
46,3.9525907015606292e-06,5.3294715157660986e-06,0.5,pair_2015_2016
47,4.9677458787824989e-06,5.2353413600067252e-06,0.5,pair_2015_2016
48,5.9151219283534747e-06,5.0371722384505463e-06,0.34690594573697542,pair_2015_2016
49,6.5096565717329577e-06,5.0947859189792411e-06,0.24161478855026561,pair_2015_2016
50,7.7429456646045609e-06,4.7439218851988487e-06,0.070621542441792307,all_2015_2016_2021
51,6.9076125052637276e-06,4.5543917810911938e-06,0.1118988428955193,all_2015_2016_2021
52,6.0282777711464049e-06,4.3333768332867037e-06,0.18572081719196681,all_2015_2016_2021
