mass_MeV,dataset_set,eps2_current,density_current_events_per_GeV,density_2021_full_equivalent_events_per_GeV,density_2015,density_2016,density_2021,projection_scale,eps2_observed_equivalent,babar_eps2_90_logy,current_over_babar,proxy_over_babar
19,2015,6.0287203111420068e-06,282453695.05657667,282453695.05657667,282453695.05657667,0,0,1,6.0287203111420068e-06,,,
20,2015,1.3250739100729953e-05,379153831.15514982,379153831.15514982,379153831.15514982,0,0,1,1.3250739100729953e-05,,,
21,2015,2.62940119494728e-05,472707141.1161992,472707141.1161992,472707141.1161992,0,0,1,2.62940119494728e-05,3.5698334113537242e-06,7.3656131588229465,7.3656131588229465
22,2015,1.6849498786461963e-05,557319166.63764083,557319166.63764083,557319166.63764083,0,0,1,1.6849498786461963e-05,3.1084728006613603e-06,5.4205070679328626,5.4205070679328626
23,2015,5.9671222119670213e-06,630016895.05618072,630016895.05618072,630016895.05618072,0,0,1,5.9671222119670213e-06,2.9031426911024984e-06,2.055400938526017,2.055400938526017
24,2015,5.0861911376302358e-06,691123382.26357746,691123382.26357746,691123382.26357746,0,0,1,5.0861911376302358e-06,2.4689122565692652e-06,2.0600939235879818,2.0600939235879818
25,2015,6.9821181425801129e-06,738967301.35860705,738967301.35860705,738967301.35860705,0,0,1,6.9821181425801129e-06,1.9211849055878185e-06,3.634277014290729,3.634277014290729
26,2015,8.504925358416046e-06,775313630.78009462,775313630.78009462,775313630.78009462,0,0,1,8.504925358416046e-06,1.7786138294063034e-06,4.7817717470773111,4.7817717470773111
27,2015,7.7211668935564625e-06,800922607.86220169,800922607.86220169,800922607.86220169,0,0,1,7.7211668935564625e-06,1.8577642695975956e-06,4.1561607249712686,4.1561607249712686
28,2015,7.5277366317360169e-06,816392166.02914715,816392166.02914715,816392166.02914715,0,0,1,7.5277366317360169e-06,2.5011030264802794e-06,3.0097667117414013,3.0097667117414013
29,2015,8.3979586448133704e-06,823046135.58372259,823046135.58372259,823046135.58372259,0,0,1,8.3979586448133704e-06,2.992726302616344e-06,2.8061231785451235,2.8061231785451235
30,2015,1.023124658847981e-05,822008895.93766797,822008895.93766797,822008895.93766797,0,0,1,1.023124658847981e-05,3.1523413082465796e-06,3.2456024230988856,3.2456024230988856
31,2015,8.5877736955787795e-06,814302946.66268063,814302946.66268063,814302946.66268063,0,0,1,8.5877736955787795e-06,3.4492969177893363e-06,2.4897171511354572,2.4897171511354572
32,2015,6.498708636725469e-06,800432354.02830935,800432354.02830935,800432354.02830935,0,0,1,6.498708636725469e-06,2.68072101940688e-06,2.4242390721296818,2.4242390721296818
33,2015,4.6841999571655718e-06,781756301.06386173,781756301.06386173,781756301.06386173,0,0,1,4.6841999571655718e-06,1.637339527014816e-06,2.8608604873210179,2.8608604873210179
34,2015,3.8926641988458471e-06,759251610.42053795,759251610.42053795,759251610.42053795,0,0,1,3.8926641988458471e-06,1.0341889092424669e-06,3.7639779000310352,3.7639779000310352
35,2015,3.5881347811780288e-06,733146781.92594957,733146781.92594957,733146781.92594957,0,0,1,3.5881347811780288e-06,8.7863640777702237e-07,4.08375381377164,4.08375381377164
36,2015,5.2069444002342802e-06,704234099.84490526,704234099.84490526,704234099.84490526,0,0,1,5.2069444002342802e-06,1.0623719282305442e-06,4.9012443400182981,4.9012443400182981
37,2015,7.5823118482130796e-06,673803749.13072252,673803749.13072252,673803749.13072252,0,0,1,7.5823118482130796e-06,1.0523243727540374e-06,7.2052990926831963,7.2052990926831963
38,2015,1.2192184480002685e-05,641013054.83998084,641013054.83998084,641013054.83998084,0,0,1,1.2192184480002685e-05,1.2209253475001884e-06,9.9860196243495576,9.9860196243495576
39,2015+2016,1.1291577977114103e-05,1030416724.4428051,1030416724.4428051,607069903.44101572,423346821.00178927,0,1,1.1291577977114103e-05,1.5144477407712428e-06,7.4559046661879469,7.4559046661879469
40,2015+2016,9.7200667850522844e-06,1085762627.2881255,1085762627.2881255,572175251.61615455,513587375.67197108,0,1,9.7200667850522844e-06,1.682535663463004e-06,5.777034624660728,5.777034624660728
41,2015+2016,6.5512917374971366e-06,1141509067.9040496,1141509067.9040496,536941035.2362417,604568032.66780794,0,1,6.5512917374971366e-06,2.0498181494068612e-06,3.1960355797380511,3.1960355797380511
42,2015+2016,4.9914821770157959e-06,1196335632.58355,1196335632.58355,501846452.67817795,694489179.9053719,0,1,4.9914821770157959e-06,2.2816641598102821e-06,2.187649814962616,2.187649814962616
43,2015+2016,3.8891010733318444e-06,1248060046.0598898,1248060046.0598898,467028006.50587726,781032039.55401242,0,1,3.8891010733318444e-06,2.1207588797534177e-06,1.8338251983573131,1.8338251983573131
44,2015+2016,3.5593170678946893e-06,1295643769.35659,1295643769.35659,432783094.09741855,862860675.25917149,0,1,3.5593170678946893e-06,1.9677889334739467e-06,1.8087900624641937,1.8087900624641937
45,2015+2016,4.6537094832689971e-06,1339148344.9278789,1339148344.9278789,399895844.01198941,939252500.9158895,0,1,4.6537094832689971e-06,1.9860947590050162e-06,2.3431457447681847,2.3431457447681847
46,2015+2016,3.9525907015606292e-06,1377609461.8601408,1377609461.8601408,368264100.33612728,1009345361.5240134,0,1,3.9525907015606292e-06,1.9579068491048573e-06,2.018783837120611,2.018783837120611
47,2015+2016,4.9677458787824989e-06,1411260846.4121342,1411260846.4121342,338097650.37860322,1073163196.033531,0,1,4.9677458787824989e-06,1.6076523049395411e-06,3.0900623620661065,3.0900623620661065
48,2015+2016,5.9151219283534747e-06,1440752310.0661569,1440752310.0661569,309695977.16334909,1131056332.9028077,0,1,5.9151219283534747e-06,9.8113817918525174e-07,6.0288367671773395,6.0288367671773395
49,2015+2016,6.5096565717329577e-06,1465460833.5301774,1465460833.5301774,282792287.34600091,1182668546.1841764,0,1,6.5096565717329577e-06,5.5538770351210456e-07,11.720923114732015,11.720923114732015
50,2015+2016+2021,7.7429456646045609e-06,1918305552.2123508,5808778261.7439423,257618672.70439032,1228412134.0044506,432274745.50351012,0.57466730959531864,4.4496177534210398e-06,4.5607290603111934e-07,16.977429621912762,9.7563738046684758
51,2015+2016+2021,6.9076125052637276e-06,2007953364.9167614,6559452406.3659945,234115558.1361174,1268115691.0640624,505722115.71658146,0.55327751164503336,3.8218266583204304e-06,5.1729074552419068e-07,13.353443039588843,7.3881597368374061
