mass_MeV,A90_full_template_events,A90_fitted_window_events,eps2_90,dimuon_factor,eps2_observed,p0_local_asymptotic,Z_local_asymptotic
50,14076.734316143253,13812.059797345946,2.1149103752779968e-05,1,2.1149103752779968e-05,0.058371435011902957,1.5685927192524247
51,9268.017953083252,9000.8703356033711,1.1668758890409897e-05,1,1.1668758890409897e-05,0.40763754858564422,0.23362631427278877
52,7504.3149605601684,7356.5432760969306,8.0451579003127269e-06,1,8.0451579003127269e-06,0.5,0
53,6912.9655709981544,6703.0786611720005,6.3981609479972262e-06,1,6.3981609479972262e-06,0.5,0
54,7747.068298041343,7506.8762735496566,6.2664593612279555e-06,1,6.2664593612279555e-06,0.5,0
55,8111.5184879734143,7939.9619960183954,5.7989763350946239e-06,1,5.7989763350946239e-06,0.5,0
56,10871.080033068778,10522.870249413361,6.9385183942471644e-06,1,6.9385183942471644e-06,0.4347081929066946,0.16439984471065491
57,12469.601294733147,12192.659887130963,7.1696102433912241e-06,1,7.1696102433912241e-06,0.3536623433085857,0.37545153136663073
58,11053.027916133928,10795.845157253741,5.7705143695315437e-06,1,5.7705143695315437e-06,0.47327897780556372,0.067029830099508275
59,9826.9934386197474,9592.631668829581,4.694809674652309e-06,1,4.694809674652309e-06,0.5,0
60,8491.3945272662149,8288.1266105434715,3.7392005859002885e-06,1,3.7392005859002889e-06,0.5,0
61,8253.1572059163973,8117.5979016839883,3.3717514693123736e-06,1,3.3717514693123736e-06,0.5,0
62,11146.023804653265,10865.272584259004,4.2500421450269414e-06,1,4.2500421450269414e-06,0.5,0
63,14631.852038808665,14246.028038765355,5.2377268539871557e-06,1,5.2377268539871557e-06,0.26115478993762087,0.63978931535466599
64,23183.300213846971,22556.187680086776,7.8358059849239708e-06,1,7.8358059849239708e-06,0.021686506655820555,2.020100024645652
65,26243.529185160376,25529.199550006706,8.4208958983813676e-06,1,8.4208958983813676e-06,0.0081333216100700177,2.4028773265740639
66,26459.478546103441,25956.959115940048,8.0983732962789702e-06,1,8.0983732962789702e-06,0.0089911932808614849,2.3659806023308012
67,17910.865197973948,17397.151966969624,5.2525719746042764e-06,1,5.2525719746042764e-06,0.12435840246118557,1.1534717534678196
68,9739.9085938623302,9541.6278886701239,2.7488650002796252e-06,1,2.7488650002796252e-06,0.5,0
69,5384.6879483205412,5271.7884388771909,1.4679678560054414e-06,1,1.4679678560054414e-06,0.5,0
70,4125.9453271877173,3997.8488459570867,1.0904394755562134e-06,1,1.0904394755562134e-06,0.5,0
71,3588.3445731162897,3509.299461482643,9.2200401778327496e-07,1,9.2200401778327496e-07,0.5,0
72,4253.2075472064435,4113.9474441480415,1.0655329476920496e-06,1,1.0655329476920496e-06,0.5,0
73,6653.9672806210729,6496.8718132723188,1.6292719997291636e-06,1,1.6292719997291636e-06,0.5,0
74,10744.143736467035,10482.807652403999,2.5771138422343087e-06,1,2.5771138422343087e-06,0.49986225840519083,0.00034526698300124393
75,16387.031406149701,15965.169402325624,3.8594575320339641e-06,1,3.8594575320339641e-06,0.17582595030993448,0.93138992487246208
76,21821.8203173906,21263.400218833842,5.0552486660679206e-06,1,5.0552486660679206e-06,0.035292028786322815,1.8081442189835202
77,27113.935980692044,26616.558329276308,6.1893698524287781e-06,1,6.1893698524287781e-06,0.0047374170030692591,2.5944284218269109
78,28076.946100787474,27307.391567417482,6.3259723451294114e-06,1,6.3259723451294114e-06,0.0024748462183818466,2.8102897012100323
79,26693.80968882751,25939.995959732136,5.944902153866691e-06,1,5.944902153866691e-06,0.0044329799692514864,2.6171799047559157
80,23679.567403989138,23199.418017510401,5.2210345691451162e-06,1,5.2210345691451162e-06,0.016282767976401057,2.1373992059600688
81,20409.304182399181,19802.473703256317,4.4610390605183469e-06,1,4.4610390605183469e-06,0.043108801189371125,1.7156965181768842
82,13266.478365312032,12978.945159601986,2.877768735995597e-06,1,2.877768735995597e-06,0.33404494437074161,0.42877099522380807
83,8661.9891711489217,8464.5483942143874,1.8664779501165972e-06,1,1.8664779501165972e-06,0.5,0
84,6899.0294212027075,6736.5298681535569,1.4786743242991347e-06,1,1.4786743242991347e-06,0.5,0
85,5648.5931869882124,5513.3655974944886,1.2052617089781856e-06,1,1.2052617089781856e-06,0.49990260198329145,0.000244140625
86,5288.5335339706171,5196.5526377280148,1.124573851168775e-06,1,1.124573851168775e-06,0.49990260198329145,0.000244140625
87,4993.0883740217532,4865.412900729385,1.0588234424693088e-06,1,1.0588234424693088e-06,0.5,0
88,5353.7112927144299,5210.0488056624863,1.1330190472273286e-06,1,1.1330190472273286e-06,0.5,0
89,6403.7701169745797,6226.2805426608174,1.3538057849223548e-06,1,1.3538057849223548e-06,0.5,0
90,9168.0915751488665,8909.5146664300028,1.9373832172373834e-06,1,1.9373832172373834e-06,0.5,0
91,13216.148964385213,12940.649271663046,2.7935535232365961e-06,1,2.7935535232365961e-06,0.28995262760601936,0.55352311758544248
92,16368.599570776076,15876.069315630672,3.4632228215898181e-06,1,3.4632228215898181e-06,0.11091439953818072,1.2216796387109052
93,18180.036028129729,17769.854675829585,3.8537925429626848e-06,1,3.8537925429626848e-06,0.06489295659477852,1.5149466579476312
94,17644.879186264207,17232.469777203019,3.7500500191006656e-06,1,3.7500500191006656e-06,0.078741786788852408,1.4135857299968475
95,14640.277285483322,14278.050854777532,3.1208847474273094e-06,1,3.1208847474273098e-06,0.17514005547785061,0.93404610500451679
96,11754.608643217385,11462.043139230949,2.5145442536810286e-06,1,2.5145442536810286e-06,0.36019982244868892,0.35792472778467699
97,9569.7008481552839,9316.0799314954857,2.0557850649902449e-06,1,2.0557850649902449e-06,0.49990260198329145,0.000244140625
98,9600.1649669108447,9342.2203881623918,2.0726100016528431e-06,1,2.0726100016528431e-06,0.5,0
99,9885.3064001057865,9610.4129635757072,2.1458634869101453e-06,1,2.1458634869101453e-06,0.5,0
100,11874.727286305415,11626.737250323344,2.5924860129575142e-06,1,2.5924860129575142e-06,0.31263590344265607,0.48839256543648657
101,12831.378268724997,12451.846678596836,2.8188082660589303e-06,1,2.8188082660589303e-06,0.23017379005926586,0.73827462975495739
102,12326.062626226472,12048.659901755378,2.7255240768310368e-06,1,2.7255240768310368e-06,0.28177047162573021,0.57759002471021337
103,13151.054343250134,12839.774012140075,2.9294959281472839e-06,1,2.9294959281472839e-06,0.21175282948633395,0.80035411328824302
104,12470.227150588427,12164.101062056556,2.7999025259289569e-06,1,2.7999025259289569e-06,0.23639953519932666,0.71793223590171262
105,11228.475527183151,10946.302794530513,2.5417911982891046e-06,1,2.5417911982891046e-06,0.33084149762577542,0.43759072589217524
106,9811.2386186933618,9623.6125690169338,2.2402171649779056e-06,1,2.2402171649779056e-06,0.47156123486409479,0.071345894512707314
107,8582.9912316796126,8351.1391628170823,1.9774915005524182e-06,1,1.9774915005524182e-06,0.5,0
108,7584.9922397821529,7427.0370837767314,1.7643046095747374e-06,1,1.7643046095747374e-06,0.5,0
109,7283.2850072985475,7125.6239586614229,1.7109136281894193e-06,1,1.7109136281894191e-06,0.49990260198329145,0.000244140625
110,6651.9988157798762,6452.1430418236605,1.5789998509717312e-06,1,1.5789998509717312e-06,0.49990260198329145,0.000244140625
111,6317.4268705138738,6170.692363503199,1.5157510017982803e-06,1,1.5157510017982805e-06,0.5,0
112,5759.4479572124483,5617.1776094745546,1.3972837982367754e-06,1,1.3972837982367754e-06,0.5,0
113,5659.5802450280735,5516.9761739508003,1.3888047576551003e-06,1,1.3888047576551003e-06,0.5,0
114,5973.989717954476,5817.7603404134297,1.4836808028204335e-06,1,1.4836808028204337e-06,0.5,0
115,6045.943950688632,5923.5403981055288,1.5197162860472105e-06,1,1.5197162860472105e-06,0.5,0
116,6371.1075145248024,6192.7634245848049,1.6216814234693529e-06,1,1.6216814234693529e-06,0.49990260198329145,0.000244140625
