mass_GeV,epsilon_90,mass_MeV,eps2_90
0.020241,0.0017477,20.241,3.05445529e-06
0.02077,0.0018757,20.77,3.51825049e-06
0.021298,0.0019073,21.298,3.63779329e-06
0.021825,0.0017724,21.825,3.14140176e-06
0.022352,0.0017445,22.352,3.04328025e-06
0.022878,0.0017194,22.878,2.95633636e-06
0.023404,0.0016534,23.404,2.73373156e-06
0.023929,0.0015855,23.929,2.51381025e-06
0.024454,0.0014833,24.454,2.20017889e-06
0.024979,0.0013886,24.979,1.92820996e-06
0.025502,0.0013269,25.502,1.76066361e-06
0.026026,0.001334,26.026,1.779556e-06
0.026549,0.0013218,26.549,1.74715524e-06
0.027071,0.0013696,27.071,1.87580416e-06
0.027593,0.001493,27.593,2.229049e-06
0.028114,0.0016072,28.114,2.58309184e-06
0.028635,0.0016982,28.635,2.88388324e-06
0.029156,0.0017437,29.156,3.04048969e-06
0.029676,0.0017629,29.676,3.10781641e-06
0.030195,0.0017831,30.195,3.17944561e-06
0.030715,0.0018354,30.715,3.36869316e-06
0.031236,0.0018755,31.236,3.51750025e-06
0.03176,0.0017024,31.76,2.89816576e-06
0.032285,0.0015632,32.285,2.44359424e-06
0.032813,0.001351,32.813,1.825201e-06
0.033342,0.0011586,33.342,1.34235396e-06
0.033874,0.0010403,33.874,1.08222409e-06
0.034408,0.00094488,34.408,8.927982144e-07
0.034944,0.00093024,34.944,8.653464576e-07
0.035482,0.0010009,35.482,1.00180081e-06
0.036022,0.001032,36.022,1.065024e-06
0.036564,0.0010631,36.564,1.13018161e-06
0.037108,0.0010168,37.108,1.03388224e-06
0.037655,0.0010438,37.655,1.08951844e-06
0.038203,0.0011426,38.203,1.30553476e-06
0.038753,0.0012028,38.753,1.44672784e-06
0.039306,0.001266,39.306,1.602756e-06
0.039861,0.0012774,39.861,1.63175076e-06
0.040418,0.0013583,40.418,1.84497889e-06
0.040976,0.001429,40.976,2.042041e-06
0.041536,0.0014938,41.536,2.23143844e-06
0.042096,0.001514,42.096,2.292196e-06
0.042658,0.0014561,42.658,2.12022721e-06
0.04322,0.0014564,43.22,2.12110096e-06
0.043783,0.0014205,43.783,2.01782025e-06
0.044347,0.0013749,44.347,1.89035001e-06
0.044912,0.0014005,44.912,1.96140025e-06
0.045478,0.001458,45.478,2.125764e-06
0.046045,0.0013943,46.045,1.94407249e-06
0.046613,0.0013688,46.613,1.87361344e-06
0.047182,0.0012231,47.182,1.49597361e-06
0.047752,0.0010909,47.752,1.19006281e-06
0.048322,0.00087385,48.322,7.636138225e-07
0.048894,0.00075732,48.894,5.735335824e-07
0.049467,0.00069429,49.467,4.820386041e-07
0.05004,0.00067393,50.04,4.541816449e-07
0.050615,0.00070192,50.615,4.926916864e-07
0.051187,0.00072779,51.187,5.296782841e-07
0.051757,0.00075548,51.757,5.707500304e-07
0.052325,0.00081155,52.325,6.586134025e-07
0.05289,0.0009062,52.89,8.2119844e-07
0.053453,0.00086229,53.453,7.435440441e-07
0.054012,0.00087137,54.012,7.592856769e-07
0.054569,0.00092821,54.569,8.615738041e-07
0.055124,0.00095587,55.124,9.136874569e-07
0.055676,0.0010415,55.676,1.08472225e-06
0.056225,0.0011739,56.225,1.37804121e-06
0.056772,0.0012715,56.772,1.61671225e-06
0.057317,0.0013097,57.317,1.71531409e-06
0.057859,0.0013314,57.859,1.77262596e-06
0.058399,0.001323,58.399,1.750329e-06
0.058935,0.0013091,58.935,1.71374281e-06
0.05947,0.0013144,59.47,1.72764736e-06
0.060002,0.001363,60.002,1.857769e-06
0.060532,0.0013784,60.532,1.89998656e-06
0.06106,0.001346,61.06,1.811716e-06
0.061586,0.0012831,61.586,1.64634561e-06
0.062112,0.0011627,62.112,1.35187129e-06
0.062637,0.0010003,62.637,1.00060009e-06
0.06316,0.00094329,63.16,8.897960241e-07
0.063682,0.000892,63.682,7.95664e-07
0.064204,0.00087871,64.204,7.721312641e-07
0.064724,0.00087738,64.724,7.697956644e-07
0.065243,0.00090599,65.243,8.208178801e-07
0.065761,0.00088182,65.761,7.776065124e-07
0.066277,0.00092137,66.277,8.489226769e-07
0.066793,0.00089999,66.793,8.099820001e-07
0.067308,0.00088724,67.308,7.871948176e-07
0.06782,0.00091529,67.82,8.377557841e-07
0.068333,0.00099432,68.333,9.886722624e-07
0.068844,0.0010318,68.844,1.06461124e-06
0.069354,0.0010615,69.354,1.12678225e-06
0.069863,0.0010676,69.863,1.13976976e-06
0.070372,0.0010902,70.372,1.18853604e-06
0.070879,0.00095605,70.879,9.140316025e-07
0.071389,0.00090255,71.389,8.145965025e-07
0.071904,0.00087367,71.904,7.632992689e-07
0.072421,0.00084614,72.421,7.159528996e-07
0.072942,0.00085561,72.942,7.320684721e-07
0.073467,0.00083801,73.467,7.022607601e-07
0.073994,0.00080306,73.994,6.449053636e-07
0.074525,0.00081382,74.525,6.623029924e-07
0.07506,0.00085193,75.06,7.257847249e-07
0.075598,0.00097569,75.598,9.519709761e-07
0.07614,0.0011457,76.14,1.31262849e-06
0.076685,0.0013769,76.685,1.89585361e-06
0.077234,0.001533,77.234,2.350089e-06
0.077786,0.0015602,77.786,2.43422404e-06
0.078342,0.0014987,78.342,2.24610169e-06
0.078902,0.0013804,78.902,1.90550416e-06
0.079465,0.0013259,79.465,1.75801081e-06
0.080032,0.0013122,80.032,1.72186884e-06
0.080603,0.0011936,80.603,1.42468096e-06
0.081175,0.0010276,81.175,1.05596176e-06
0.081743,0.00084753,81.743,7.183071009e-07
0.082309,0.00069206,82.309,4.789470436e-07
0.082872,0.00062113,82.872,3.858024769e-07
0.083432,0.00059845,83.432,3.581424025e-07
0.083989,0.00061747,83.989,3.812692009e-07
0.084544,0.00063164,84.544,3.989690896e-07
0.085096,0.00069477,85.096,4.827053529e-07
0.085644,0.00079551,85.644,6.328361601e-07
0.08619,0.00088625,86.19,7.854390625e-07
0.086734,0.00088082,86.734,7.758438724e-07
0.087274,0.00086855,87.274,7.543791025e-07
0.087812,0.00083763,87.812,7.016240169e-07
0.088349,0.00084266,88.349,7.100758756e-07
0.088881,0.00086052,88.881,7.404946704e-07
0.08941,0.00091868,89.41,8.439729424e-07
0.089938,0.00093084,89.938,8.664631056e-07
0.090463,0.00099049,90.463,9.810704401e-07
0.090985,0.0011006,90.985,1.21132036e-06
0.091509,0.0011821,91.509,1.39736041e-06
0.092034,0.0012621,92.034,1.59289641e-06
0.092561,0.0012811,92.561,1.64121721e-06
0.093089,0.0012304,93.089,1.51388416e-06
0.093617,0.0011293,93.617,1.27531849e-06
0.094148,0.0010098,94.148,1.01969604e-06
0.094679,0.00089372,94.679,7.987354384e-07
0.095213,0.00084495,95.213,7.139405025e-07
0.095747,0.00087851,95.747,7.717798201e-07
0.096282,0.00095771,96.282,9.172084441e-07
0.096819,0.0010398,96.819,1.08118404e-06
0.097358,0.0011206,97.358,1.25574436e-06
0.097896,0.0011598,97.896,1.34513604e-06
0.098438,0.0011399,98.438,1.29937201e-06
0.098979,0.0011501,98.979,1.32273001e-06
0.099523,0.0011111,99.523,1.23454321e-06
0.10007,0.00099035,100.07,9.807931225e-07
0.10061,0.00090682,100.61,8.223225124e-07
0.10116,0.00077765,101.16,6.047395225e-07
0.10171,0.00065182,101.71,4.248693124e-07
0.10226,0.00058637,102.26,3.438297769e-07
0.10281,0.00056565,102.81,3.199599225e-07
0.10336,0.00056793,103.36,3.225444849e-07
0.10391,0.00059398,103.91,3.528122404e-07
0.10446,0.00061152,104.46,3.739567104e-07
0.10501,0.00063654,105.01,4.051831716e-07
0.10556,0.00066582,105.56,4.433162724e-07
0.10612,0.00070822,106.12,5.015755684e-07
0.10667,0.00077356,106.67,5.983950736e-07
0.10722,0.00082785,107.22,6.853356225e-07
0.10778,0.00085033,107.78,7.230611089e-07
0.10833,0.00085619,108.33,7.330613161e-07
0.10889,0.0008521,108.89,7.2607441e-07
0.10945,0.00082481,109.45,6.803115361e-07
0.11,0.00077582,110,6.018966724e-07
0.11056,0.00073941,110.56,5.467271481e-07
0.11112,0.00070446,111.12,4.962638916e-07
0.11168,0.00070831,111.68,5.017030561e-07
0.11224,0.00072075,112.24,5.194805625e-07
0.1128,0.00075557,112.8,5.708860249e-07
0.11336,0.00077745,113.36,6.044285025e-07
0.11392,0.00077767,113.92,6.047706289e-07
0.11449,0.00076204,114.49,5.807049616e-07
0.11505,0.00074751,115.05,5.587712001e-07
0.11561,0.00076181,115.61,5.803544761e-07
0.11618,0.00077696,116.18,6.036668416e-07
0.11674,0.00074761,116.74,5.589207121e-07
0.11731,0.00070646,117.31,4.990857316e-07
0.11788,0.00066055,117.88,4.363263025e-07
0.11844,0.00062893,118.44,3.955529449e-07
0.11901,0.00062205,119.01,3.869462025e-07
0.11958,0.00063145,119.58,3.987291025e-07
0.12015,0.00066274,120.15,4.392243076e-07
0.12072,0.00071139,120.72,5.060757321e-07
0.12129,0.00076725,121.29,5.886725625e-07
0.12186,0.00086469,121.86,7.476887961e-07
0.12243,0.00094205,122.43,8.874582025e-07
0.12301,0.0010117,123.01,1.02353689e-06
0.12358,0.0010699,123.58,1.14468601e-06
0.12415,0.0010909,124.15,1.19006281e-06
0.12473,0.0010689,124.73,1.14254721e-06
0.1253,0.001038,125.3,1.077444e-06
0.12588,0.00099874,125.88,9.974815876e-07
0.12645,0.00093628,126.45,8.766202384e-07
0.12703,0.00090725,127.03,8.231025625e-07
0.12761,0.00087304,127.61,7.621988416e-07
0.12819,0.00085738,128.19,7.351004644e-07
0.12877,0.0008284,128.77,6.8624656e-07
0.12935,0.00081422,129.35,6.629542084e-07
0.12993,0.00082889,129.93,6.870586321e-07
0.13051,0.00087306,130.51,7.622337636e-07
0.13109,0.00095609,131.09,9.141080881e-07
0.13167,0.0010184,131.67,1.03713856e-06
0.13225,0.0010542,132.25,1.11133764e-06
0.13284,0.0010411,132.84,1.08388921e-06
0.13342,0.00099731,133.42,9.946272361e-07
0.13401,0.00096454,134.01,9.303374116e-07
0.13459,0.00098314,134.59,9.665642596e-07
0.13518,0.00098461,135.18,9.694568521e-07
0.13577,0.00096669,135.77,9.344895561e-07
0.13635,0.00092669,136.35,8.587543561e-07
0.13694,0.00087525,136.94,7.660625625e-07
0.13753,0.00084424,137.53,7.127411776e-07
0.13812,0.00085431,138.12,7.298455761e-07
0.13871,0.00087462,138.71,7.649601444e-07
0.1393,0.00087389,139.3,7.636837321e-07
0.1399,0.00083731,139.9,7.010880361e-07
0.14049,0.00076212,140.49,5.808268944e-07
0.14108,0.00069449,141.08,4.823163601e-07
0.14167,0.00063669,141.67,4.053741561e-07
0.14227,0.00057489,142.27,3.304985121e-07
0.14286,0.00052863,142.86,2.794496769e-07
0.14346,0.00050863,143.46,2.587044769e-07
0.14406,0.00050353,144.06,2.535424609e-07
0.14465,0.00051928,144.65,2.696517184e-07
0.14525,0.00055071,145.25,3.032815041e-07
0.14585,0.00058223,145.85,3.389917729e-07
0.14645,0.00062359,146.45,3.888644881e-07
0.14705,0.00068292,147.05,4.663797264e-07
0.14765,0.0007526,147.65,5.6640676e-07
0.14825,0.0008063,148.25,6.5011969e-07
0.14885,0.00082038,148.85,6.730233444e-07
0.14946,0.00075455,149.46,5.693457025e-07
0.15006,0.00065369,150.06,4.273106161e-07
0.15067,0.00057144,150.67,3.265436736e-07
0.15127,0.0005642,151.27,3.1832164e-07
0.15188,0.00061097,151.88,3.732843409e-07
0.15248,0.00068821,152.48,4.736330041e-07
0.15309,0.0007591,153.09,5.7623281e-07
0.1537,0.00075956,153.7,5.769313936e-07
0.15431,0.00075714,154.31,5.732609796e-07
0.15492,0.00076503,154.92,5.852709009e-07
0.15553,0.00081366,155.53,6.620425956e-07
0.15614,0.00088668,156.14,7.862014224e-07
0.15675,0.0009681,156.75,9.3721761e-07
0.15736,0.0010331,157.36,1.06729561e-06
0.15797,0.0010502,157.97,1.10292004e-06
0.15859,0.0010159,158.59,1.03205281e-06
0.1592,0.00096535,159.2,9.319006225e-07
0.15981,0.00091036,159.81,8.287553296e-07
0.16043,0.0008789,160.43,7.7246521e-07
0.16105,0.00081533,161.05,6.647630089e-07
0.16166,0.00073522,161.66,5.405484484e-07
0.16228,0.00068437,162.28,4.683622969e-07
0.1629,0.00065485,162.9,4.288285225e-07
0.16352,0.00062186,163.52,3.867098596e-07
0.16414,0.0005886,164.14,3.4644996e-07
0.16476,0.00057191,164.76,3.270810481e-07
0.16538,0.00055243,165.38,3.051789049e-07
0.166,0.00056036,166,3.140033296e-07
0.16662,0.00057367,166.62,3.290972689e-07
0.16725,0.00058604,167.25,3.434428816e-07
0.16787,0.00062102,167.87,3.856658404e-07
0.1685,0.00065199,168.5,4.250909601e-07
0.16912,0.00070818,169.12,5.015189124e-07
0.16975,0.00078178,169.75,6.111799684e-07
0.17038,0.00086135,170.38,7.419238225e-07
0.171,0.0009462,171,8.9529444e-07
0.17163,0.0010191,171.63,1.03856481e-06
0.17226,0.001084,172.26,1.175056e-06
0.17289,0.0011007,172.89,1.21154049e-06
0.17352,0.001098,173.52,1.205604e-06
